owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/f,field,aP,Lcom/corrodinggames/rts/gameFramework/d/e;,attachedLightEffect,attachedLightEffect,true,"CustomUnit.applyProjectileTemplateToProjectile reuses Projectile.aP only when it is a lightEffect attached to the projectile, and stores newly created attached light effects in aP for instantReuseLast."
com/corrodinggames/rts/gameFramework/d/e,field,M,F,lineTargetX,lineTargetX,true,EffectEngine.createLineEffect stores the target world X in M and draw() converts M/N/O into a screen point for the line endpoint.
com/corrodinggames/rts/gameFramework/d/e,field,N,F,lineTargetY,lineTargetY,true,EffectEngine.createLineEffect stores the target world Y in N and draw() converts M/N/O into a screen point for the line endpoint.
com/corrodinggames/rts/gameFramework/d/e,field,O,F,lineTargetHeight,lineTargetHeight,true,EffectEngine.createLineEffect stores the target height in O and draw() converts M/N/O into a screen point for the line endpoint.
com/corrodinggames/rts/gameFramework/d/e,field,S,F,drawOscillationAmplitude,drawOscillationAmplitude,true,EffectInstance.draw offsets the destination rect by sin((lifeMax-lifeRemaining)/T*360)*S when S != 0.
com/corrodinggames/rts/gameFramework/d/e,field,T,F,drawOscillationPeriod,drawOscillationPeriod,true,EffectInstance.draw divides elapsed life by T for the S-amplitude oscillation offset.
com/corrodinggames/rts/gameFramework/d/e,field,ac,F,textOffsetX,textOffsetX,true,EffectInstance.draw adds ac to the destination rect center X before drawing aa text.
com/corrodinggames/rts/gameFramework/d/e,field,ad,F,textOffsetY,textOffsetY,true,EffectInstance.draw adds ad to the destination rect center Y before drawing aa text.
com/corrodinggames/rts/gameFramework/d/e,field,au,F,cachedPaintAlpha,cachedPaintAlpha,true,EffectInstance.draw compares au against the current computed alpha before updating the mutable draw paint.
com/corrodinggames/rts/gameFramework/d/e,field,z,F,fadeToColorTime,fadeToColorTime,true,EffectInstance.draw compares elapsed life against z and linearly blends to fadeToColor over this time; reset sets z=-1.
com/corrodinggames/rts/gameFramework/d/e,field,D,I,sharedLightingColorFilterColor,sharedLightingColorFilterColor,true,EffectInstance.draw compares static D against the computed draw tint before reusing static LightingColorFilter C.
com/corrodinggames/rts/gameFramework/d/e,field,av,I,cachedPaintColor,cachedPaintColor,true,EffectInstance.draw compares av against the current computed RGB tint before updating the mutable draw paint.
com/corrodinggames/rts/gameFramework/d/e,field,g,I,builtInEffectKind,builtInEffectKind,true,EffectEngine built-in wrappers assign one of the static effect kind constants to EffectInstance.g before draw/update uses the selected strip behavior.
com/corrodinggames/rts/gameFramework/d/e,field,y,I,fadeToColor,fadeToColor,true,EffectInstance.draw blends base color toward field y while z is non-negative; reset sets y=-1.
com/corrodinggames/rts/gameFramework/d/e,field,C,Landroid/graphics/LightingColorFilter;,sharedLightingColorFilter,sharedLightingColorFilter,true,EffectInstance.draw caches the last LightingColorFilter in static C before assigning it to instance field B.
com/corrodinggames/rts/gameFramework/d/e,field,ab,Landroid/graphics/Paint;,textPaint,textPaint,true,EffectInstance.draw uses ab instead of the effect draw paint when rendering text if ab is non-null.
com/corrodinggames/rts/gameFramework/d/e,field,aa,Ljava/lang/String;,text,text,true,EffectInstance.draw renders aa as a string centered on the effect destination rect.
com/corrodinggames/rts/gameFramework/d/e,field,L,Z,drawLineTo,drawLineTo,true,EffectEngine.createLineEffect sets L=true; draw() renders a line from the effect rect to M/N/O when L is true.
com/corrodinggames/rts/gameFramework/d/e,field,aw,Z,hasAppliedColorFilter,hasAppliedColorFilter,true,EffectInstance.draw toggles aw when it applies or clears a LightingColorFilter on the mutable draw paint.
com/corrodinggames/rts/gameFramework/d/e,field,c,Z,castLightOnGround,castLightOnGround,true,CustomUnit projectile light path sets EffectInstance.c when CustomProjectileTemplate.lightCastOnGround is true.
com/corrodinggames/rts/gameFramework/d/e,field,d,Z,lightEffect,lightEffect,true,EffectEngine.createLightEffect sets d=true; CustomUnit projectile light reuse requires attachedObject==projectile and d==true.
com/corrodinggames/rts/gameFramework/d/c,method,<init>,()V,<init>,<init>,true,"EffectEngine constructor initializes effect-pool thresholds, reusable arrays, paints and built-in effect image-strip holders."
com/corrodinggames/rts/gameFramework/d/c,method,a,(FF)F,randomRange,randomRange,true,"Small helper delegates directly to CommonUtils random float in [min,max]."
com/corrodinggames/rts/gameFramework/d/c,method,b,(FFF)Lcom/corrodinggames/rts/gameFramework/d/e;,createSmallExplosionBuiltInEffect,createSmallExplosionBuiltInEffect,true,EffectTemplate BuiltInEffectType.smallExplosion calls this helper; large explosion cluster also uses it as the repeated child effect.
com/corrodinggames/rts/gameFramework/d/c,method,a,(FFF)V,emitLargeExplosionBuiltInEffect,emitLargeExplosionBuiltInEffect,true,EffectTemplate BuiltInEffectType.largeExplosion calls this void helper; it emits a randomized cluster via the 5-arg overload.
com/corrodinggames/rts/gameFramework/d/c,method,a,(FFFF)Lcom/corrodinggames/rts/gameFramework/d/e;,createSmallBuiltInEffect,createSmallBuiltInEffect,true,EffectTemplate BuiltInEffectType.small calls this overload; it delegates to the small built-in effect path with default color.
com/corrodinggames/rts/gameFramework/d/c,method,a,(FFFFF)V,emitLargeExplosionBuiltInEffect,emitLargeExplosionBuiltInEffect,true,Randomized cluster helper loops seven times and creates small explosion/debris effects around the input point.
com/corrodinggames/rts/gameFramework/d/c,method,a,(FFFFFF)Lcom/corrodinggames/rts/gameFramework/d/e;,createLineEffect,createLineEffect,true,"Creates an effect at start XYZ, sets drawLineTo=true, and stores target XYZ in EffectInstance.M/N/O."
com/corrodinggames/rts/gameFramework/d/c,method,a,(FFFFI)Lcom/corrodinggames/rts/gameFramework/d/e;,createSmallBuiltInEffect,createSmallBuiltInEffect,true,Small built-in effect overload accepts a color tint and delegates to the variant helper.
com/corrodinggames/rts/gameFramework/d/c,method,b,(FFFFI)Lcom/corrodinggames/rts/gameFramework/d/e;,createLargeBuiltInEffect,createLargeBuiltInEffect,true,"EffectTemplate BuiltInEffectType.medium/large call this path; medium adjusts returned scale to 0.75, large uses the default scale."
