change_type,kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,old_named_name,old_intermediary_name,old_source
added,method,com/corrodinggames/rts/gameFramework/w,(F)V,a,method_GameObject_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,class,com/corrodinggames/rts/gameFramework/d/f,,,rw/internal/gameFramework/d/f,rustedwarfare/internal/gameFramework/d/f,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,low-generic,owner class row added so hierarchy-wide lifecycle methods are present in Tiny,generic class row; semantic class name intentionally deferred,,,
added,method,com/corrodinggames/rts/gameFramework/d/f,(F)V,a,method_f_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/am,(F)V,a,method_Unit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/al,(F)V,a,method_TreeUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/ai,(F)V,a,method_SpreadingFireUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/y,(F)V,a,method_OrderableUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/x,(F)V,a,method_SpecialAirUnitBase_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/gameFramework/f/x,(F)V,a,method_ResourceDisplayPlaceholderUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,class,com/corrodinggames/rts/game/units/u,,,rw/internal/game/units/u,rustedwarfare/internal/game/units/u,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,low-generic,owner class row added so hierarchy-wide lifecycle methods are present in Tiny,generic class row; semantic class name intentionally deferred,,,
added,method,com/corrodinggames/rts/game/units/u,(F)V,a,method_u_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,class,com/corrodinggames/rts/game/units/f,,,rw/internal/game/units/f,rustedwarfare/internal/game/units/f,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,low-generic,owner class row added so hierarchy-wide lifecycle methods are present in Tiny,generic class row; semantic class name intentionally deferred,,,
added,method,com/corrodinggames/rts/game/units/f,(F)V,a,method_f_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/f,(F)V,a,method_WaterUnitBase_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/e,(F)V,a,method_AttackSubmarineUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/d,(F)V,a,method_ScoutShipUnit_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
added,method,com/corrodinggames/rts/game/units/h/c,(F)V,a,method_Obf_h_c_update,update,v0.38-runtime-lifecycle-draw-family,runtime-lifecycle,high,GameObjectManager update loop calls GameObject.a(float) for every active GameObject; existing Projectile/CustomUnit semantics were update.,hierarchy-wide lifecycle/draw override family; all actual overrides mapped to same named method to prevent named-jar override breakage,,,
