action,kind,owner_official,official_name,descriptor,named_name,evidence,confidence
added,class,com/corrodinggames/rts/gameFramework/d/b,,,rustedwarfare/render/effect/NoiseCloudOverlay,"javap references SettingsEngine.renderClouds, R$drawable.noise, scrolling offsets, and tiled draw call",high
added,class,com/corrodinggames/rts/gameFramework/d/c,,,rustedwarfare/render/effect/EffectEngine,GameEngine.bR owner; allocates EffectInstance pool; loads effects/effects2/projectiles/effects3 strips,high
added,class,com/corrodinggames/rts/gameFramework/d/d,,,rustedwarfare/render/effect/BuiltInEffectKind,javap enum constants: custom/smoke/teleport/hitGround/playerLand/playerJump/gemCollect/keyDoorOpen/blood,high
added,class,com/corrodinggames/rts/gameFramework/d/e,,,rustedwarfare/render/effect/EffectInstance,pooled effect object created/reset/updated/drawn by EffectEngine; target of EffectTemplate.spawnEffect,high
added,class,com/corrodinggames/rts/gameFramework/d/h,,,rustedwarfare/render/effect/EffectPriority,javap enum constants: verylow/low/high/veryhigh/critical; EffectEngine uses per-priority budgets,high
updated,class,com/corrodinggames/rts/gameFramework/d/f,,,rustedwarfare/render/effect/ResourcePoolSmokeEffect,EffectTemplate builtInEffect resourcePoolSmoke calls d/f factory methods and sets resource color/life,medium-high
added,field,com/corrodinggames/rts/gameFramework/l,bR,Lcom/corrodinggames/rts/gameFramework/d/c;,effectEngine,EffectTemplate.spawnEffect reads GameEngine.bR and invokes EffectEngine creation methods,high
added,field,com/corrodinggames/rts/gameFramework/d/h,a,Lcom/corrodinggames/rts/gameFramework/d/h;,verylow,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/h,b,Lcom/corrodinggames/rts/gameFramework/d/h;,low,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/h,c,Lcom/corrodinggames/rts/gameFramework/d/h;,high,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/h,d,Lcom/corrodinggames/rts/gameFramework/d/h;,veryhigh,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/h,e,Lcom/corrodinggames/rts/gameFramework/d/h;,critical,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/h,f,[Lcom/corrodinggames/rts/gameFramework/d/h;,$VALUES,compiler enum values array,confirmed
added,method,com/corrodinggames/rts/gameFramework/d/h,values,()[Lcom/corrodinggames/rts/gameFramework/d/h;,values,compiler enum values method,confirmed
added,method,com/corrodinggames/rts/gameFramework/d/h,valueOf,(Ljava/lang/String;)Lcom/corrodinggames/rts/gameFramework/d/h;,valueOf,compiler enum valueOf method,confirmed
added,method,com/corrodinggames/rts/gameFramework/d/h,a,(Lcom/corrodinggames/rts/gameFramework/d/h;)Z,isAtLeast,used by EffectEngine slot search to filter reusable effects by minimum priority,high
added,field,com/corrodinggames/rts/gameFramework/d/d,a,Lcom/corrodinggames/rts/gameFramework/d/d;,custom,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,b,Lcom/corrodinggames/rts/gameFramework/d/d;,smoke,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,c,Lcom/corrodinggames/rts/gameFramework/d/d;,teleport,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,d,Lcom/corrodinggames/rts/gameFramework/d/d;,hitGround,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,e,Lcom/corrodinggames/rts/gameFramework/d/d;,playerLand,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,f,Lcom/corrodinggames/rts/gameFramework/d/d;,playerJump,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,g,Lcom/corrodinggames/rts/gameFramework/d/d;,gemCollect,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,h,Lcom/corrodinggames/rts/gameFramework/d/d;,keyDoorOpen,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,i,Lcom/corrodinggames/rts/gameFramework/d/d;,blood,javap <clinit> enum string order,high
added,field,com/corrodinggames/rts/gameFramework/d/d,j,[Lcom/corrodinggames/rts/gameFramework/d/d;,$VALUES,compiler enum values array,confirmed
added,method,com/corrodinggames/rts/gameFramework/d/d,values,()[Lcom/corrodinggames/rts/gameFramework/d/d;,values,compiler enum values method,confirmed
added,method,com/corrodinggames/rts/gameFramework/d/d,valueOf,(Ljava/lang/String;)Lcom/corrodinggames/rts/gameFramework/d/d;,valueOf,compiler enum valueOf method,confirmed
added,field,com/corrodinggames/rts/gameFramework/d/b,a,Z,loaded,constructor/reset and loadNoiseTexture set flag,high
added,field,com/corrodinggames/rts/gameFramework/d/b,b,Lcom/corrodinggames/rts/gameFramework/m/e;,noiseImage,loadNoiseTexture loads R$drawable.noise,high
added,field,com/corrodinggames/rts/gameFramework/d/b,c,Landroid/graphics/Paint;,paint,drawNoiseCloudOverlay configures black alpha paint,high
added,field,com/corrodinggames/rts/gameFramework/d/b,d,Landroid/graphics/RectF;,screenRect,drawNoiseCloudOverlay sets rect from camera dimensions,high
added,field,com/corrodinggames/rts/gameFramework/d/b,e,F,scrollX,update increments by 0.2*delta and wraps by image width,high
added,field,com/corrodinggames/rts/gameFramework/d/b,f,F,scrollY,update increments by 0.07*delta and wraps by image height,high
added,method,com/corrodinggames/rts/gameFramework/d/b,a,()Z,isEnabled,returns SettingsEngine.renderClouds,high
added,method,com/corrodinggames/rts/gameFramework/d/b,b,()V,loadNoiseTexture,loads R$drawable.noise and marks loaded,high
added,method,com/corrodinggames/rts/gameFramework/d/b,a,(F)V,update,updates scroll offsets when renderClouds enabled,high
added,method,com/corrodinggames/rts/gameFramework/d/b,b,(F)V,draw,draws tiled noise overlay through GraphicsEngine,high
added,field,com/corrodinggames/rts/gameFramework/d/c,a,I,activeEffectCount,decremented by EffectInstance.deactivate; removeAll sanity checks active count,high
added,field,com/corrodinggames/rts/gameFramework/d/c,b,I,maxVeryLowEffects,constructor default 80; budget checked for verylow priority,high
added,field,com/corrodinggames/rts/gameFramework/d/c,c,I,maxLowEffects,constructor default 100; budget checked for low priority,high
