kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/j/ad,I,h,field_ad_chatSpamLimit,chatSpamLimit,v0.65-network-handshake-sync,network-handshake-sync,high,constructor sets 25; chat buffer count over 60000 ms is compared with this field before spam warning/kick,
field,com/corrodinggames/rts/gameFramework/j/ad,Z,B,field_ad_networkingStarted,networkingStarted,v0.65-network-handshake-sync,network-handshake-sync,high,"startServer/startSinglePlayer/connectToSocket set true; startServer throws ""networking already started"" when set",
field,com/corrodinggames/rts/gameFramework/j/ad,Z,F,field_ad_singlePlayerServer,singlePlayerServer,v0.65-network-handshake-sync,network-handshake-sync,high,singleplayer start path S() sets this true together with isServer/networkingStarted,
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/lang/String;,S,field_ad_remoteServerId,remoteServerId,v0.65-network-handshake-sync,network-handshake-sync,high,client preregister-info receive path stores server id string; ac() returns it when not server,
field,com/corrodinggames/rts/gameFramework/j/ad,I,T,field_ad_serverChallengeNonce,serverChallengeNonce,v0.65-network-handshake-sync,network-handshake-sync,high,pre-register info receive stores challenge nonce; sendRegisterConnection writes buildClientIntegrityResponse(T),
field,com/corrodinggames/rts/gameFramework/j/ad,I,U,field_ad_extraChallengeSeed,extraChallengeSeed,v0.65-network-handshake-sync,network-handshake-sync,high,pre-register info receive stores extra challenge seed; sendRegisterConnection writes buildExtraIntegrityResponse(U),
field,com/corrodinggames/rts/gameFramework/j/ad,I,W,field_ad_extraIntegritySeed,extraIntegritySeed,v0.65-network-handshake-sync,network-handshake-sync,high,constructor randomizes 1..9000000; server pre-register info sends it and register validation compares buildExtraIntegrityResponse(W),
field,com/corrodinggames/rts/gameFramework/j/ad,Lcom/corrodinggames/rts/gameFramework/j/a;,aC,field_ad_chatHistory,chatHistory,v0.65-network-handshake-sync,network-handshake-sync,high,"constructor creates j/a and chat spam path calls a(connection,60000) on it",
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/lang/Thread;,aD,field_ad_tcpServerSocketThread,tcpServerSocketThread,v0.65-network-handshake-sync,network-handshake-sync,high,startServer creates Thread around aE TCP ServerSocketWorker,
field,com/corrodinggames/rts/gameFramework/j/ad,Lcom/corrodinggames/rts/gameFramework/j/ao;,aE,field_ad_tcpServerSocketWorker,tcpServerSocketWorker,v0.65-network-handshake-sync,network-handshake-sync,high,startServer creates ServerSocketWorker and calls startServerSocket(false) before assigning thread aD,
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/lang/Thread;,aF,field_ad_udpServerSocketThread,udpServerSocketThread,v0.65-network-handshake-sync,network-handshake-sync,high,startServer creates Thread around aG UDP ServerSocketWorker,
field,com/corrodinggames/rts/gameFramework/j/ad,Lcom/corrodinggames/rts/gameFramework/j/ao;,aG,field_ad_udpServerSocketWorker,udpServerSocketWorker,v0.65-network-handshake-sync,network-handshake-sync,high,startServer creates ServerSocketWorker and calls startServerSocket(true) before assigning thread aF,
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/util/Timer;,aH,field_ad_pingTimer,pingTimer,v0.65-network-handshake-sync,network-handshake-sync,high,server local player init schedules NetworkPingerTask on this Timer every 100 ms,
field,com/corrodinggames/rts/gameFramework/j/ad,Lcom/corrodinggames/rts/gameFramework/j/av;,aI,field_ad_networkPingerTask,networkPingerTask,v0.65-network-handshake-sync,network-handshake-sync,high,server local player init creates av; av.run sends packet 108 and deferred player updates,
field,com/corrodinggames/rts/gameFramework/j/ad,Lcom/corrodinggames/rts/gameFramework/j/c;,aL,field_ad_localConnection,localConnection,v0.65-network-handshake-sync,network-handshake-sync,high,"constructor creates NetworkConnection(this,null) and marks validated=true for local/server side logic",
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/util/concurrent/ConcurrentLinkedQueue;,aN,field_ad_incomingPackets,incomingPackets,v0.65-network-handshake-sync,network-handshake-sync,high,ConnectionReaderThread adds small/system packets to this queue after reading bytes from socket,
field,com/corrodinggames/rts/gameFramework/j/ad,I,aP,field_ad_nextConnectionId,nextConnectionId,v0.65-network-handshake-sync,network-handshake-sync,high,NetworkConnection constructor assigns connectionId from this field under connectionIdLock and increments it,
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/lang/Object;,aQ,field_ad_connectionIdLock,connectionIdLock,v0.65-network-handshake-sync,network-handshake-sync,high,NetworkConnection constructor synchronizes on this object when assigning nextConnectionId,
field,com/corrodinggames/rts/gameFramework/j/ad,Lcom/corrodinggames/rts/game/e;,bj,field_ad_spectatorTeam,spectatorTeam,v0.65-network-handshake-sync,network-handshake-sync,high,constructor creates team id -3 named SPECTATOR,
field,com/corrodinggames/rts/gameFramework/j/ad,Lcom/corrodinggames/rts/game/e;,bk,field_ad_adminTeam,adminTeam,v0.65-network-handshake-sync,network-handshake-sync,high,constructor creates team id -1 named ADMIN; server local-player init uses it for admin/spectator host path,
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/net/Socket;,bv,field_ad_lastConnectedSocket,lastConnectedSocket,v0.65-network-handshake-sync,network-handshake-sync,high,connectToSocket stores socket; reconnectToServer uses this socket host/port,
field,com/corrodinggames/rts/gameFramework/j/ad,Z,bz,field_ad_sentRegisterConnection,sentRegisterConnection,v0.65-network-handshake-sync,network-handshake-sync,high,sendRegisterConnection sets true; preregister receive logs when register connection has already been sent,
method,com/corrodinggames/rts/gameFramework/j/ad,()V,L,method_ad_broadcastServerInfo,broadcastServerInfo,v0.65-network-handshake-sync,network-handshake-sync,high,iterates validated connections and calls sendServerInfo(connection),
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;)V,c,method_ad_sendServerInfo,sendServerInfo,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""sendServerInfo: we are not a server!""; builds packet type 106 with GameSetup and mod info",
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;Ljava/lang/String;)V,a,method_ad_sendKick,sendKick,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""sendKick: we are not a server!"" and ""kicking client reason:""; sends packet 150",
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;)V,d,method_ad_sendIncorrectPassword,sendIncorrectPassword,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""sendIncorrectPassword""; sends packet 113",
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;)V,f,method_ad_sendPreRegisterInfoRequest,sendPreRegisterInfoRequest,v0.65-network-handshake-sync,network-handshake-sync,high,client writes package/protocol/platform/name/locale/misc and sends packet 160 before REGISTER_CONNECTION,
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;)V,g,method_ad_sendPreRegisterInfo,sendPreRegisterInfo,v0.65-network-handshake-sync,network-handshake-sync,high,server writes package/protocol/version/serverId/challenge/extra seed and sends packet 161,
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;)V,h,method_ad_sendRegisterConnection,sendRegisterConnection,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""sendRegisterConnection...""; client writes username/password hash/version/check responses and sends packet 110",
method,com/corrodinggames/rts/gameFramework/j/ad,()V,P,method_ad_schedulePlayerUpdate,schedulePlayerUpdate,v0.65-network-handshake-sync,network-handshake-sync,high,sets deferred player-update timestamp au when not already pending,
method,com/corrodinggames/rts/gameFramework/j/ad,()V,Q,method_ad_flushScheduledPlayerUpdate,flushScheduledPlayerUpdate,v0.65-network-handshake-sync,network-handshake-sync,high,clears deferred timestamp and calls sendUpdatePlayer(null),
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;)V,e,method_ad_sendUpdatePlayer,sendUpdatePlayer,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""sendUpdatePlayer: we are not a server!""; sends packet 115 with teams/game setup/player slots",
method,com/corrodinggames/rts/gameFramework/j/ad,()Z,S,method_ad_startSinglePlayerServer,startSinglePlayerServer,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""singleplayer server started""; sets networkingStarted/isServer/singlePlayerServer and local GameSetup",
method,com/corrodinggames/rts/gameFramework/j/ad,(Z)Z,b,method_ad_startServer,startServer,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""networking already started""/""server started""; opens TCP/UDP ServerSocketWorker",
method,com/corrodinggames/rts/gameFramework/j/ad,(Z)V,c,method_ad_initServerLocalPlayerAndPinger,initServerLocalPlayerAndPinger,v0.65-network-handshake-sync,network-handshake-sync,high,sets server local/admin player and starts pinger TimerTask if missing,
method,com/corrodinggames/rts/gameFramework/j/ad,()Z,V,method_ad_reconnectToServer,reconnectToServer,v0.65-network-handshake-sync,network-handshake-sync,high,"string evidence: ""reconnectToServer attempted""; reconnects to lastConnectedSocket host/port",
method,com/corrodinggames/rts/gameFramework/j/ad,()V,aA,method_ad_randomizeGameSetupSeed,randomizeGameSetupSeed,v0.65-network-handshake-sync,network-handshake-sync,high,sets GameSetup.randomSeed to random 1..1000000000 before server start,
method,com/corrodinggames/rts/gameFramework/j/ad,(I)Ljava/lang/String;,g,method_ad_buildClientIntegrityResponse,buildClientIntegrityResponse,v0.65-network-handshake-sync,network-handshake-sync,high,REGISTER_CONNECTION validation compares this response against client response using connection challenge nonce,
