kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/rts/game/units/custom/bn,()V,<init>,method_bn_<init>,<init>,v0.29-action-projectile-expansion,turret-template,confirmed,member inventory + javap declaration,"default constructor; initializes range, warmup, idle sweep defaults"
field,com/corrodinggames/rts/game/units/custom/bn,Z,l,field_bn_hasIdleDirReversing,hasIdleDirReversing,v0.29-action-projectile-expansion,turret-template,confirmed,javap parse method: key idleDirReversing sets k:F and l:Z,flag tracks whether idleDirReversing was explicitly configured
field,com/corrodinggames/rts/game/units/custom/bn,Lcom/corrodinggames/rts/game/units/custom/bn;,z,field_bn_slaveAttachedTurret,slaveAttachedTurret,v0.29-action-projectile-expansion,turret-template,medium-high,javap parse method: if slave then z = attachedTo turret,derived runtime turret link for slave turrets
field,com/corrodinggames/rts/game/units/custom/bn,Z,H,field_bn_hasTargetingRestrictions,hasTargetingRestrictions,v0.29-action-projectile-expansion,turret-template,medium-high,javap parse finalization: set when angle/range/tag/LogicBoolean targeting constraints exist,fast path flag used by CustomUnit target checks
field,com/corrodinggames/rts/game/units/custom/bn,Z,I,field_bn_hasRangeRestriction,hasRangeRestriction,v0.29-action-projectile-expansion,turret-template,medium-high,CustomUnit range check reads I before comparing squared range,fast path flag for min/max range checks
field,com/corrodinggames/rts/game/units/custom/bn,F,ad,field_bn_resolvedLimitingRange,resolvedLimitingRange,v0.29-action-projectile-expansion,turret-template,medium-high,javap parse finalization: ad = limitingRange or metadata default main range,resolved max range after defaults
field,com/corrodinggames/rts/game/units/custom/bn,F,ae,field_bn_limitingRangeSquared,limitingRangeSquared,v0.29-action-projectile-expansion,turret-template,medium-high,javap parse finalization: ae = ad * ad; CustomUnit compares distanceSq against ae,cached squared max range
field,com/corrodinggames/rts/game/units/custom/bn,F,ah,field_bn_limitingMinRangeSquared,limitingMinRangeSquared,v0.29-action-projectile-expansion,turret-template,medium-high,javap constructor default -1 and CustomUnit compares distanceSq against ah,cached squared min range
method,com/corrodinggames/rts/game/units/custom/bh,()V,<init>,method_bh_<init>,<init>,v0.29-action-projectile-expansion,projectile-template,confirmed,member inventory + javap declaration,custom projectile template constructor
field,com/corrodinggames/rts/game/units/custom/ay,Ljava/lang/String;,name,field_ay_name,name,v0.29-action-projectile-expansion,effect-template,confirmed,javap declaration keeps original field name; parse uses effect section suffix,effect template internal name / section suffix
method,com/corrodinggames/rts/game/units/custom/ay,(Lcom/corrodinggames/rts/game/units/custom/az;)V,<init>,method_ay_<init>,<init>,v0.29-action-projectile-expansion,effect-template,confirmed,member inventory + javap declaration,built-in effect constructor
method,com/corrodinggames/rts/game/units/custom/ay,(Ljava/lang/String;)V,<init>,method_ay_<init>,<init>,v0.29-action-projectile-expansion,effect-template,confirmed,member inventory + javap declaration,named custom effect constructor
method,com/corrodinggames/rts/game/units/custom/z,(Lcom/corrodinggames/rts/game/units/custom/l;Ljava/lang/String;)V,<init>,method_z_<init>,<init>,v0.29-action-projectile-expansion,effect-list,confirmed,member inventory + javap declaration,effect list constructor registered on metadata pending effect list
method,com/corrodinggames/rts/game/units/custom/z,(Lcom/corrodinggames/rts/game/units/custom/l;Ljava/lang/String;Lcom/corrodinggames/rts/game/units/custom/l$1;)V,<init>,method_z_<init>,<init>,v0.29-action-projectile-expansion,effect-list,confirmed,member inventory + javap declaration,synthetic bridge constructor
method,com/corrodinggames/rts/game/units/custom/bi,()V,<init>,method_bi_<init>,<init>,v0.29-action-projectile-expansion,projectile-spawn-list,confirmed,member inventory + javap declaration,projectile spawn list default constructor
method,com/corrodinggames/rts/game/units/custom/a/d,()V,<init>,method_d_<init>,<init>,v0.29-action-projectile-expansion,custom-action,confirmed,member inventory + javap declaration,custom action config constructor
method,com/corrodinggames/rts/game/units/custom/a/a,()V,<init>,method_a_<init>,<init>,v0.29-action-projectile-expansion,custom-action-effect-base,confirmed,member inventory + javap declaration,constructor added for action/effect parser completeness
method,com/corrodinggames/rts/game/units/custom/a/a/a,()V,<init>,method_a_<init>,<init>,v0.29-action-projectile-expansion,resource-modification-action-effect,confirmed,member inventory + javap declaration,constructor added for action/effect parser completeness
method,com/corrodinggames/rts/game/units/custom/a/a/b,()V,<init>,method_b_<init>,<init>,v0.29-action-projectile-expansion,waypoint-action-effect,confirmed,member inventory + javap declaration,constructor added for action/effect parser completeness
