kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/rts/game/units/am,()F,cy,method_am_getCreditGenerationPerSecond,getCreditGenerationPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,"Unit base returns 0.0f; HUD code calls Unit.cy() when rendering ""Income: $"" lines.",Override-family method used both by built-in credit generators and custom generation resource accounting.
method,com/corrodinggames/rts/game/units/custom/j,()F,cy,method_j_getCreditGenerationPerSecond,getCreditGenerationPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,CustomUnit.cy() returns generationResources.credits multiplied by generationRateScale while generationResourcesActive is true.,Override-family method used both by built-in credit generators and custom generation resource accounting.
method,com/corrodinggames/rts/game/units/d/e,()F,cy,method_e_getCreditGenerationPerSecond,getCreditGenerationPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,Extractor update credits team income with cy() * Team.ap/Team.ao and cy() returns 18.0f.,Override-family method used both by built-in credit generators and custom generation resource accounting.
method,com/corrodinggames/rts/game/units/d/g,()F,cy,method_g_getCreditGenerationPerSecond,getCreditGenerationPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,Tiered extractor/fabricator update credits team income with cy() * Team.ap/Team.ao and cy() returns 8/12/18 depending on tech level.,Override-family method used both by built-in credit generators and custom generation resource accounting.
method,com/corrodinggames/rts/game/units/d/h,()F,cy,method_h_getCreditGenerationPerSecond,getCreditGenerationPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,Fabricator update credits team income with cy() * Team.ap/Team.ao and cy() returns tier-dependent 2/7/14.,Override-family method used both by built-in credit generators and custom generation resource accounting.
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/custom/e/f;,cz,method_am_getGenerationResourcesPerSecond,getGenerationResourcesPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,Unit base wraps getCreditGenerationPerSecond into a StoredResourceSet for credits or returns StoredResourceSet.empty.,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/custom/e/f;,cz,method_j_getGenerationResourcesPerSecond,getGenerationResourcesPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,"CustomUnit returns CustomUnitMetadata.generationResourcesPerSecond while generationResourcesActive is true, otherwise StoredResourceSet.empty.",
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/custom/e/f;,cA,method_am_getGlobalGenerationResourcesPerSecond,getGlobalGenerationResourcesPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,Unit base returns StoredResourceSet.empty; CustomUnit override returns the non-built-in global generation-resource subset.,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/custom/e/f;,cA,method_j_getGlobalGenerationResourcesPerSecond,getGlobalGenerationResourcesPerSecond,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,"CustomUnit returns CustomUnitMetadata.globalGenerationResourcesPerSecond while generationResourcesActive is true, otherwise StoredResourceSet.empty.",
method,com/corrodinggames/rts/game/units/am,()F,g,method_am_getResourceRate,getResourceRate,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,Unit base returns 0.0f; CustomUnit override returns metadata.resourceRate and cP() uses it when auto-completing zero-build-rate resource producers.,
method,com/corrodinggames/rts/game/units/custom/j,()F,g,method_j_getResourceRate,getResourceRate,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,"CustomUnit.g() returns CustomUnitMetadata.resourceRate (field cF), loaded from the custom unit resource declaration.",
method,com/corrodinggames/rts/game/units/e,()F,g,method_e_getResourceRate,getResourceRate,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,"Crystal resource unit override returns 0.02f, matching the resourceRate-style contract inherited from Unit.g().",
method,com/corrodinggames/rts/game/units/am,()I,cQ,method_am_getResourceMaxConcurrentReclaimingThis,getResourceMaxConcurrentReclaimingThis,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,Unit base returns Integer.MAX_VALUE; CustomUnit override returns metadata.resourceMaxConcurrentReclaimingThis.,
method,com/corrodinggames/rts/game/units/custom/j,()I,cQ,method_j_getResourceMaxConcurrentReclaimingThis,getResourceMaxConcurrentReclaimingThis,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,"CustomUnit.cQ() returns CustomUnitMetadata.resourceMaxConcurrentReclaimingThis (field cG), matching the INI key.",
method,com/corrodinggames/rts/game/units/y,()Lcom/corrodinggames/rts/game/units/custom/d/b;,by,method_y_getQueuedActionResourceDelta,getQueuedActionResourceDelta,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,OrderableUnit base returns ResourceAmount.empty; CustomUnit override scans queued custom actions for timer/resource deltas.,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/custom/d/b;,by,method_j_getQueuedActionResourceDelta,getQueuedActionResourceDelta,v0.81-resource-tag-memory-action-effect,resource-tag-memory-action-effect,high,"CustomUnit.by() iterates the build queue, resolves each queued CustomAction, and aggregates customTimerDelta/addResources/addResourcesScaledByAIHandicaps into a ResourceAmount.",
