kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/units/custom/b/m,Lcom/corrodinggames/rts/game/units/custom/b/m;,a,field_m_instance,instance,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,AttachmentBehavior.<clinit> creates the singleton and parseAttachmentSections registers it on CustomUnitMetadata when attachment_* sections exist.,
method,com/corrodinggames/rts/game/units/am,(Z)Lcom/corrodinggames/rts/gameFramework/utility/m;,e,method_am_getAttachedUnitActions,getAttachedUnitActions,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,Base Unit.e(boolean) returns null; CommandInterface calls this override hook when building the selected-unit command list to include actions exposed by attached units.,
method,com/corrodinggames/rts/game/units/custom/j,(Z)Lcom/corrodinggames/rts/gameFramework/utility/m;,e,method_j_getAttachedUnitActions,getAttachedUnitActions,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,"CustomUnit.e(boolean) clears attachedUnitActionBuffer, calls AttachmentBehavior.collectAttachedUnitActions when attachment slots exist, and returns the buffer only if exposed attached-unit actions were added.",
field,com/corrodinggames/rts/game/units/custom/l,Z,ay,field_l_hasDrawOverBodyLegs,hasDrawOverBodyLegs,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,"LegOrArmTemplate.parseFromConfig reads drawOverBody; when any template sets it, metadata l.ay is set and CustomUnit draw path runs LegAnimationBehavior.drawLegLayer(unit,dt,true,false).",
field,com/corrodinggames/rts/game/units/custom/l,Z,az,field_l_hasDrawUnderAllUnitsLegs,hasDrawUnderAllUnitsLegs,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,"LegOrArmTemplate.parseFromConfig reads drawUnderAllUnits; when any template sets it, metadata l.az is set and CustomUnit shadow/under-unit draw path runs LegAnimationBehavior.drawLegLayer(unit,dt,false,true).",
field,com/corrodinggames/rts/game/units/custom/b/h,Lcom/corrodinggames/rts/game/units/custom/b/a;,a,field_h_instance,instance,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,CustomUnitLoader registers this singleton on CustomUnitMetadata when legOrArmTemplates are present; CustomUnit.refreshLegRuntimeStates also invokes it directly.,
field,com/corrodinggames/rts/game/units/custom/b/h,Landroid/graphics/Rect;,b,field_h_scratchSourceRect,scratchSourceRect,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior.drawLegLayer reuses this Rect while drawing leg/end image source rectangles.,
field,com/corrodinggames/rts/game/units/custom/b/h,Landroid/graphics/RectF;,c,field_h_scratchDestRect,scratchDestRect,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior.drawLegLayer reuses this RectF while drawing leg/end image destination rectangles.,
field,com/corrodinggames/rts/game/units/custom/b/h,Landroid/graphics/Paint;,d,field_h_scratchPaint,scratchPaint,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior.drawLegLayer copies unit paint into this static Paint when alpha has to be adjusted for height/runtime leg alpha.,
method,com/corrodinggames/rts/game/units/custom/b/h,(Lcom/corrodinggames/rts/game/units/custom/j;FZZ)V,a,method_h_drawLegLayer,drawLegLayer,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,"Static renderer called from CustomUnit draw passes with (drawOverBody, drawUnderAllUnits) booleans; it filters LegOrArmTemplate.drawOverBody/drawUnderAllUnits, applies hidden/alpha checks, draws shadows, feet/end images, middle/leg images, and optional link lines.",
field,com/corrodinggames/rts/game/units/custom/b/i,I,a,field_i_index,index,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,CustomUnit.ensureLegRuntimeStates writes the leg/arm slot index into LegRuntimeState.a after allocating each runtime state.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,b,field_i_footX,footX,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior update writes current foot X offset; CustomUnit save/load serializes it and drawLegLayer renders at unit.eo + footX.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,c,field_i_footY,footY,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior update writes current foot Y offset; CustomUnit save/load serializes it and drawLegLayer renders at unit.ep + footY.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,d,field_i_footHeight,footHeight,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior update moves this height toward target/lifting values; CustomUnit save/load serializes it and drawLegLayer subtracts it from the rendered Y position.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,e,field_i_moveWarmupTimer,moveWarmupTimer,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,"When a leg starts moving, update code increments LegRuntimeState.e until it reaches LegOrArmTemplate.moveWarmUp before raising/lowering the foot.",
field,com/corrodinggames/rts/game/units/custom/b/i,F,f,field_i_targetX,targetX,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior computes rotated template x/y plus runtime offsets into targetX/targetY; movement interpolation approaches these target coordinates.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,g,field_i_targetY,targetY,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior computes rotated template x/y plus runtime offsets into targetX/targetY; movement interpolation approaches these target coordinates.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,h,field_i_distanceToTargetSquared,distanceToTargetSquared,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,"Update code stores CommonUtils.distanceSquared(footX, footY, targetX, targetY) here and compares it to holdDisMin/hardLimit squared thresholds.",
field,com/corrodinggames/rts/game/units/custom/b/i,F,i,field_i_footDir,footDir,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,CustomUnit save/load serializes this angle; update approaches bodyDir + LegOrArmTemplate.endDirOffset and drawLegLayer renders end/middle images using footDir + spinAngle + drawDirOffset.,
field,com/corrodinggames/rts/game/units/custom/b/i,Z,j,field_i_landingEffectEmitted,landingEffectEmitted,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,Update code clears this when a foot is moving and sets it after the foot lands so dust/splash landing effects are only emitted once per step.,
field,com/corrodinggames/rts/game/units/custom/b/i,Z,k,field_i_moving,moving,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,Update code sets this when hold distance/hard limit logic starts a step; save/load serializes it and neighboring-leg logic counts moving legs through this flag.,
field,com/corrodinggames/rts/game/units/custom/b/i,Z,m,field_i_needsPositionReset,needsPositionReset,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,Constructor and CustomUnit.ensureLegRuntimeStates initialize this true; update consumes it by snapping foot position/dir to the current template target.,
field,com/corrodinggames/rts/game/units/custom/b/i,Z,n,field_i_fallingReset,fallingReset,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,CustomUnit.markLegsForFalling sets this with needsPositionReset; update applies the special falling reset by shrinking initial offsets and lowering footHeight.,
field,com/corrodinggames/rts/game/units/custom/b/i,Z,o,field_i_positionDirty,positionDirty,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,Update code sets this when unit movement/rotation or reset changes leg target/current state and uses it as the fast-path gate before recomputing target placement.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,r,field_i_spinAngle,spinAngle,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,LegAnimationBehavior increments this by LegOrArmTemplate.spinRate * delta and wraps at 360; drawLegLayer adds it to image rotation.,
field,com/corrodinggames/rts/game/units/custom/b/i,F,s,field_i_alpha,alpha,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,CustomUnit.ensureLegRuntimeStates copies LegOrArmTemplate.alpha into LegRuntimeState.s; drawLegLayer multiplies render alpha by this runtime value.,
method,com/corrodinggames/rts/game/units/custom/j,()V,du,method_j_ensureLegRuntimeStates,ensureLegRuntimeStates,v0.79-attachment-leg-decal-runtime,attachment-leg-decal-runtime,high,"CustomUnit.du creates/resizes dT to match metadata.legOrArmTemplates, initializes LegRuntimeState.index and alpha from each template, snapshots unit position/height/dir, then refreshes leg runtime states.",
