kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/librocket/a,()Ljava/util/LinkedList;,k,method_a_getGameLogLines,getGameLogLines,v0.64-librocket-ui-script-surface,librocket-ui-controller,high,Root.writeGameLog/exportGameLog call LibRocketUiController.getInstance().k() and iterate log lines; null means no log data.,
method,com/corrodinggames/librocket/a,()V,l,method_a_showKeyboard,showKeyboard,v0.64-librocket-ui-script-surface,librocket-ui-controller,high,Root.showPopupWithButtonsAndInput/showInputPopup call this when the text input default is empty; desktop implementation is a no-op hook.,
method,com/corrodinggames/librocket/a,()V,m,method_a_hideKeyboard,hideKeyboard,v0.64-librocket-ui-script-surface,librocket-ui-controller,high,Root.hideKeyboard and chat send methods call this before sending/closing text input; desktop implementation is a no-op hook.,
method,com/corrodinggames/librocket/a,()V,n,method_a_onPageMinSizeChanged,onPageMinSizeChanged,v0.64-librocket-ui-script-surface,librocket-ui-controller,high,Root.setPageMinWidthAndHeight updates page minWidth/minHeight metadata then calls this platform hook.,
method,com/corrodinggames/librocket/b,(Lcom/Element;Z)V,a,method_b_loadCharsetIfNeededOnChildren,loadCharsetIfNeededOnChildren,v0.64-librocket-ui-script-surface,librocket-ui-engine,high,"Bytecode logs ""loadCharsetIfNeededOnChildren"", walks nested children and calls loadCharsetIfNeededWithCurrentText on p/h/label/button/select/option elements.",
field,com/corrodinggames/rts/gameFramework/j/ae,Ljava/lang/String;,e,field_PasswordPrompt_customTitle,customTitle,v0.64-librocket-ui-script-surface,librocket-password-prompt,high,"Password popup title override; used instead of ""Password Required""/""Server Question"" when present.",
field,com/corrodinggames/rts/gameFramework/j/ae,Ljava/lang/String;,f,field_PasswordPrompt_positiveButtonText,positiveButtonText,v0.64-librocket-ui-script-surface,librocket-password-prompt,high,"Password popup positive/submit button text; default is ""Join"".",
field,com/corrodinggames/rts/gameFramework/j/ae,Ljava/lang/String;,g,field_PasswordPrompt_negativeButtonText,negativeButtonText,v0.64-librocket-ui-script-surface,librocket-password-prompt,high,"Password popup negative/cancel button text; default is ""Close"".",
class,com/corrodinggames/librocket/a$1,,,rw/ui/LibRocketUiController$UnicodeEnteredEventRunnable,rustedwarfare/ui/LibRocketUiController$UnicodeEnteredEventRunnable,v0.64-librocket-ui-script-surface,librocket-ui-controller,high,Queued from handleKeyPressed when unicode char > 255; run() calls Root.event_unicodeEntered().,
field,com/corrodinggames/librocket/a$1,Lcom/corrodinggames/librocket/a;,a,field_LibRocketUiController_UnicodeEnteredEventRunnable_controller,controller,v0.64-librocket-ui-script-surface,librocket-ui-controller,high,Captured LibRocketUiController instance.,
method,com/corrodinggames/librocket/a$1,()V,run,method_LibRocketUiController_UnicodeEnteredEventRunnable_run,run,v0.64-librocket-ui-script-surface,librocket-ui-controller,high,Runs Root.event_unicodeEntered through the active ScriptEngine root.,
class,com/corrodinggames/librocket/a$2,,,rw/ui/LibRocketUiController$PasswordPromptPopupRunnable,rustedwarfare/ui/LibRocketUiController$PasswordPromptPopupRunnable,v0.64-librocket-ui-script-surface,librocket-password-prompt,high,Queued by queuePasswordPromptPopup; builds the password/server-question popup document and buttons.,
field,com/corrodinggames/librocket/a$2,Lcom/corrodinggames/rts/gameFramework/utility/k;,a,field_LibRocketUiController_PasswordPromptPopupRunnable_callbackAlreadyHandled,callbackAlreadyHandled,v0.64-librocket-ui-script-surface,librocket-password-prompt,high,Mutable boolean guard shared by submit/cancel callbacks.,
field,com/corrodinggames/librocket/a$2,Lcom/corrodinggames/librocket/scripts/ScriptEngine;,b,field_LibRocketUiController_PasswordPromptPopupRunnable_scriptEngine,scriptEngine,v0.64-librocket-ui-script-surface,librocket-password-prompt,high,ScriptEngine captured to resolve Root and queue UI work.,
field,com/corrodinggames/librocket/a$2,Lcom/corrodinggames/rts/gameFramework/j/ae;,c,field_LibRocketUiController_PasswordPromptPopupRunnable_passwordPrompt,passwordPrompt,v0.64-librocket-ui-script-surface,librocket-password-prompt,high,PasswordPrompt data/callback object.,
