kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/f,,,rw/util/CommonUtils,rustedwarfare/util/CommonUtils,v0.73-common-utils,common-utils,high,"128-method final static helper class with math/random/string/path/IO/hash helpers; strings include min>max, atan2 slow fallback, MD5, SHA-256, UTF-8, cpu[0-9]+, XML entities",
class,com/corrodinggames/rts/gameFramework/f$a,,,rw/util/CommonUtils$CpuCoreFileFilter,rustedwarfare/util/CommonUtils$CpuCoreFileFilter,v0.73-common-utils,common-utils,high,Inner FileFilter accepts /sys/devices/system/cpu/cpu[0-9]+ entries for CPU core counting,
method,com/corrodinggames/rts/gameFramework/f$a,()V,<init>,<init>,<init>,v0.73-common-utils,common-utils,high,Default inner FileFilter constructor,
method,com/corrodinggames/rts/gameFramework/f$a,(Ljava/io/File;)Z,accept,method_f_a_accept,accept,v0.73-common-utils,common-utils,high,"FileFilter.accept returns Pattern.matches(""cpu[0-9]+"", file.getName())",
field,com/corrodinggames/rts/gameFramework/f,Ljava/util/Random;,a,field_f_random,random,v0.73-common-utils,common-utils,high,Used by randomFloat/randomInt/randomAlphaNumericString,
field,com/corrodinggames/rts/gameFramework/f,Ljava/util/Random;,b,field_f_deterministicRandom,deterministicRandom,v0.73-common-utils,common-utils,high,resetDeterministicRandom seeds this Random to 0 for repeatable helper calls,
field,com/corrodinggames/rts/gameFramework/f,Landroid/graphics/PointF;,c,field_f_scratchPoint,scratchPoint,v0.73-common-utils,common-utils,high,Public static PointF scratch instance initialized in <clinit>,
field,com/corrodinggames/rts/gameFramework/f,Landroid/graphics/PointF;,d,field_f_scratchPoint2,scratchPoint2,v0.73-common-utils,common-utils,high,Static PointF scratch instance initialized with other reusable geometry points,
field,com/corrodinggames/rts/gameFramework/f,Landroid/graphics/PointF;,e,field_f_scratchPoint3,scratchPoint3,v0.73-common-utils,common-utils,high,Static PointF scratch instance initialized with other reusable geometry points,
field,com/corrodinggames/rts/gameFramework/f,Landroid/graphics/PointF;,f,field_f_scratchPoint4,scratchPoint4,v0.73-common-utils,common-utils,high,Static PointF scratch instance initialized with other reusable geometry points,
field,com/corrodinggames/rts/gameFramework/f,Landroid/graphics/PointF;,g,field_f_scratchPoint5,scratchPoint5,v0.73-common-utils,common-utils,high,Static PointF scratch instance initialized with other reusable geometry points,
field,com/corrodinggames/rts/gameFramework/f,Landroid/graphics/PointF;,h,field_f_scratchPoint6,scratchPoint6,v0.73-common-utils,common-utils,high,Used by the point-returning helper that writes into a shared PointF,
field,com/corrodinggames/rts/gameFramework/f,[B,j,field_f_sqrtIntLookup,sqrtIntLookup,v0.73-common-utils,common-utils,high,<clinit> fills 0..1000 with rounded sqrt values for sqrtIntCached,
field,com/corrodinggames/rts/gameFramework/f,[C,k,field_f_alphaNumericChars,alphaNumericChars,v0.73-common-utils,common-utils,high,<clinit> fills 0-9 and a-z; randomAlphaNumericString samples from it,
field,com/corrodinggames/rts/gameFramework/f,[F,l,field_f_atan2Lookup0,atan2Lookup0,v0.73-common-utils,common-utils,high,First of eight 1025-entry atan2 lookup tables used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,[F,m,field_f_atan2Lookup1,atan2Lookup1,v0.73-common-utils,common-utils,high,Second atan2 quadrant lookup table used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,[F,n,field_f_atan2Lookup2,atan2Lookup2,v0.73-common-utils,common-utils,high,Third atan2 quadrant lookup table used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,[F,o,field_f_atan2Lookup3,atan2Lookup3,v0.73-common-utils,common-utils,high,Fourth atan2 quadrant lookup table used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,[F,p,field_f_atan2Lookup4,atan2Lookup4,v0.73-common-utils,common-utils,high,Fifth atan2 quadrant lookup table used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,[F,q,field_f_atan2Lookup5,atan2Lookup5,v0.73-common-utils,common-utils,high,Sixth atan2 quadrant lookup table used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,[F,r,field_f_atan2Lookup6,atan2Lookup6,v0.73-common-utils,common-utils,high,Seventh atan2 quadrant lookup table used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,[F,s,field_f_atan2Lookup7,atan2Lookup7,v0.73-common-utils,common-utils,high,Eighth atan2 quadrant lookup table used by fastAtan2,
field,com/corrodinggames/rts/gameFramework/f,I,i,field_f_atan2FallbackLogCount,atan2FallbackLogCount,v0.73-common-utils,common-utils,high,fastAtan2 increments this counter while logging up to 100 slow fallbacks,
