kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/rts/game/units/custom/as$13,(Lcom/corrodinggames/rts/game/units/custom/j;)D,a,method_MutableStatAccessor_MaxEnergyRuntime_readRuntime,readRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,javap reads runtime energy/hp/shield field,runtime max stat reader
method,com/corrodinggames/rts/game/units/custom/as$13,(Lcom/corrodinggames/rts/game/units/custom/j;D)V,b,method_MutableStatAccessor_MaxEnergyRuntime_writeRuntime,writeRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,javap writes runtime energy/hp/shield field,runtime max stat writer
method,com/corrodinggames/rts/game/units/custom/as$15,(Lcom/corrodinggames/rts/game/units/custom/j;)D,a,method_MutableStatAccessor_MaxHpRuntime_readRuntime,readRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,javap reads runtime energy/hp/shield field,runtime max stat reader
method,com/corrodinggames/rts/game/units/custom/as$15,(Lcom/corrodinggames/rts/game/units/custom/j;D)V,b,method_MutableStatAccessor_MaxHpRuntime_writeRuntime,writeRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,javap writes runtime energy/hp/shield field,runtime max stat writer
method,com/corrodinggames/rts/game/units/custom/as$17,(Lcom/corrodinggames/rts/game/units/custom/j;)D,a,method_MutableStatAccessor_MaxShieldRuntime_readRuntime,readRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,javap reads runtime energy/hp/shield field,runtime max stat reader
method,com/corrodinggames/rts/game/units/custom/as$17,(Lcom/corrodinggames/rts/game/units/custom/j;D)V,b,method_MutableStatAccessor_MaxShieldRuntime_writeRuntime,writeRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,javap writes runtime energy/hp/shield field,runtime max stat writer
method,com/corrodinggames/rts/game/units/custom/at,(Lcom/corrodinggames/rts/game/units/custom/j;Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;Lcom/corrodinggames/rts/game/units/custom/logicBooleans/VariableScope$CachedWriter$Operator;)V,a,method_MutableStatAccessor_applyOperatorFromLogicBoolean,applyOperatorFromLogicBoolean,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,javap calls readNumber and applies set/add/subtract through read/write methods,executes mutable stat writer element on a custom unit
field,com/corrodinggames/rts/game/units/custom/au,Lcom/corrodinggames/rts/game/units/custom/l;,a,field_MutableStatWriterFactory_metadata,metadata,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,constructor stores CustomUnitMetadata; createWriterElement uses it for LogicBoolean parse,metadata context for stat writer factory
method,com/corrodinggames/rts/game/units/custom/au,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/logicBooleans/VariableScope$CachedWriter$WriterElement;,createWriterElement,method_MutableStatWriterFactory_createWriterElement,createWriterElement,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,"javap parses =/+=/-=, resolves MutableStatAccessor and returns MutableStatCachedWriterElement",stat writer factory method
method,com/corrodinggames/rts/game/units/custom/aw,(Lcom/corrodinggames/rts/game/units/custom/as;)D,a,method_MetadataMutableStatAccessor_readMetadataValue,readMetadataValue,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,abstract metadata stat reader,metadata mutable stat accessor hook
method,com/corrodinggames/rts/game/units/custom/aw,(Lcom/corrodinggames/rts/game/units/custom/as;D)V,a,method_MetadataMutableStatAccessor_writeMetadataValue,writeMetadataValue,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,abstract metadata stat writer,metadata mutable stat accessor hook
method,com/corrodinggames/rts/game/units/custom/aw,(Lcom/corrodinggames/rts/game/units/custom/j;D)V,a,method_MetadataMutableStatAccessor_write,write,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,override of MutableStatAccessor.write delegates to writeMetadata on runtime stats,override-family completion
method,com/corrodinggames/rts/game/units/custom/aw,(Lcom/corrodinggames/rts/game/units/custom/j;Lcom/corrodinggames/rts/game/units/custom/as;)D,a,method_MetadataMutableStatAccessor_read,read,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,override of MutableStatAccessor.read delegates to readMetadata,override-family completion
method,com/corrodinggames/rts/game/units/custom/aw,()Z,b,method_MetadataMutableStatAccessor_isRuntimeField,isRuntimeField,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,returns false,override-family completion
method,com/corrodinggames/rts/game/units/custom/ax,(Lcom/corrodinggames/rts/game/units/custom/j;)D,a,method_RuntimeMutableStatAccessor_readRuntime,readRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,abstract runtime stat reader,runtime mutable stat accessor hook
method,com/corrodinggames/rts/game/units/custom/ax,(Lcom/corrodinggames/rts/game/units/custom/j;D)V,a,method_RuntimeMutableStatAccessor_write,write,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,override of MutableStatAccessor.write delegates to writeRuntime,override-family completion
method,com/corrodinggames/rts/game/units/custom/ax,(Lcom/corrodinggames/rts/game/units/custom/j;Lcom/corrodinggames/rts/game/units/custom/as;)D,a,method_RuntimeMutableStatAccessor_read,read,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,override of MutableStatAccessor.read delegates to readRuntime,override-family completion
method,com/corrodinggames/rts/game/units/custom/ax,()Z,b,method_RuntimeMutableStatAccessor_isRuntimeField,isRuntimeField,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,returns true,override-family completion
method,com/corrodinggames/rts/game/units/custom/ax,(Lcom/corrodinggames/rts/game/units/custom/j;D)V,b,method_RuntimeMutableStatAccessor_writeRuntime,writeRuntime,v0.52-custom-logic-stat-behavior,custom-mutable-stats,high,abstract runtime stat writer,runtime mutable stat accessor hook
field,com/corrodinggames/rts/game/units/custom/b/j,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,a,field_RepelFromUnitsBehavior_enabledCondition,enabledCondition,v0.52-custom-logic-stat-behavior,custom-runtime-movement,high,parser reads key enabled; onLateUpdate checks condition,movement_repelFromUnits enabled condition
field,com/corrodinggames/rts/game/units/custom/b/j,F,b,field_RepelFromUnitsBehavior_speed,speed,v0.52-custom-logic-stat-behavior,custom-runtime-movement,high,parser reads key speed,repel speed
field,com/corrodinggames/rts/game/units/custom/b/j,F,c,field_RepelFromUnitsBehavior_maxSpeed,maxSpeed,v0.52-custom-logic-stat-behavior,custom-runtime-movement,high,parser reads key maxSpeed default 5.0,repel max speed clamp
field,com/corrodinggames/rts/game/units/custom/b/j,Lcom/corrodinggames/rts/game/units/custom/h;,d,field_RepelFromUnitsBehavior_otherUnitHasTags,otherUnitHasTags,v0.52-custom-logic-stat-behavior,custom-runtime-movement,high,parser reads key otherUnitHasTag,tag filter for other units
field,com/corrodinggames/rts/game/units/custom/b/j,Z,e,field_RepelFromUnitsBehavior_onlySameTeam,onlySameTeam,v0.52-custom-logic-stat-behavior,custom-runtime-movement,high,parser reads key onlySameTeam,restrict repel target team
