action,old_named_name,old_intermediary_name,kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
added,,,method,com/corrodinggames/rts/game/units/am,()V,bu,method_Unit_onKilled,onKilled,v0.36-runtime-family-fixes,runtime-damage-death-family,confirmed,"javap Unit.bu() sets dead=true, deathFrame, clears turret targets, removes from team/spatial indexes; CustomUnit already mapped bu() as onKilled.",
added,,,method,com/corrodinggames/rts/game/units/y,()V,bu,method_OrderableUnit_onKilled,onKilled,v0.36-runtime-family-fixes,runtime-damage-death-family,confirmed,OrderableUnit.bu() participates in the same Unit/CustomUnit death override family; named propagated to avoid override-family split.,
added,,,method,com/corrodinggames/rts/game/units/y,(ILcom/corrodinggames/rts/game/units/am;ZZ)Z,a,method_OrderableUnit_canTurretAttackTarget,canTurretAttackTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,"OrderableUnit.a(int,Unit,boolean,boolean) is the parent implementation of CustomUnit.canTurretAttackTarget; family propagated for named-jar consistency.",
added,,,method,com/corrodinggames/rts/game/units/e/d,(ILcom/corrodinggames/rts/game/units/am;ZZ)Z,a,method_LandInternalObf_e_d_canTurretAttackTarget,canTurretAttackTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Vanilla land unit override of OrderableUnit.canTurretAttackTarget; family propagated for named-jar consistency.,
added,,,method,com/corrodinggames/rts/game/units/custom/j,(I)Z,u,method_CustomUnit_isTurretAimedAtTarget,isTurretAimedAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,CustomUnit.u(int) is in the same override family as OrderableUnit.isTurretAimedAtTarget; name propagated to avoid partial named family.,
added,,,method,com/corrodinggames/rts/game/units/d/a/a,(I)Z,u,method_BuildingInternalObf_d_a_a_isTurretAimedAtTarget,isTurretAimedAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Vanilla building/turret override of OrderableUnit.isTurretAimedAtTarget; family propagated for named-jar consistency.,
added,,,class,com/corrodinggames/rts/game/units/d/a/c,,,rw/unit/building/internal/Obf_d_a_c,rustedwarfare/unit/building/internal/Obf_d_a_c,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/c,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_c_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/d,,,rw/unit/building/internal/Obf_d_a_d,rustedwarfare/unit/building/internal/Obf_d_a_d,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/d,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_d_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/e,,,rw/unit/building/internal/Obf_d_a_e,rustedwarfare/unit/building/internal/Obf_d_a_e,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/e,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_e_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/f,,,rw/unit/building/internal/Obf_d_a_f,rustedwarfare/unit/building/internal/Obf_d_a_f,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/f,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_f_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/g,,,rw/unit/building/internal/Obf_d_a_g,rustedwarfare/unit/building/internal/Obf_d_a_g,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/g,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_g_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
added,,,class,com/corrodinggames/rts/game/units/d/a/h,,,rw/unit/building/internal/Obf_d_a_h,rustedwarfare/unit/building/internal/Obf_d_a_h,v0.36-runtime-family-fixes,runtime-combat-class-support,low,Class row added so fireTurretAtTarget override-family method is emitted into Tiny; semantic building name intentionally deferred.,
added,,,method,com/corrodinggames/rts/game/units/d/a/h,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_BuildingInternalObf_d_a_h_fireTurretAtTarget,fireTurretAtTarget,v0.36-runtime-family-fixes,runtime-combat-family,confirmed,Additional vanilla building/turret implementation of the OrderableUnit fireTurretAtTarget override family; propagated after selected partial coverage scan.,
