kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/d/e,Z,c,field_e_castLightOnGround,castLightOnGround,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,CustomUnit projectile light path sets EffectInstance.c when CustomProjectileTemplate.lightCastOnGround is true.,
field,com/corrodinggames/rts/gameFramework/d/e,Z,d,field_e_lightEffect,lightEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectEngine.createLightEffect sets d=true; CustomUnit projectile light reuse requires attachedObject==projectile and d==true.,
field,com/corrodinggames/rts/gameFramework/d/e,I,g,field_e_builtInEffectKind,builtInEffectKind,v0.82-projectile-effect-runtime,projectile-effect-runtime,medium,EffectEngine built-in wrappers assign one of the static effect kind constants to EffectInstance.g before draw/update uses the selected strip behavior.,
field,com/corrodinggames/rts/gameFramework/d/e,I,y,field_e_fadeToColor,fadeToColor,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw blends base color toward field y while z is non-negative; reset sets y=-1.,
field,com/corrodinggames/rts/gameFramework/d/e,F,z,field_e_fadeToColorTime,fadeToColorTime,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw compares elapsed life against z and linearly blends to fadeToColor over this time; reset sets z=-1.,
field,com/corrodinggames/rts/gameFramework/d/e,Landroid/graphics/LightingColorFilter;,C,field_e_sharedLightingColorFilter,sharedLightingColorFilter,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw caches the last LightingColorFilter in static C before assigning it to instance field B.,
field,com/corrodinggames/rts/gameFramework/d/e,I,D,field_e_sharedLightingColorFilterColor,sharedLightingColorFilterColor,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw compares static D against the computed draw tint before reusing static LightingColorFilter C.,
field,com/corrodinggames/rts/gameFramework/d/e,Z,L,field_e_drawLineTo,drawLineTo,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectEngine.createLineEffect sets L=true; draw() renders a line from the effect rect to M/N/O when L is true.,
field,com/corrodinggames/rts/gameFramework/d/e,F,M,field_e_lineTargetX,lineTargetX,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectEngine.createLineEffect stores the target world X in M and draw() converts M/N/O into a screen point for the line endpoint.,
field,com/corrodinggames/rts/gameFramework/d/e,F,N,field_e_lineTargetY,lineTargetY,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectEngine.createLineEffect stores the target world Y in N and draw() converts M/N/O into a screen point for the line endpoint.,
field,com/corrodinggames/rts/gameFramework/d/e,F,O,field_e_lineTargetHeight,lineTargetHeight,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectEngine.createLineEffect stores the target height in O and draw() converts M/N/O into a screen point for the line endpoint.,
field,com/corrodinggames/rts/gameFramework/d/e,F,S,field_e_drawOscillationAmplitude,drawOscillationAmplitude,v0.82-projectile-effect-runtime,projectile-effect-runtime,medium,EffectInstance.draw offsets the destination rect by sin((lifeMax-lifeRemaining)/T*360)*S when S != 0.,
field,com/corrodinggames/rts/gameFramework/d/e,F,T,field_e_drawOscillationPeriod,drawOscillationPeriod,v0.82-projectile-effect-runtime,projectile-effect-runtime,medium,EffectInstance.draw divides elapsed life by T for the S-amplitude oscillation offset.,
field,com/corrodinggames/rts/gameFramework/d/e,Ljava/lang/String;,aa,field_e_text,text,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw renders aa as a string centered on the effect destination rect.,
field,com/corrodinggames/rts/gameFramework/d/e,Landroid/graphics/Paint;,ab,field_e_textPaint,textPaint,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw uses ab instead of the effect draw paint when rendering text if ab is non-null.,
field,com/corrodinggames/rts/gameFramework/d/e,F,ac,field_e_textOffsetX,textOffsetX,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw adds ac to the destination rect center X before drawing aa text.,
field,com/corrodinggames/rts/gameFramework/d/e,F,ad,field_e_textOffsetY,textOffsetY,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw adds ad to the destination rect center Y before drawing aa text.,
field,com/corrodinggames/rts/gameFramework/d/e,F,au,field_e_cachedPaintAlpha,cachedPaintAlpha,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw compares au against the current computed alpha before updating the mutable draw paint.,
field,com/corrodinggames/rts/gameFramework/d/e,I,av,field_e_cachedPaintColor,cachedPaintColor,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw compares av against the current computed RGB tint before updating the mutable draw paint.,
field,com/corrodinggames/rts/gameFramework/d/e,Z,aw,field_e_hasAppliedColorFilter,hasAppliedColorFilter,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectInstance.draw toggles aw when it applies or clears a LightingColorFilter on the mutable draw paint.,
method,com/corrodinggames/rts/gameFramework/d/c,()V,<init>,method_c__init_,<init>,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,"EffectEngine constructor initializes effect-pool thresholds, reusable arrays, paints and built-in effect image-strip holders.",
method,com/corrodinggames/rts/gameFramework/d/c,(FF)F,a,method_c_randomRange,randomRange,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,"Small helper delegates directly to CommonUtils random float in [min,max].",
method,com/corrodinggames/rts/gameFramework/d/c,(FFFFFF)Lcom/corrodinggames/rts/gameFramework/d/e;,a,method_c_createLineEffect,createLineEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,"Creates an effect at start XYZ, sets drawLineTo=true, and stores target XYZ in EffectInstance.M/N/O.",
method,com/corrodinggames/rts/gameFramework/d/c,(Lcom/corrodinggames/rts/gameFramework/d/e;Lcom/corrodinggames/rts/gameFramework/w;)V,a,method_c_attachEffectToObject,attachEffectToObject,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,Static helper assigns EffectInstance.attachedObject and converts world coordinates into object-relative offsets.,
method,com/corrodinggames/rts/gameFramework/d/c,(FFFI)Lcom/corrodinggames/rts/gameFramework/d/e;,b,method_c_createLightEffect,createLightEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,"Creates a non-fog light effect, marks lightEffect=true, assigns effect kind h and optional LightingColorFilter color.",
method,com/corrodinggames/rts/gameFramework/d/c,(Lcom/corrodinggames/rts/gameFramework/w;I)Lcom/corrodinggames/rts/gameFramework/d/e;,a,method_c_createAttachedLightEffect,createAttachedLightEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,Overload creates a light effect for a WorldObject using the default size 0.5.,
method,com/corrodinggames/rts/gameFramework/d/c,(Lcom/corrodinggames/rts/gameFramework/w;IF)Lcom/corrodinggames/rts/gameFramework/d/e;,a,method_c_createAttachedLightEffect,createAttachedLightEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,"Overload creates a light effect at the object position, zeroes its relative offset and attaches it to the object.",
method,com/corrodinggames/rts/gameFramework/d/c,(FFFF)Lcom/corrodinggames/rts/gameFramework/d/e;,a,method_c_createSmallBuiltInEffect,createSmallBuiltInEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectTemplate BuiltInEffectType.small calls this overload; it delegates to the small built-in effect path with default color.,
method,com/corrodinggames/rts/gameFramework/d/c,(FFFFI)Lcom/corrodinggames/rts/gameFramework/d/e;,a,method_c_createSmallBuiltInEffect,createSmallBuiltInEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,Small built-in effect overload accepts a color tint and delegates to the variant helper.,
method,com/corrodinggames/rts/gameFramework/d/c,(FFFFII)Lcom/corrodinggames/rts/gameFramework/d/e;,a,method_c_createSmallBuiltInEffectVariant,createSmallBuiltInEffectVariant,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,Creates the small built-in animated effect; second int selects the small-effect animation variant.,
method,com/corrodinggames/rts/gameFramework/d/c,(FFFFI)Lcom/corrodinggames/rts/gameFramework/d/e;,b,method_c_createLargeBuiltInEffect,createLargeBuiltInEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,"EffectTemplate BuiltInEffectType.medium/large call this path; medium adjusts returned scale to 0.75, large uses the default scale.",
method,com/corrodinggames/rts/gameFramework/d/c,(FFFFI)Lcom/corrodinggames/rts/gameFramework/d/e;,c,method_c_createSmokeBuiltInEffect,createSmokeBuiltInEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectTemplate BuiltInEffectType.smoke calls this path and passes direction plus optional tint color.,
method,com/corrodinggames/rts/gameFramework/d/c,(FFFI)Lcom/corrodinggames/rts/gameFramework/d/e;,d,method_c_createShockwaveBuiltInEffect,createShockwaveBuiltInEffect,v0.82-projectile-effect-runtime,projectile-effect-runtime,high,EffectTemplate BuiltInEffectType.shockwave calls this path; it creates the ring/shockwave-style effect and optional color filter.,
