area,official,named,evidence
network-step-rate,com/corrodinggames/rts/gameFramework/j/ad.bIF,currentStepRate,setCurrentStepRate writes bI; getCurrentStepRate returns it; process packet 10 resync updates step rate.
network-server-info,com/corrodinggames/rts/gameFramework/j/ad.GZ,isServerController,Server-info packet 106 reads boolean G directly before H/isProxyController; sendServerInfo writes callbacks.a(connection).
network-game-setup,com/corrodinggames/rts/gameFramework/j/ad.awI,teamUnitCap,Constructor copies SettingsEngine.teamUnitCapHostedGame to ax then aw; packet 106 serializes both.
network-game-setup,com/corrodinggames/rts/gameFramework/j/ad.axI,maxTeamUnitCap,Constructor initializes ax from SettingsEngine.teamUnitCapHostedGame and clamps to at least 1; packet 106 serializes it with aw.
network-forwarding,com/corrodinggames/rts/gameFramework/j/c.qZ,forwardingAllowed,Packet 140 allows non-player messages only when q is true; forwarding packet branches reject when q is false.
network-forwarding,com/corrodinggames/rts/gameFramework/j/c.rZ,multicastEnabled,"Become-server/forwarding branch logs ""Multicast:"" then stores boolean into r."
network-lifecycle,com/corrodinggames/rts/gameFramework/j/ad.n()Z,hasGameBeenStarted,Returns field aW/gameHasBeenStarted.
network-lifecycle,com/corrodinggames/rts/gameFramework/j/ad.o()Z,isGameStarting,"Delegates to NetworkCallbacks.e(); chat team-change path rejects with ""Cannot Set Team - Game is starting"" when true."
network-identity,com/corrodinggames/rts/gameFramework/j/ad.a(Ljava/lang/String;)Ljava/lang/String;,setLocalPlayerName,"Trims/replaces spaces, stores localPlayerName, writes SettingsEngine.lastNetworkPlayerName, saves settings."
network-step-rate,com/corrodinggames/rts/gameFramework/j/ad.c()F,getCurrentStepRate,Returns bI/currentStepRate.
network-game-setup,com/corrodinggames/rts/gameFramework/j/ad.f()V,updateAiDifficulty,"String evidence: ""updateAIDifficulty with gameHasBeenStarted=true""; applies setup AI difficulty."
network-game-setup,com/corrodinggames/rts/gameFramework/j/ad.a(Lcom/corrodinggames/rts/game/n;)V,applyAiDifficultyForTeam,Writes AI difficulty override/current GameSetup.aiDifficulty to an AI team.
network-game-setup,com/corrodinggames/rts/gameFramework/j/ad.b(Lcom/corrodinggames/rts/game/n;)Z,updateAiTeamName,"Builds ""AI - <difficulty>"" display names and returns if changed."
