kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/bb,I,b,field_bb_stoppedFrame,stoppedFrame,v0.47-runtime-replay-checksum,runtime-replay-sync,confirmed,stopAndFlush stores GameEngine.bx frame here; metadata writes it as replay frames.,
field,com/corrodinggames/rts/gameFramework/bb,I,c,field_bb_stoppedGameTime,stoppedGameTime,v0.47-runtime-replay-checksum,runtime-replay-sync,confirmed,stopAndFlush stores GameEngine.by here; metadata writes it as replay time.,
field,com/corrodinggames/rts/gameFramework/bb,I,d,field_bb_commandCountAtStop,commandCountAtStop,v0.47-runtime-replay-checksum,runtime-replay-sync,confirmed,stopAndFlush snapshots ReplayEngine.recordedCommandCount and metadata writes commandCount.,
field,com/corrodinggames/rts/gameFramework/bb,I,e,field_bb_resyncCountAtStop,resyncCountAtStop,v0.47-runtime-replay-checksum,runtime-replay-sync,confirmed,stopAndFlush snapshots ReplayEngine.recordedResyncCount and metadata writes resyncCount.,
field,com/corrodinggames/rts/gameFramework/bb,I,f,field_bb_lastQueuedFrame,lastQueuedFrame,v0.47-runtime-replay-checksum,runtime-replay-sync,confirmed,enqueue stores ReplayRecordEntry.frame here; stop warns if stoppedFrame < lastQueuedFrame.,
field,com/corrodinggames/rts/gameFramework/bb,I,g,field_bb_lastWrittenCommandFrame,lastWrittenCommandFrame,v0.47-runtime-replay-checksum,runtime-replay-sync,confirmed,writer loop stores command frame after writing rc block; final log prints last command write.,
field,com/corrodinggames/rts/gameFramework/bb,Z,h,field_bb_finishedWriting,finishedWriting,v0.47-runtime-replay-checksum,runtime-replay-sync,confirmed,Set true at end of writer run; enqueue logs skipped due to stopped recording when true.,
method,com/corrodinggames/rts/gameFramework/bb,()V,b,method_bb_waitForQueueSignal,waitForQueueSignal,v0.47-runtime-replay-checksum,runtime-replay-sync,high,Private synchronized helper waits while writer is running; enqueue/stop call notifyAll to wake it.,
field,com/corrodinggames/rts/gameFramework/ba,Z,P,field_ba_active,active,v0.47-runtime-replay-checksum,runtime-replay-sync,high,Private volatile flag returned by isActive(); true for either recording or replay playback.,
field,com/corrodinggames/rts/gameFramework/ba,Z,u,field_ba_playbackMode,playbackMode,v0.47-runtime-replay-checksum,runtime-replay-sync,high,Set true by startReplayingFile and false by startSavingReplay; isReplaying checks active && playbackMode.,
field,com/corrodinggames/rts/gameFramework/ba,I,A,field_ba_recordedCommandCount,recordedCommandCount,v0.47-runtime-replay-checksum,runtime-replay-sync,high,ReplayWriterThread increments this when a ReplayRecordEntry contains a Command; final metadata writes commandCount.,
field,com/corrodinggames/rts/gameFramework/ba,I,B,field_ba_recordedResyncCount,recordedResyncCount,v0.47-runtime-replay-checksum,runtime-replay-sync,high,ReplayWriterThread increments this when a ReplayRecordEntry contains resync save bytes; final metadata writes resyncCount.,
field,com/corrodinggames/rts/gameFramework/ba,I,z,field_ba_issuedReplayCommandCount,issuedReplayCommandCount,v0.47-runtime-replay-checksum,runtime-replay-sync,high,Playback increments this after issuing replay command; end log prints number of replay commands issued.,
field,com/corrodinggames/rts/gameFramework/ba,I,q,field_ba_replaySaveVersion,replaySaveVersion,v0.47-runtime-replay-checksum,runtime-replay-sync,high,startReplayingFile stores replay save version integer here after header validation.,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/lang/String;,r,field_ba_replayVersionString,replayVersionString,v0.47-runtime-replay-checksum,runtime-replay-sync,high,startReplayingFile stores replay version/build string read after the version integer.,
