kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/units/custom/aj,Lcom/corrodinggames/rts/game/units/custom/aj;,a,field_aj_EMPTY,EMPTY,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"LocalizedString.<clinit> calls fromLiteral("""") and stores it in the static singleton field.",
field,com/corrodinggames/rts/game/units/custom/aj,[Lcom/corrodinggames/rts/game/units/custom/ak;,b,field_aj_dynamicTextResolvers,dynamicTextResolvers,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,refreshTextAndDynamicResolvers parses cachedText containing '%{' into DynamicTextResolver[] and resolveDynamicTextForUnit iterates this array.,
field,com/corrodinggames/rts/game/units/custom/aj,[Lcom/corrodinggames/rts/game/units/custom/bc;,c,field_aj_localizedEntries,localizedEntries,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,fromLiteral/fromData populate this with LocalizedStringEntry values; refreshLocalizedText searches by current locale then default locale.,
field,com/corrodinggames/rts/game/units/custom/aj,Ljava/lang/String;,d,field_aj_cachedText,cachedText,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,refreshLocalizedText writes the selected localized string here; resolveStaticText and resolveForUnit return it when no dynamic resolvers are present.,
field,com/corrodinggames/rts/game/units/custom/aj,I,e,field_aj_cachedLocaleVersion,cachedLocaleVersion,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,resolveStaticText/resolveForUnit compare this field to the global locale version before re-resolving text.,
field,com/corrodinggames/rts/game/units/custom/aj,Ljava/lang/String;,f,field_aj_translationKey,translationKey,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,fromData copies LocalizedStringData.translationKey into this field; refreshLocalizedText uses it through the translation manager when non-null.,
field,com/corrodinggames/rts/game/units/custom/aj,Ljava/lang/String;,g,field_aj_dynamicParseError,dynamicParseError,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,parseDynamicTextResolvers stores 'Error: ... [parsing: ...]' here when LogicBoolean parsing for a '%{...}' segment fails.,
field,com/corrodinggames/rts/game/units/custom/aj,Lcom/corrodinggames/rts/game/units/custom/l;,h,field_aj_metadata,metadata,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,Constructors store the CustomUnitMetadata reference here; parseDynamicTextResolvers passes it to LogicBooleanLoader.parseBooleanBlock.,
method,com/corrodinggames/rts/game/units/custom/aj,(Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/aj;,a,method_aj_fromLiteral,fromLiteral,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"Static factory builds a LocalizedString with one default LocalizedStringEntry(locale=null,text=input), then refreshes it.",
method,com/corrodinggames/rts/game/units/custom/aj,(Lcom/corrodinggames/rts/game/units/custom/bb;)Lcom/corrodinggames/rts/game/units/custom/aj;,a,method_aj_fromData,fromData,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"Static factory copies LocalizedStringData.entries and translationKey, assigns default metadata, refreshes localized text, and returns null for null input.",
method,com/corrodinggames/rts/game/units/custom/aj,()V,a,method_aj_refreshTextAndDynamicResolvers,refreshTextAndDynamicResolvers,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,No-arg refresh delegates to the boolean overload with strict parsing enabled.,
method,com/corrodinggames/rts/game/units/custom/aj,(Z)V,a,method_aj_refreshTextAndDynamicResolvers,refreshTextAndDynamicResolvers,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"Refreshes localized text, then builds dynamicTextResolvers if cachedText contains '%{...}'. The boolean controls parse-error behavior.",
method,com/corrodinggames/rts/game/units/custom/aj,(Ljava/lang/String;Z)[Lcom/corrodinggames/rts/game/units/custom/ak;,a,method_aj_parseDynamicTextResolvers,parseDynamicTextResolvers,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,Splits a text template into StaticTextResolver and LogicBooleanTextResolver pieces around '%{...}' segments.,
method,com/corrodinggames/rts/game/units/custom/aj,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,a,method_aj_resolveDynamicTextForUnit,resolveDynamicTextForUnit,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"Requires an OrderableUnit, iterates dynamicTextResolvers, calls each resolver with the unit, and concatenates the pieces.",
method,com/corrodinggames/rts/game/units/custom/aj,(Lcom/corrodinggames/rts/game/units/am;)Ljava/lang/String;,b,method_aj_resolveForUnit,resolveForUnit,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"Checks cachedLocaleVersion, refreshes if needed, and either resolves dynamicTextResolvers against the supplied unit or returns cachedText.",
method,com/corrodinggames/rts/game/units/custom/aj,()Ljava/lang/String;,b,method_aj_resolveStaticText,resolveStaticText,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"Checks cachedLocaleVersion, refreshes if needed, and returns cachedText without requiring a unit context.",
method,com/corrodinggames/rts/game/units/custom/aj,()V,c,method_aj_refreshLocalizedText,refreshLocalizedText,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,"Uses translationKey when present; otherwise selects the locale entry, falls back to default text, or writes '<NO DEFAULT TEXT FOUND>'.",
method,com/corrodinggames/rts/game/units/custom/as,(Ljava/util/LinkedHashMap;Lcom/corrodinggames/rts/game/units/custom/at;)V,a,method_as_registerMutableStatAccessor,registerMutableStatAccessor,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,Static initializer registers each MutableStatAccessor by name in the supplied LinkedHashMap through this helper.,
method,com/corrodinggames/rts/game/units/custom/as,(I)Lcom/corrodinggames/rts/game/units/custom/at;,a,method_as_getMutableStatAccessorById,getMutableStatAccessorById,v0.80-custom-action-effect-deep,custom-action-effect-deep,high,Looks through mutableStatFieldsByName values and returns the accessor whose id matches the serialized field id.,
