kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/f,Z,C,field_f_uninterceptable,uninterceptable,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,"BaseProjectileTemplate.deflectionPower < 0.5 sets Projectile.C=true; laser-defence scanning in anti-projectile buildings skips active projectiles when C is true, while non-skipped projectiles use deflectionPower H.",
field,com/corrodinggames/rts/game/f,Z,E,field_f_continuousDamage,continuousDamage,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,Experimental laser projectile setup sets E=true together with laserEffect/instant flags; update() repeatedly applies directDamage/60*delta*getLifeProgressRatio while E is true and suppresses the normal one-shot impact removal path.,
field,com/corrodinggames/rts/game/f,F,F,field_f_continuousDamageRampUpDuration,continuousDamageRampUpDuration,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,Projectile.getLifeProgressRatio compares ageTimer J against F and returns J/F until the ramp reaches 1; the continuous laser projectile initializes J and F before repeated damage is applied.,
field,com/corrodinggames/rts/game/f,F,N,field_f_lightingEffectRefreshTimer,lightingEffectRefreshTimer,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,Projectile.drawMainLayer decrements N each frame while lightingEffect M is active; when it reaches zero it resets to 4 and regenerates the segment offset array.,
field,com/corrodinggames/rts/game/f,[F,O,field_f_lightingEffectSegmentOffsets,lightingEffectSegmentOffsets,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,Projectile.drawMainLayer allocates O as a float[20] and fills it with random -10..10 offsets used to perturb each lighting-effect line segment.,
field,com/corrodinggames/rts/game/f,Z,as,field_f_collideWithUnits,collideWithUnits,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,Projectile.update checks as before scanning all active units for contact against the projectile position and triggers impact when a unit falls within contactCollisionRadius + unit.radius.,
field,com/corrodinggames/rts/game/f,Z,at,field_f_collideWithTerrain,collideWithTerrain,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,Projectile.update checks at before converting the projectile world position to a map cell and triggering impact when the pathing grid reports the terrain as blocked for movement type ao.f.,
field,com/corrodinggames/rts/game/f,F,aA,field_f_contactCollisionRadius,contactCollisionRadius,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,"When collideWithUnits is true, update() expands the broad-phase search by aA + 50 and performs a final distance test against aA + target.collisionRadius.",
field,com/corrodinggames/rts/game/f,Z,aC,field_f_hasFixedTargetPosition,hasFixedTargetPosition,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,Projectile.update removes projectiles with no live target unless aC is true; direct-ground/linked projectile creators set aC=true and write fixed target coordinates n/o/m instead of following Unit l.,
field,com/corrodinggames/rts/game/f,Z,aK,field_f_ballisticReachedPeak,ballisticReachedPeak,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,"In the ballistic branch, update() moves height eq toward ballisticHeight aJ until it reaches the peak, then sets aK=true and begins moving height back toward the target height near impact.",
field,com/corrodinggames/rts/game/f,F,aL,field_f_ballisticHeightSpeed,ballisticHeightSpeed,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,The ballistic branch uses aL*delta as the height interpolation speed when aL >= 0; custom projectile application sets it to -1 to fall back to projectile horizontal speed.,
field,com/corrodinggames/rts/game/f,F,aO,field_f_continuousDamageSmokeTimer,continuousDamageSmokeTimer,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,"During continuousDamage target tracking, update() accumulates aO and emits a smoke/explosion helper near the target whenever it exceeds roughly 75 ticks, then resets it to a randomized small value.",
field,com/corrodinggames/rts/game/f,Z,bn,field_f_impactTriggered,impactTriggered,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,setSourceAndPosition resets bn=false; update() sets bn=true on impact and then uses it to run area-damage expansion/removal countdowns instead of processing further travel collision.,
field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/utility/u;,bi,field_f_areaDamageUnitScratchList,areaDamageUnitScratchList,v0.83-projectile-motion-laser-ballistic,projectile-motion-laser-ballistic,high,"Projectile.updateAreaDamage clears static list bi, asks the spatial unit index for units around the impact point into bi, iterates it for area damage, then clears it again.",
