kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/units/a/b,,,rw/unit/action/UnitActionFilter,rustedwarfare/unit/action/UnitActionFilter,v0.74-unit-action-command-residual,unit-action-command-residual,high,"Base filter object with static emptyActionFilter and isAvailable(UnitAction,Unit) returning true; used by FilteredUnitAction and UnitSpecificActionProxy",
class,com/corrodinggames/rts/game/units/a/k,,,rw/unit/action/MapPingType,rustedwarfare/unit/action/MapPingType,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constants normal/attack/defend/nuke/build/upgrade/ok/no/happy/sad/retreat; localization key prefix menus.ingame.ping.type.,
class,com/corrodinggames/rts/game/units/h$16,,,rw/unit/special/EditorActionAvailabilityFilter,rustedwarfare/unit/special/EditorActionAvailabilityFilter,v0.74-unit-action-command-residual,unit-action-command-residual,high,EditorOrBuilderUnit anonymous UnitActionFilter; hides filtered editor actions by current editor unit/search filter,
field,com/corrodinggames/rts/game/units/a/b,Lcom/corrodinggames/rts/game/units/a/b;,emptyActionFilter,field_b_emptyActionFilter,emptyActionFilter,v0.74-unit-action-command-residual,unit-action-command-residual,high,Static final filter instance used when no filter is provided; isAvailable always returns true,
method,com/corrodinggames/rts/game/units/a/b,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Default UnitActionFilter constructor,
method,com/corrodinggames/rts/game/units/a/b,(Lcom/corrodinggames/rts/game/units/a/s;Lcom/corrodinggames/rts/game/units/am;)Z,isAvailable,method_b_isAvailable,isAvailable,v0.74-unit-action-command-residual,unit-action-command-residual,high,Base filter implementation returns true for any UnitAction/Unit pair,
field,com/corrodinggames/rts/game/units/h,Lcom/corrodinggames/rts/game/units/a/b;,K,field_h_editorActionFilter,editorActionFilter,v0.74-unit-action-command-residual,unit-action-command-residual,high,EditorOrBuilderUnit static filter used to hide editor actions outside the current editor filter/search mode,
method,com/corrodinggames/rts/game/units/h$16,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Anonymous editor filter constructor,
method,com/corrodinggames/rts/game/units/h$16,(Lcom/corrodinggames/rts/game/units/a/s;Lcom/corrodinggames/rts/game/units/am;)Z,isAvailable,method_h_16_isAvailable,isAvailable,v0.74-unit-action-command-residual,unit-action-command-residual,high,Unwraps FilteredUnitAction delegate and checks editor filter/unit-type criteria before returning availability,
field,com/corrodinggames/rts/game/units/a/d,I,a,field_d_lastSelectionGeneration,lastSelectionGeneration,v0.74-unit-action-command-residual,unit-action-command-residual,high,Cached against InterfaceEngine.selectionGeneration (Y) while summarizing selected units' attack mode,
field,com/corrodinggames/rts/game/units/a/d,Lcom/corrodinggames/rts/game/units/a;,b,field_d_cachedAttackMode,cachedAttackMode,v0.74-unit-action-command-residual,unit-action-command-residual,high,"Cached common selected UnitAttackMode, or mixed/NA mode when selection differs",
method,com/corrodinggames/rts/game/units/a/d,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor sets UnitAction id c_7,
method,com/corrodinggames/rts/game/units/a/d,(Lcom/corrodinggames/rts/game/units/a;)Lcom/corrodinggames/rts/game/units/a;,a,method_d_getNextAttackMode,getNextAttackMode,v0.74-unit-action-command-residual,unit-action-command-residual,high,Switches selected attack mode to the next enum value before command queue submission,
method,com/corrodinggames/rts/game/units/a/d,()Lcom/corrodinggames/rts/game/units/a;,q,method_d_getSelectedAttackMode,getSelectedAttackMode,v0.74-unit-action-command-residual,unit-action-command-residual,high,Refreshes selected attack mode cache from currently selected orderable units,
method,com/corrodinggames/rts/game/units/a/d,()Lcom/corrodinggames/rts/game/units/a;,r,method_d_getSelectedAttackModeCached,getSelectedAttackModeCached,v0.74-unit-action-command-residual,unit-action-command-residual,high,Returns cached selected attack mode when InterfaceEngine selection generation has not changed,
method,com/corrodinggames/rts/game/units/a/e,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor sets UnitAction id c_4 for the Attack Move command,
method,com/corrodinggames/rts/game/units/a/f,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor sets the guard unit action id and localized guard-unit labels,
method,com/corrodinggames/rts/game/units/a/i,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor sets the patrol action id and localized patrol labels,
method,com/corrodinggames/rts/game/units/a/q,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor sets cut/input action id c__cut_chat for team chat,
method,com/corrodinggames/rts/game/units/a/r,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor sets cut/input action id c__cut_ping for map ping shortcut,
method,com/corrodinggames/rts/game/units/a/y,(Z)V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor stores the UnitInfo/player-info mode flag,
method,com/corrodinggames/rts/game/units/a/z,(Lcom/corrodinggames/rts/game/units/as;)V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor stores the grouped UnitInfo unit type and initializes counters,
method,com/corrodinggames/rts/game/units/a/y,()Lcom/corrodinggames/rts/game/units/y;,K,method_y_findFirstSelectedOrderableUnit,findFirstSelectedOrderableUnit,v0.74-unit-action-command-residual,unit-action-command-residual,high,Scans InterfaceEngine selected-unit cache and returns the first selected OrderableUnit,
method,com/corrodinggames/rts/game/units/a/y,()Z,L,method_y_canShowPlayerInfoForSelectedUnit,canShowPlayerInfoForSelectedUnit,v0.74-unit-action-command-residual,unit-action-command-residual,high,Returns true for editor units or units owned by the local player when the UnitInfo player-line action is active,
field,com/corrodinggames/rts/game/units/a/g,Lcom/corrodinggames/rts/game/units/a/s;,a,field_g_delegateAction,delegateAction,v0.74-unit-action-command-residual,unit-action-command-residual,high,Wrapped UnitAction that receives delegated UI/action calls,
field,com/corrodinggames/rts/game/units/a/g,Lcom/corrodinggames/rts/game/units/y;,b,field_g_boundUnit,boundUnit,v0.74-unit-action-command-residual,unit-action-command-residual,high,Specific OrderableUnit temporarily made the sole selected unit for delegate calls,
field,com/corrodinggames/rts/game/units/a/g,Lcom/corrodinggames/rts/game/units/a/b;,c,field_g_actionFilter,actionFilter,v0.74-unit-action-command-residual,unit-action-command-residual,high,Availability filter checked before delegated visibility/availability calls,
field,com/corrodinggames/rts/game/units/a/g,Lcom/corrodinggames/rts/gameFramework/utility/u;,d,field_g_savedSelectedUnitsCache,savedSelectedUnitsCache,v0.74-unit-action-command-residual,unit-action-command-residual,high,Static saved InterfaceEngine selected-unit cache while proxy delegation runs,
field,com/corrodinggames/rts/game/units/a/g,Lcom/corrodinggames/rts/gameFramework/utility/u;,e,field_g_singleSelectedUnitCache,singleSelectedUnitCache,v0.74-unit-action-command-residual,unit-action-command-residual,high,Static one-element selection cache containing the boundUnit,
method,com/corrodinggames/rts/game/units/a/g,(Lcom/corrodinggames/rts/game/units/a/s;Lcom/corrodinggames/rts/game/units/y;Lcom/corrodinggames/rts/game/units/a/c;)V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,"Constructs proxy from delegate UnitAction, bound OrderableUnit and action id/context",
method,com/corrodinggames/rts/game/units/a/g,()V,K,method_g_pushBoundUnitSelectionContext,pushBoundUnitSelectionContext,v0.74-unit-action-command-residual,unit-action-command-residual,high,Saves InterfaceEngine.bZ and replaces it with singleSelectedUnitCache containing boundUnit; throws if nested,
method,com/corrodinggames/rts/game/units/a/g,()V,L,method_g_popBoundUnitSelectionContext,popBoundUnitSelectionContext,v0.74-unit-action-command-residual,unit-action-command-residual,high,Restores saved InterfaceEngine.bZ after delegated action call; throws if no saved cache exists,
method,com/corrodinggames/rts/game/units/a/g,()Lcom/corrodinggames/rts/game/units/a/s;,p_,method_g_getDelegateAction,getDelegateAction,v0.74-unit-action-command-residual,unit-action-command-residual,high,Returns wrapped UnitAction delegate,
field,com/corrodinggames/rts/game/units/a/h,Lcom/corrodinggames/rts/game/units/a/s;,a,field_h_delegateAction,delegateAction,v0.74-unit-action-command-residual,unit-action-command-residual,high,Wrapped UnitAction whose behavior is delegated after filter checks,
field,com/corrodinggames/rts/game/units/a/h,Lcom/corrodinggames/rts/game/units/a/b;,b,field_h_actionFilter,actionFilter,v0.74-unit-action-command-residual,unit-action-command-residual,high,UnitActionFilter tested before delegate visibility/availability,
field,com/corrodinggames/rts/game/units/a/h,Z,c,field_h_respectDelegateAvailability,respectDelegateAvailability,v0.74-unit-action-command-residual,unit-action-command-residual,high,"When true, s()/availability also consult delegate availability; otherwise filter-only behavior is allowed",
field,com/corrodinggames/rts/game/units/a/h,I,f,field_h_disabledOverlayColor,disabledOverlayColor,v0.74-unit-action-command-residual,unit-action-command-residual,high,"Final grey ARGB color Color.a(255,50,50,50) used by the filtered action wrapper",
method,com/corrodinggames/rts/game/units/a/h,(Lcom/corrodinggames/rts/game/units/a/s;Lcom/corrodinggames/rts/game/units/a/b;)V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructs filter wrapper with default respectDelegateAvailability=false,
method,com/corrodinggames/rts/game/units/a/h,(Lcom/corrodinggames/rts/game/units/a/s;Lcom/corrodinggames/rts/game/units/a/b;Z)V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructs filter wrapper with explicit delegate-availability behavior,
method,com/corrodinggames/rts/game/units/a/h,()Lcom/corrodinggames/rts/game/units/a/s;,q_,method_h_getDelegateAction,getDelegateAction,v0.74-unit-action-command-residual,unit-action-command-residual,high,Returns wrapped UnitAction delegate,
field,com/corrodinggames/rts/game/units/a/j,Lcom/corrodinggames/rts/game/units/a/k;,a,field_j_pingType,pingType,v0.74-unit-action-command-residual,unit-action-command-residual,high,PingMapAction variant enum; constructor builds action id c_6_<pingType.name()>,
field,com/corrodinggames/rts/game/units/a/j,Ljava/util/ArrayList;,b,field_j_allPingActions,allPingActions,v0.74-unit-action-command-residual,unit-action-command-residual,high,Static list containing one PingMapAction for each MapPingType,
field,com/corrodinggames/rts/game/units/a/j,Landroid/graphics/Rect;,c,field_j_pingIconSrcRect,pingIconSrcRect,v0.74-unit-action-command-residual,unit-action-command-residual,high,Static Rect scratch for EffectEngine.s[9] atlas cell at 7 + pingType.ordinal(),
method,com/corrodinggames/rts/game/units/a/j,()V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Default constructor uses MapPingType.normal,
method,com/corrodinggames/rts/game/units/a/j,(Lcom/corrodinggames/rts/game/units/a/k;)V,<init>,<init>,<init>,v0.74-unit-action-command-residual,unit-action-command-residual,high,Constructor sets UnitAction id c_6_<pingType.name()>,
method,com/corrodinggames/rts/game/units/a/j,()Ljava/lang/String;,K,method_j_getPingLocalizationKey,getPingLocalizationKey,v0.74-unit-action-command-residual,unit-action-command-residual,high,"Returns pingType.getLocalizationKey(), e.g. menus.ingame.ping.type.attack",
method,com/corrodinggames/rts/game/units/a/j,(Lcom/corrodinggames/rts/game/units/a/c;)Lcom/corrodinggames/rts/game/units/a/j;,a,method_j_findByActionId,findByActionId,v0.74-unit-action-command-residual,unit-action-command-residual,high,Static lookup returns a PingMapAction from allPingActions by UnitActionId,
method,com/corrodinggames/rts/game/units/a/j,(Lcom/corrodinggames/rts/game/units/am;)Ljava/util/ArrayList;,q,method_j_getNestedPingActions,getNestedPingActions,v0.74-unit-action-command-residual,unit-action-command-residual,high,Returns the static list of all ping-map subtype actions,
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,a,field_k_normal,normal,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'normal',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,b,field_k_attack,attack,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'attack',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,c,field_k_defend,defend,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'defend',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,d,field_k_nuke,nuke,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'nuke',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,e,field_k_build,build,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'build',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,f,field_k_upgrade,upgrade,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'upgrade',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,g,field_k_ok,ok,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'ok',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,h,field_k_no,no,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'no',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,i,field_k_happy,happy,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'happy',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,j,field_k_sad,sad,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'sad',
field,com/corrodinggames/rts/game/units/a/k,Lcom/corrodinggames/rts/game/units/a/k;,k,field_k_retreat,retreat,v0.74-unit-action-command-residual,unit-action-command-residual,high,Enum constant with constructor string 'retreat',
method,com/corrodinggames/rts/game/units/a/k,()Ljava/lang/String;,a,method_k_getDisplaySuffix,getDisplaySuffix,v0.74-unit-action-command-residual,unit-action-command-residual,high,Returns ' -' + getLocalizedName() for Ping Map button text,
method,com/corrodinggames/rts/game/units/a/k,()Ljava/lang/String;,b,method_k_getLocalizedName,getLocalizedName,v0.74-unit-action-command-residual,unit-action-command-residual,high,Looks up getLocalizationKey() through the localization engine,
method,com/corrodinggames/rts/game/units/a/k,()Ljava/lang/String;,c,method_k_getLocalizationKey,getLocalizationKey,v0.74-unit-action-command-residual,unit-action-command-residual,high,Builds menus.ingame.ping.type. + enum name(),
field,com/corrodinggames/rts/game/units/a/z,Lcom/corrodinggames/rts/game/units/as;,a,field_z_unitType,unitType,v0.74-unit-action-command-residual,unit-action-command-residual,high,Grouped UnitInfo row is keyed by this unit type,
field,com/corrodinggames/rts/game/units/a/z,I,c,field_z_selectedCount,selectedCount,v0.74-unit-action-command-residual,unit-action-command-residual,high,Count of currently selected units matching unitType,
field,com/corrodinggames/rts/game/units/a/z,Z,d,field_z_hasMixedSelection,hasMixedSelection,v0.74-unit-action-command-residual,unit-action-command-residual,high,Set when selected units include a different unit type,
field,com/corrodinggames/rts/game/units/a/z,Lcom/corrodinggames/rts/game/units/y;,e,field_z_firstSelectedUnitOfType,firstSelectedUnitOfType,v0.74-unit-action-command-residual,unit-action-command-residual,high,"First selected OrderableUnit matching unitType, used for editor/name logic",
field,com/corrodinggames/rts/game/units/a/z,I,f,field_z_lastSelectionGeneration,lastSelectionGeneration,v0.74-unit-action-command-residual,unit-action-command-residual,high,InterfaceEngine selection-generation guard for grouped UnitInfo cache,
method,com/corrodinggames/rts/game/units/a/z,()V,K,method_z_refreshSelectedUnitTypeCache,refreshSelectedUnitTypeCache,v0.74-unit-action-command-residual,unit-action-command-residual,high,Refreshes selectedCount/hasMixedSelection/firstSelectedUnitOfType when InterfaceEngine selection generation changes,
