kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/units/custom/ai,Ljava/lang/String;,a,field_ai_eventTypeName,eventTypeName,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,parseAutoTriggerEventList stores the left side event token in ai.a before resolving it against the event enum,
field,com/corrodinggames/rts/game/units/custom/ai,Ljava/util/HashMap;,b,field_ai_parameterMap,parameterMap,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,parseAutoTriggerEventList lazily creates this HashMap and stores withtag/withprojectiletag/withactiontag or other key=value parameters,
field,com/corrodinggames/rts/gameFramework/i/a,Ljava/lang/Object;,d,field_a_modListLock,modListLock,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,ModManager synchronizes on this object when mutating or iterating the main mod ArrayList,
field,com/corrodinggames/rts/gameFramework/i/a,Ljava/util/ArrayList;,e,field_a_mods,mods,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Constructor initializes this ArrayList; scans/register/remove/sort operations store ModInfo entries here,
method,com/corrodinggames/rts/gameFramework/i/a,(Ljava/lang/String;I)I,a,method_a_parseVersionPart,parseVersionPart,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Private static version parser logs Unexpected version format for missing/bad numeric parts and returns an int component,
method,com/corrodinggames/rts/gameFramework/i/a,(Ljava/lang/String;)V,a,method_a_validateMinVersionAgainstCurrentGame,validateMinVersionAgainstCurrentGame,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Static helper validates a mod-info minVersion string against the current game version,
method,com/corrodinggames/rts/gameFramework/i/a,(Ljava/lang/String;)Ljava/lang/String;,b,method_a_normalizeVersionString,normalizeVersionString,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Static helper strips a leading v and normalizes supported version suffixes before min-version comparison,
method,com/corrodinggames/rts/gameFramework/i/a,(Ljava/lang/String;Ljava/lang/String;)V,a,method_a_validateMinVersion,validateMinVersion,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Throws for Requires version / Requires newer build / Min version cannot be less than v1.10 while comparing required/current versions,
method,com/corrodinggames/rts/gameFramework/i/a,()V,a,method_a_loadModListAndSelection,loadModListAndSelection,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Public startup helper calls mod scan/load flow then applies persisted mod selection,
method,com/corrodinggames/rts/gameFramework/i/a,(Z)I,a,method_a_countEnabledMods,countEnabledMods,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Counts ModInfo entries that are not disabled and not still in directory-scan state; optional boolean skips errored mods,
method,com/corrodinggames/rts/gameFramework/i/a,()I,b,method_a_countEnabledModsWithErrors,countEnabledModsWithErrors,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Counts enabled mods that currently have a loadError string,
method,com/corrodinggames/rts/gameFramework/i/a,()V,d,method_a_snapshotModSelectionState,snapshotModSelectionState,v0.76-mod-custom-pipeline,mod-custom-resource-pipeline,high,Copies each ModInfo.disabled value into its savedDisabledSnapshot field and clears the per-run selection-changed flag,
