owner_official,kind,official_name,descriptor,expected_named_name,present,evidence
com/corrodinggames/rts/java/e,class,,,rustedwarfare/client/render/SlickGraphicsBackend,True,Existing v0.69 class; v0.72 extends it from image lifecycle into draw/text/transform backend semantics
com/corrodinggames/rts/java/f,class,,,rustedwarfare/client/render/SlickFontKey,True,toString literal FontKey:(size: plus cached Font/recentTexts fields identify a font cache key
com/corrodinggames/rts/java/g,class,,,rustedwarfare/client/render/SlickTransformState,True,Fields store translate/rotation/scale/clip state used by SlickGraphicsBackend transform stack
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;)Lcom/corrodinggames/rts/gameFramework/m/y;,createChildBackendForImage,True,Creates a graphics backend bound to a target GameImage; Slick bridge delegates to class-specific child backend; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,b,(Lcom/corrodinggames/rts/gameFramework/m/e;)Lcom/corrodinggames/rts/gameFramework/m/y;,createBackendForImage,True,Creates a graphics backend for a render target GameImage; Slick bridge delegates to class-specific backend factory; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,m,()I,getWidth,True,Returns target or screen width for the active graphics backend; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,n,()I,getHeight,True,Returns target or screen height for the active graphics backend; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,a,(II)V,setSize,True,Stores backend target width and height; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;FFFLandroid/graphics/Paint;)V,drawImageRotated,True,"Slick implementation saves transform, rotates, draws image centered, then restores; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls"
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;FFFLandroid/graphics/Paint;)V,drawImageSectionRotated,True,Slick implementation rotates around destination and draws source Rect into scratch RectF; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,drawImage,True,Draws a source Rect to a destination Rect via RectF conversion; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/RectF;Landroid/graphics/Paint;)V,drawImage,True,Draws a source Rect to a destination RectF; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,b,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,drawImageDirect,True,Alternate direct Rect-to-Rect draw path in Canvas/Slick implementations; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;FFLandroid/graphics/Paint;)V,drawImageCentered,True,Slick implementation offsets x/y by GameImage center fields before raw draw; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;FFLandroid/graphics/Paint;FF)V,drawImageTransformed,True,Draws image at x/y with explicit scale/pivot style float arguments; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,b,(Lcom/corrodinggames/rts/gameFramework/m/e;FFLandroid/graphics/Paint;)V,drawImageRaw,True,Raw x/y image draw without center offset; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
com/corrodinggames/rts/gameFramework/m/y,method,a,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,drawTiledImage,True,Draws/tessellates image into a Rect destination; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls
