reason,kind,owner_official,descriptor,official_name,old_intermediary,old_named,new_intermediary,new_named,evidence,notes
constructor named_name fixed,method,com/corrodinggames/rts/gameFramework/utility/ab,(Ljava/io/InputStream;Ljava/lang/String;)V,<init>,method_ab_initFromInputStream,initFromInputStream,method_ab_initFromInputStream,<init>,mapping audit: constructors must map named_name to <init>; javap descriptor confirms constructor,Previous v0.32 row named this constructor initFromInputStream; semantic note is preserved here but named method must remain <init> for remapping safety.
rename field f,field,com/corrodinggames/rts/gameFramework/ab,Z,f,field_ab_f_hasSharedPaths,hasSharedPaths,field_ab_f_queueByPlayer,queueByPlayer,"javap ab.a(OrderableUnit,UnitOrder): this.f = order.j (UnitOrder.queueByPlayer)",Replaces misleading v0.32 hasSharedPaths name.
rename field g,field,com/corrodinggames/rts/gameFramework/ab,Lcom/corrodinggames/rts/gameFramework/utility/m;,g,field_ab_g_sharedPathCacheEntries,sharedPathCacheEntries,field_ab_g_sharedFormationWorkList,sharedFormationWorkList,javap ab.c passes this list to spawned subgroup; not path cache related,Replaces misleading v0.32 sharedPathCacheEntries. Exact contained element semantics remain low-confidence.
rename method,method,com/corrodinggames/rts/gameFramework/ab,(Lcom/corrodinggames/rts/game/units/y;Lcom/corrodinggames/rts/game/units/au;)V,a,method_ab_a_addUnitWaypoint,addUnitWaypoint,method_ab_a_bindOrderToFormationGroup,bindOrderToFormationGroup,"javap ab.a(y,au): writes UnitOrder.formationGroup and caches queueByPlayer flag",Replaces misleading addUnitWaypoint term; UnitOrder is the actual mapped class.
rename method,method,com/corrodinggames/rts/gameFramework/ab,(Lcom/corrodinggames/rts/game/units/au;)V,a,method_ab_a_prepareWaypoint,prepareWaypoint,method_ab_a_completeMatchingActiveOrder,completeMatchingActiveOrder,javap ab.a(au): completes active waypoints matching supplied UnitOrder,Replaces misleading prepareWaypoint name.
rename method,method,com/corrodinggames/rts/gameFramework/ab,()V,a,method_ab_a_clear,clear,method_ab_a_refreshActiveMembers,refreshActiveMembers,javap ab.a(): clears members then scans all units with this formation group,Replaces too-generic clear name.
rename method,method,com/corrodinggames/rts/gameFramework/ab,()V,c,method_ab_c_invalidateSharedPaths,invalidateSharedPaths,method_ab_c_recomputeFormation,recomputeFormation,"javap ab.c(): refreshes members, computes center/leader, builds subgroups, assigns offsets",Replaces incorrect invalidateSharedPaths name.
rename y.a(y),method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/y;)V,a,method_y_a_setGuardedUnitReference,setGuardedUnitReference,method_y_a_setFormationLeader,setFormationLeader,javap y.a(y): updates formationLeader and leader.formationFollowerCount,Replaces v0.32 setGuardedUnitReference; this is formation leader linkage.
added audit hotfix row,class,com/corrodinggames/rts/game/units/b/b,,,,,rw/unit/air/AirUnitBase,rustedwarfare/unit/air/AirUnitBase,javap unit_subclasses: uses unit_icon_air and returns MovementType.AIR,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
added audit hotfix row,class,com/corrodinggames/rts/game/units/b/c,,,,,rw/unit/air/AmphibiousJetUnit,rustedwarfare/unit/air/AmphibiousJetUnit,javap unit_subclasses: uses amphibious_jet assets; returns AIR/WATER depending state,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
added audit hotfix row,class,com/corrodinggames/rts/game/units/d/d,,,,,rw/unit/building/BuildingUnitBase,rustedwarfare/unit/building/BuildingUnitBase,javap unit_subclasses: uses unit_icon_building and returns MovementType.BUILDING,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
added audit hotfix row,class,com/corrodinggames/rts/game/units/e/h,,,,,rw/unit/land/HoverUnitBase,rustedwarfare/unit/land/HoverUnitBase,javap unit_subclasses: uses unit_icon_hover and returns MovementType.HOVER,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
added audit hotfix row,class,com/corrodinggames/rts/game/units/e/j,,,,,rw/unit/land/LandUnitBase,rustedwarfare/unit/land/LandUnitBase,javap unit_subclasses: uses unit_icon_land and returns MovementType.LAND,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
added audit hotfix row,class,com/corrodinggames/rts/game/units/h/e,,,,,rw/unit/water/AttackSubmarineUnit,rustedwarfare/unit/water/AttackSubmarineUnit,javap unit_subclasses: uses attack_submarine assets; returns water/attack-sub unit type,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
added audit hotfix row,class,com/corrodinggames/rts/game/units/h/f,,,,,rw/unit/water/WaterUnitBase,rustedwarfare/unit/water/WaterUnitBase,javap unit_subclasses: uses unit_icon_water and returns MovementType.WATER,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
added audit hotfix row,class,com/corrodinggames/rts/game/units/x,,,,,rw/unit/SpecialAirUnitBase,rustedwarfare/unit/SpecialAirUnitBase,javap unit_subclasses: abstract special unit base; h() returns MovementType.AIR,"Added because v0.32 CSV had member mappings for this owner but no class row, causing those members to be omitted from Tiny."
