kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/j/a,,,rw/network/NetworkChatHistory,rustedwarfare/network/NetworkChatHistory,v0.66-network-sync-desync,network-chat,high,"Holds a ConcurrentLinkedQueue of chat messages, exposes plain/html/spanned logs and spam count helpers.",
class,com/corrodinggames/rts/gameFramework/j/b,,,rw/network/NetworkChatMessage,rustedwarfare/network/NetworkChatMessage,v0.66-network-sync-desync,network-chat,high,Constructed only by NetworkChatHistory.addMessage; formats plain text and HTML chat lines.,
field,com/corrodinggames/rts/gameFramework/j/a,Ljava/util/concurrent/ConcurrentLinkedQueue;,a,field_a_messages,messages,v0.66-network-sync-desync,network-chat,high,Constructor initializes queue; addMessage pushes NetworkChatMessage and prunes to 45 messages.,
field,com/corrodinggames/rts/gameFramework/j/b,I,a,field_b_teamId,teamId,v0.66-network-sync-desync,network-chat,high,Constructor stores team id used to color sender name in HTML output.,
field,com/corrodinggames/rts/gameFramework/j/b,Ljava/lang/String;,b,field_b_senderName,senderName,v0.66-network-sync-desync,network-chat,high,"Plain text uses senderName + "":"" prefix when non-null.",
field,com/corrodinggames/rts/gameFramework/j/b,Ljava/lang/String;,c,field_b_message,message,v0.66-network-sync-desync,network-chat,high,Message text is trimmed in addMessage and rendered by plain/html methods.,
field,com/corrodinggames/rts/gameFramework/j/b,I,d,field_b_connectionId,connectionId,v0.66-network-sync-desync,network-chat,high,Set from NetworkConnection.connectionId; spam counter matches recent messages by this id.,
field,com/corrodinggames/rts/gameFramework/j/b,J,e,field_b_createdNanos,createdNanos,v0.66-network-sync-desync,network-chat,high,Set from System.nanoTime and compared by countRecentMessagesForConnection.,
field,com/corrodinggames/rts/gameFramework/j/b,Lcom/corrodinggames/rts/gameFramework/j/a;,f,field_b_history,history,v0.66-network-sync-desync,network-chat,high,Back-reference used to escape sender/message text while rendering HTML.,
method,com/corrodinggames/rts/gameFramework/j/a,(Ljava/lang/String;)Ljava/lang/String;,a,method_a_escapeChatText,escapeChatText,v0.66-network-sync-desync,network-chat,high,Delegates to CommonUtils HTML/text escaping helper before chat HTML output.,
method,com/corrodinggames/rts/gameFramework/j/a,(ILjava/lang/String;Ljava/lang/String;Lcom/corrodinggames/rts/gameFramework/j/c;)V,a,method_a_addMessage,addMessage,v0.66-network-sync-desync,network-chat,high,"Trims message text, creates NetworkChatMessage, appends to queue and prunes history to 45 lines.",
method,com/corrodinggames/rts/gameFramework/j/a,(Lcom/corrodinggames/rts/gameFramework/j/c;I)I,a,method_a_countRecentMessagesForConnection,countRecentMessagesForConnection,v0.66-network-sync-desync,network-chat,high,Counts recent non-internal chat messages for a connection within a nanosecond-age window.,
method,com/corrodinggames/rts/gameFramework/j/a,()Ljava/lang/String;,a,method_a_toPlainTextLog,toPlainTextLog,v0.66-network-sync-desync,network-chat,high,Concatenates NetworkChatMessage.toPlainText with newline separators.,
method,com/corrodinggames/rts/gameFramework/j/a,()Ljava/util/concurrent/ConcurrentLinkedQueue;,b,method_a_getMessages,getMessages,v0.66-network-sync-desync,network-chat,high,Returns the backing chat message queue.,
method,com/corrodinggames/rts/gameFramework/j/a,(Z)Ljava/lang/String;,a,method_a_toHtmlLog,toHtmlLog,v0.66-network-sync-desync,network-chat,high,"Builds HTML chat log, optionally skipping old entries depending on caller flag.",
method,com/corrodinggames/rts/gameFramework/j/a,(Z)Landroid/text/Spanned;,b,method_a_toSpannedLog,toSpannedLog,v0.66-network-sync-desync,network-chat,high,Converts HTML chat log to Android Spanned text.,
method,com/corrodinggames/rts/gameFramework/j/a,()V,c,method_a_clear,clear,v0.66-network-sync-desync,network-chat,high,Clears the chat message queue.,
method,com/corrodinggames/rts/gameFramework/j/b,()Ljava/lang/String;,a,method_b_toPlainText,toPlainText,v0.66-network-sync-desync,network-chat,high,"Returns ""sender:message"" or raw message when sender is null.",
method,com/corrodinggames/rts/gameFramework/j/b,()Ljava/lang/String;,b,method_b_toHtml,toHtml,v0.66-network-sync-desync,network-chat,high,Builds colored bold sender prefix and escaped multi-line message HTML.,
class,com/corrodinggames/rts/gameFramework/j/aq,,,rw/network/MasterServerAuthTokenHelper,rustedwarfare/network/MasterServerAuthTokenHelper,v0.66-network-sync-desync,network-master-server,medium-high,Adds hashed tx/_ parameters to master-server create/get-own-info request lists and updates extra integrity check state.,
field,com/corrodinggames/rts/gameFramework/j/aq,Lcom/corrodinggames/rts/gameFramework/j/aq;,a,field_aq_instance,instance,v0.66-network-sync-desync,network-master-server,high,Static singleton initialized in class initializer and used by master-server request runnables.,
field,com/corrodinggames/rts/gameFramework/j/aq,Ljava/lang/String;,g,field_aq_tokenKeyPrefix,tokenKeyPrefix,v0.66-network-sync-desync,network-master-server,medium-high,"Class initializer sets this string to ""tx"" and request methods append numeric suffixes.",
field,com/corrodinggames/rts/gameFramework/j/aq,Ljava/lang/String;,h,field_aq_timestampKeyPrefix,timestampKeyPrefix,v0.66-network-sync-desync,network-master-server,medium-high,"Class initializer sets this string to ""_"" and create-server token method appends timestamp parameter suffix.",
field,com/corrodinggames/rts/gameFramework/j/aq,Z,l,field_aq_enabled,enabled,v0.66-network-sync-desync,network-master-server,medium,"Static boolean initialized true; retained as helper enable flag, exact external toggles not mapped in this pass.",
method,com/corrodinggames/rts/gameFramework/j/aq,(FFF)F,a,method_aq_lerp,lerp,v0.66-network-sync-desync,network-master-server,high,Returns start + (end-start)*t.,
method,com/corrodinggames/rts/gameFramework/j/aq,(Ljava/lang/String;Ljava/util/List;)V,a,method_aq_addCreateServerTokens,addCreateServerTokens,v0.66-network-sync-desync,network-master-server,medium-high,Adds timestamp and two hashed tx token parameters before create-server master-server request.,
method,com/corrodinggames/rts/gameFramework/j/aq,(Ljava/lang/String;Ljava/util/List;)V,b,method_aq_addGetOwnInfoTokens,addGetOwnInfoTokens,v0.66-network-sync-desync,network-master-server,medium-high,Adds hashed tx3 parameter used by get-own-info master-server request flow.,
method,com/corrodinggames/rts/gameFramework/j/aq,(Ljava/lang/String;Ljava/util/List;)V,c,method_aq_addGetOwnInfoExtraTokensIfNeeded,addGetOwnInfoExtraTokensIfNeeded,v0.66-network-sync-desync,network-master-server,medium,Adds tx4 parameter only when the static threshold field is above 1000.,
method,com/corrodinggames/rts/gameFramework/j/aq,(Lcom/corrodinggames/rts/gameFramework/j/c;)V,a,method_aq_updateExtraIntegrityCheckState,updateExtraIntegrityCheckState,v0.66-network-sync-desync,network-master-server,medium-high,"When NetworkConnection.failedExtraIntegrityCheck is set, updates a follow-up boolean based on frame/time integrity expression.",
class,com/corrodinggames/rts/gameFramework/j/ax,,,rw/io/TextGameOutputBlock,rustedwarfare/io/TextGameOutputBlock,v0.66-network-sync-desync,game-output-stream,high,"Owns byte buffer, buffered stream and PrintStream for TextGameOutputStream block capture.",
field,com/corrodinggames/rts/gameFramework/j/ax,Ljava/io/BufferedOutputStream;,a,field_ax_bufferedStream,bufferedStream,v0.66-network-sync-desync,game-output-stream,high,Flushed before closing and wraps byteBuffer.,
field,com/corrodinggames/rts/gameFramework/j/ax,Ljava/lang/String;,b,field_ax_name,name,v0.66-network-sync-desync,game-output-stream,medium-high,Public block name field set by text output block users.,
field,com/corrodinggames/rts/gameFramework/j/ax,Ljava/io/ByteArrayOutputStream;,c,field_ax_byteBuffer,byteBuffer,v0.66-network-sync-desync,game-output-stream,high,Constructor initializes ByteArrayOutputStream and wraps it with bufferedStream/printStream.,
field,com/corrodinggames/rts/gameFramework/j/ax,Ljava/io/PrintStream;,d,field_ax_printStream,printStream,v0.66-network-sync-desync,game-output-stream,high,flush/close use this PrintStream.,
field,com/corrodinggames/rts/gameFramework/j/ax,Z,e,field_ax_wrapsExternalStream,wrapsExternalStream,v0.66-network-sync-desync,game-output-stream,medium-high,close() refuses to close wrapped stream and logs TODO when true.,
method,com/corrodinggames/rts/gameFramework/j/ax,()V,a,method_ax_flush,flush,v0.66-network-sync-desync,game-output-stream,high,Flushes printStream and bufferedStream.,
method,com/corrodinggames/rts/gameFramework/j/ax,()V,b,method_ax_close,close,v0.66-network-sync-desync,game-output-stream,high,Closes printStream unless wrapsExternalStream is set.,
class,com/corrodinggames/rts/gameFramework/j/f,,,rw/io/GameOutputTraceStream,rustedwarfare/io/GameOutputTraceStream,v0.66-network-sync-desync,game-output-stream,high,Extends GameOutputStream and records pipe-delimited textual trace while delegating real writes to superclass.,
field,com/corrodinggames/rts/gameFramework/j/f,Ljava/lang/String;,a,field_f_traceText,traceText,v0.66-network-sync-desync,game-output-stream,high,Each overridden write appends a compact token to this trace string before delegating to GameOutputStream.,
method,com/corrodinggames/rts/gameFramework/j/f,(I)V,a,method_f_writeInt,writeInt,v0.66-network-sync-desync,game-output-stream,high,Override of GameOutputStream.writeInt with trace append.,
method,com/corrodinggames/rts/gameFramework/j/f,(F)V,a,method_f_writeFloat,writeFloat,v0.66-network-sync-desync,game-output-stream,high,Override of GameOutputStream.writeFloat with trace append.,
method,com/corrodinggames/rts/gameFramework/j/f,(S)V,a,method_f_writeShort,writeShort,v0.66-network-sync-desync,game-output-stream,high,Override of GameOutputStream.writeShort with trace append.,
method,com/corrodinggames/rts/gameFramework/j/f,(Z)V,a,method_f_writeBoolean,writeBoolean,v0.66-network-sync-desync,game-output-stream,high,Override of GameOutputStream.writeBoolean with trace append.,
method,com/corrodinggames/rts/gameFramework/j/f,(Ljava/lang/String;Z)V,a,method_f_startBlock,startBlock,v0.66-network-sync-desync,game-output-stream,high,Override of GameOutputStream.startBlock with <name> trace marker.,
method,com/corrodinggames/rts/gameFramework/j/f,(Ljava/lang/String;)V,a,method_f_endBlock,endBlock,v0.66-network-sync-desync,game-output-stream,high,Override of GameOutputStream.endBlock with </name> trace marker.,
method,com/corrodinggames/rts/gameFramework/j/f,(Lcom/corrodinggames/rts/game/units/am;)V,a,method_f_writeUnitId,writeUnitId,v0.66-network-sync-desync,game-output-stream,high,Override of GameOutputStream.writeUnitId with |u: trace marker.,
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/util/ArrayList;,M,field_ad_banEntries,banEntries,v0.66-network-sync-desync,network-hosting,high,getActiveBanForConnection/banConnection/clear/prune methods synchronize on this list of NetworkBanEntry rows.,
field,com/corrodinggames/rts/gameFramework/j/ad,Z,aY,field_ad_returnToBattleroomPending,returnToBattleroomPending,v0.66-network-sync-desync,network-battleroom,high,aC sets true; aD clears false and performs returnToBattleroom reset.,
field,com/corrodinggames/rts/gameFramework/j/ad,Z,aZ,field_ad_returnToBattleroomTimerActive,returnToBattleroomTimerActive,v0.66-network-sync-desync,network-battleroom,high,scheduleReturnToBattleroom returns early when active and then sets this flag.,
field,com/corrodinggames/rts/gameFramework/j/ad,F,ba,field_ad_returnToBattleroomCountdownSeconds,returnToBattleroomCountdownSeconds,v0.66-network-sync-desync,network-battleroom,high,scheduleReturnToBattleroom stores countdown seconds and announces it to clients.,
field,com/corrodinggames/rts/gameFramework/j/ad,Z,bc,field_ad_startGameFailed,startGameFailed,v0.66-network-sync-desync,network-battleroom,high,onStartGameFailed sets true and sends Map load failed / disconnect message.,
field,com/corrodinggames/rts/gameFramework/j/ad,F,bn,field_ad_lastResyncTimer,lastResyncTimer,v0.66-network-sync-desync,network-sync-desync,high,"Desync log string explicitly prints ""lastResyncTimer:"" followed by this field.",
field,com/corrodinggames/rts/gameFramework/j/ad,F,bo,field_ad_resyncTriggerTimer,resyncTriggerTimer,v0.66-network-sync-desync,network-sync-desync,medium-high,Accumulates time after desync detection and gates escalation thresholds 60/420/3600/14400 seconds.,
