kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasFlagBoolean,(I)V,id,method_LogicBooleanGameFunctions_HasFlagBoolean_setFlagId,setFlagId,v0.52-custom-logic-stat-behavior,custom-logic-flags,high,"javap validates 0-31, writes flagId and flagMask",parameter setter for static HasFlag id
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasFlagDynamicBoolean,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,id,field_LogicBooleanGameFunctions_HasFlagDynamicBoolean_flagIdExpression,flagIdExpression,v0.52-custom-logic-stat-behavior,custom-logic-flags,high,javap validateAndOptimize/read use id as dynamic flag id number expression,dynamic flag id expression
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$CreateMarker,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,x,field_LogicNumberFunction_CreateMarker_xExpression,xExpression,v0.52-custom-logic-stat-behavior,custom-logic-marker,high,javap getSingleRaw() reads x expression into marker unit eo,marker x expression
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$CreateMarker,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,y,field_LogicNumberFunction_CreateMarker_yExpression,yExpression,v0.52-custom-logic-stat-behavior,custom-logic-marker,high,javap getSingleRaw() reads y expression into marker unit ep,marker y expression
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDirection,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,x1,field_LogicNumberFunction_FunctionDirection_x1,x1,v0.52-custom-logic-stat-behavior,custom-logic-geometry,high,javap readNumber() reads x1/y1/x2/y2 and calls distance/direction math,LogicNumberFunction coordinate operand field
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDirection,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,x2,field_LogicNumberFunction_FunctionDirection_x2,x2,v0.52-custom-logic-stat-behavior,custom-logic-geometry,high,javap readNumber() reads x1/y1/x2/y2 and calls distance/direction math,LogicNumberFunction coordinate operand field
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDirection,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,y1,field_LogicNumberFunction_FunctionDirection_y1,y1,v0.52-custom-logic-stat-behavior,custom-logic-geometry,high,javap readNumber() reads x1/y1/x2/y2 and calls distance/direction math,LogicNumberFunction coordinate operand field
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDirection,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,y2,field_LogicNumberFunction_FunctionDirection_y2,y2,v0.52-custom-logic-stat-behavior,custom-logic-geometry,high,javap readNumber() reads x1/y1/x2/y2 and calls distance/direction math,LogicNumberFunction coordinate operand field
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDistance,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,x1,field_LogicNumberFunction_FunctionDistance_x1,x1,v0.52-custom-logic-stat-behavior,custom-logic-geometry,high,javap readNumber() reads x1/y1/x2/y2 and calls distance/direction math,LogicNumberFunction coordinate operand field
field,com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDistance,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,x2,field_LogicNumberFunction_FunctionDistance_x2,x2,v0.52-custom-logic-stat-behavior,custom-logic-geometry,high,javap readNumber() reads x1/y1/x2/y2 and calls distance/direction math,LogicNumberFunction coordinate operand field
