owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/custom/b/h,field,d,Landroid/graphics/Paint;,scratchPaint,scratchPaint,true,LegAnimationBehavior.drawLegLayer copies unit paint into this static Paint when alpha has to be adjusted for height/runtime leg alpha.
com/corrodinggames/rts/game/units/custom/b/h,field,b,Landroid/graphics/Rect;,scratchSourceRect,scratchSourceRect,true,LegAnimationBehavior.drawLegLayer reuses this Rect while drawing leg/end image source rectangles.
com/corrodinggames/rts/game/units/custom/b/h,field,c,Landroid/graphics/RectF;,scratchDestRect,scratchDestRect,true,LegAnimationBehavior.drawLegLayer reuses this RectF while drawing leg/end image destination rectangles.
com/corrodinggames/rts/game/units/custom/b/h,field,a,Lcom/corrodinggames/rts/game/units/custom/b/a;,instance,instance,true,CustomUnitLoader registers this singleton on CustomUnitMetadata when legOrArmTemplates are present; CustomUnit.refreshLegRuntimeStates also invokes it directly.
com/corrodinggames/rts/game/units/custom/b/i,field,b,F,footX,footX,true,LegAnimationBehavior update writes current foot X offset; CustomUnit save/load serializes it and drawLegLayer renders at unit.eo + footX.
com/corrodinggames/rts/game/units/custom/b/i,field,c,F,footY,footY,true,LegAnimationBehavior update writes current foot Y offset; CustomUnit save/load serializes it and drawLegLayer renders at unit.ep + footY.
com/corrodinggames/rts/game/units/custom/b/i,field,d,F,footHeight,footHeight,true,LegAnimationBehavior update moves this height toward target/lifting values; CustomUnit save/load serializes it and drawLegLayer subtracts it from the rendered Y position.
com/corrodinggames/rts/game/units/custom/b/i,field,e,F,moveWarmupTimer,moveWarmupTimer,true,"When a leg starts moving, update code increments LegRuntimeState.e until it reaches LegOrArmTemplate.moveWarmUp before raising/lowering the foot."
com/corrodinggames/rts/game/units/custom/b/i,field,f,F,targetX,targetX,true,LegAnimationBehavior computes rotated template x/y plus runtime offsets into targetX/targetY; movement interpolation approaches these target coordinates.
com/corrodinggames/rts/game/units/custom/b/i,field,g,F,targetY,targetY,true,LegAnimationBehavior computes rotated template x/y plus runtime offsets into targetX/targetY; movement interpolation approaches these target coordinates.
com/corrodinggames/rts/game/units/custom/b/i,field,h,F,distanceToTargetSquared,distanceToTargetSquared,true,"Update code stores CommonUtils.distanceSquared(footX, footY, targetX, targetY) here and compares it to holdDisMin/hardLimit squared thresholds."
com/corrodinggames/rts/game/units/custom/b/i,field,i,F,footDir,footDir,true,CustomUnit save/load serializes this angle; update approaches bodyDir + LegOrArmTemplate.endDirOffset and drawLegLayer renders end/middle images using footDir + spinAngle + drawDirOffset.
com/corrodinggames/rts/game/units/custom/b/i,field,r,F,spinAngle,spinAngle,true,LegAnimationBehavior increments this by LegOrArmTemplate.spinRate * delta and wraps at 360; drawLegLayer adds it to image rotation.
com/corrodinggames/rts/game/units/custom/b/i,field,s,F,alpha,alpha,true,CustomUnit.ensureLegRuntimeStates copies LegOrArmTemplate.alpha into LegRuntimeState.s; drawLegLayer multiplies render alpha by this runtime value.
com/corrodinggames/rts/game/units/custom/b/i,field,a,I,index,index,true,CustomUnit.ensureLegRuntimeStates writes the leg/arm slot index into LegRuntimeState.a after allocating each runtime state.
com/corrodinggames/rts/game/units/custom/b/i,field,j,Z,landingEffectEmitted,landingEffectEmitted,true,Update code clears this when a foot is moving and sets it after the foot lands so dust/splash landing effects are only emitted once per step.
com/corrodinggames/rts/game/units/custom/b/i,field,k,Z,moving,moving,true,Update code sets this when hold distance/hard limit logic starts a step; save/load serializes it and neighboring-leg logic counts moving legs through this flag.
com/corrodinggames/rts/game/units/custom/b/i,field,m,Z,needsPositionReset,needsPositionReset,true,Constructor and CustomUnit.ensureLegRuntimeStates initialize this true; update consumes it by snapping foot position/dir to the current template target.
com/corrodinggames/rts/game/units/custom/b/i,field,n,Z,fallingReset,fallingReset,true,CustomUnit.markLegsForFalling sets this with needsPositionReset; update applies the special falling reset by shrinking initial offsets and lowering footHeight.
com/corrodinggames/rts/game/units/custom/b/i,field,o,Z,positionDirty,positionDirty,true,Update code sets this when unit movement/rotation or reset changes leg target/current state and uses it as the fast-path gate before recomputing target placement.
com/corrodinggames/rts/game/units/custom/b/m,field,a,Lcom/corrodinggames/rts/game/units/custom/b/m;,instance,instance,true,AttachmentBehavior.<clinit> creates the singleton and parseAttachmentSections registers it on CustomUnitMetadata when attachment_* sections exist.
com/corrodinggames/rts/game/units/custom/j,field,eg,Lcom/corrodinggames/rts/gameFramework/utility/m;,attachedUnitActionBuffer,attachedUnitActionBuffer,true,CustomUnit constructor allocates eg; CustomUnit.getAttachedUnitActions clears and reuses it as the temporary list of actions exposed by AttachmentSlot.showAllActionsFrom. It is not a waypoint-action cache.
com/corrodinggames/rts/game/units/custom/l,field,ay,Z,hasDrawOverBodyLegs,hasDrawOverBodyLegs,true,"LegOrArmTemplate.parseFromConfig reads drawOverBody; when any template sets it, metadata l.ay is set and CustomUnit draw path runs LegAnimationBehavior.drawLegLayer(unit,dt,true,false)."
com/corrodinggames/rts/game/units/custom/l,field,az,Z,hasDrawUnderAllUnitsLegs,hasDrawUnderAllUnitsLegs,true,"LegOrArmTemplate.parseFromConfig reads drawUnderAllUnits; when any template sets it, metadata l.az is set and CustomUnit shadow/under-unit draw path runs LegAnimationBehavior.drawLegLayer(unit,dt,false,true)."
com/corrodinggames/rts/game/units/am,method,e,(Z)Lcom/corrodinggames/rts/gameFramework/utility/m;,getAttachedUnitActions,getAttachedUnitActions,true,Base Unit.e(boolean) returns null; CommandInterface calls this override hook when building the selected-unit command list to include actions exposed by attached units.
com/corrodinggames/rts/game/units/custom/b/h,method,a,(Lcom/corrodinggames/rts/game/units/custom/j;FZZ)V,drawLegLayer,drawLegLayer,true,"Static renderer called from CustomUnit draw passes with (drawOverBody, drawUnderAllUnits) booleans; it filters LegOrArmTemplate.drawOverBody/drawUnderAllUnits, applies hidden/alpha checks, draws shadows, feet/end images, middle/leg images, and optional link lines."
com/corrodinggames/rts/game/units/custom/b/m,method,a,(Lcom/corrodinggames/rts/game/units/custom/j;Lcom/corrodinggames/rts/gameFramework/utility/m;Z)V,collectAttachedUnitActions,collectAttachedUnitActions,true,"The method iterates CustomUnit.attachedUnits, checks each AttachmentSlot.showAllActionsFrom LogicBoolean, wraps child actions in UnitSpecificActionProxy, and appends them to the UI action list. It does not detach or clean a list."
com/corrodinggames/rts/game/units/custom/j,method,dB,()V,markLegsForFalling,markLegsForFalling,true,"CustomUnit.dB iterates legRuntimeStates, sets fallingReset and needsPositionReset on each LegRuntimeState, then refreshes leg placement. The old markAttachmentsFalling name was inaccurate; this method only touches leg runtime states."
com/corrodinggames/rts/game/units/custom/j,method,du,()V,ensureLegRuntimeStates,ensureLegRuntimeStates,true,"CustomUnit.du creates/resizes dT to match metadata.legOrArmTemplates, initializes LegRuntimeState.index and alpha from each template, snapshots unit position/height/dir, then refreshes leg runtime states."
com/corrodinggames/rts/game/units/custom/j,method,dv,()V,refreshLegRuntimeStates,refreshLegRuntimeStates,true,"CustomUnit.dv directly invokes LegAnimationBehavior.instance.onLateUpdate(this, 0) to recompute leg runtime placement immediately after allocation or falling reset."
com/corrodinggames/rts/game/units/custom/j,method,e,(Z)Lcom/corrodinggames/rts/gameFramework/utility/m;,getAttachedUnitActions,getAttachedUnitActions,true,"CustomUnit.e(boolean) clears attachedUnitActionBuffer, calls AttachmentBehavior.collectAttachedUnitActions when attachment slots exist, and returns the buffer only if exposed attached-unit actions were added."
