kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/rts/gameFramework/m/m,()V,<init>,method_m_<init>,<init>,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,constructor from descriptor inventory,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
class,com/corrodinggames/rts/gameFramework/f/o$1,,,rw/ui/MinimapDrawCommand,rustedwarfare/ui/MinimapDrawCommand,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,anonymous minimap draw command delegates to Minimap.drawBaseMapLayer,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
field,com/corrodinggames/rts/gameFramework/f/o$1,Lcom/corrodinggames/rts/gameFramework/f/o;,a,field_o_1_minimap,minimap,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,constructor stores outer Minimap reference,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
method,com/corrodinggames/rts/gameFramework/f/o$1,(Lcom/corrodinggames/rts/gameFramework/f/o;)V,<init>,method_o_1_<init>,<init>,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,constructor from descriptor inventory,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
method,com/corrodinggames/rts/gameFramework/f/o$1,(Lcom/corrodinggames/rts/gameFramework/m/y;)V,a,method_o_1_run__graphicsEngine_V,run,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,"delegates to Minimap.drawBaseMapLayer(graphics,0,0,0,1)",v0.57 adjusted from sibling draw to run to match parent DrawTimeCallback.run override family; merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
field,com/corrodinggames/rts/gameFramework/f/o,F,a,field_o_screenX,screenX,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,updateBounds writes from gameEngine screen width minus minimap width,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
field,com/corrodinggames/rts/gameFramework/f/o,F,b,field_o_screenY,screenY,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,updateBounds writes from gameEngine screen height minus minimap height in alternate layout,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
field,com/corrodinggames/rts/gameFramework/f/o,F,c,field_o_width,width,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,constructor default 120; updateSizeAndPosition sets square minimap size,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
field,com/corrodinggames/rts/gameFramework/f/o,F,d,field_o_height,height,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,constructor default 120; updateSizeAndPosition mirrors width,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
field,com/corrodinggames/rts/gameFramework/f/o,Z,e,field_o_mapImageReady,mapImageReady,v0.57-ui-minimap-command-merge,ui-minimap-command-merge,high,createImageBuffers/render sets true; releaseBuffers/setup resets false,merged from sibling v0.56 ui/minimap branch onto active render-canvas v0.56
