owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/custom/ba,field,a,I,index,index,true,CustomUnitLoader assigns LegOrArmTemplate.a from the leg/arm slot index; neighbor cache stores other LegOrArmTemplate.index values into neighboringLegIndices.
com/corrodinggames/rts/game/units/custom/ba,field,B,Lcom/corrodinggames/rts/gameFramework/m/e;,endImage,endImage,true,image_foot and image_end parser keys both write LegOrArmTemplate.B; runtime draw path reads it for the foot/end segment.
com/corrodinggames/rts/game/units/custom/ba,field,D,Lcom/corrodinggames/rts/gameFramework/m/e;,endShadowImage,endShadowImage,true,image_foot_shadow and image_end_shadow parser keys both write LegOrArmTemplate.D; draw path checks it for shadow/end rendering.
com/corrodinggames/rts/game/units/custom/ba,field,x,Lcom/corrodinggames/rts/gameFramework/m/e;,middleImage,middleImage,true,image_leg and image_middle parser keys both write LegOrArmTemplate.x; runtime draw path reads it for the middle/leg segment.
com/corrodinggames/rts/game/units/custom/ba,field,b,Ljava/lang/String;,name,name,true,"parseFromConfig stores sectionName.replace(""_"", """") into LegOrArmTemplate.b; metadata lookup/logging compares against this normalized name."
com/corrodinggames/rts/game/units/custom/ba,field,E,Z,hasZoomedOutDrawOverride,hasZoomedOutDrawOverride,true,drawLegWhenZoomedOut and drawFootWhenZoomedOut explicit config values set LegOrArmTemplate.E=true; legacy fallback only runs when this flag is false.
com/corrodinggames/rts/game/units/custom/ba,field,c,Z,isLeg,isLeg,true,parseFromConfig stores its leg-vs-arm boolean parameter into LegOrArmTemplate.c after arm sections force lockMovement=true and explodeOnDeath=false.
com/corrodinggames/rts/game/units/custom/ba,field,p,Z,alwaysHidden,alwaysHidden,true,hidden LogicBoolean is parsed into q; LegOrArmTemplate.p is set only when q == LogicBoolean.trueBoolean and runtime skips the leg/arm before dynamic hidden checks.
com/corrodinggames/rts/game/units/custom/ba,field,S,[I,neighboringLegIndices,neighboringLegIndices,true,CustomUnitLoader.computeLegNeighborIndexCache builds LegOrArmTemplate.S from nearby non-lockMovement leg/arm template indices within holdDisMin distance.
com/corrodinggames/rts/game/units/custom/ba,field,C,[Lcom/corrodinggames/rts/gameFramework/m/e;,endTeamImages,endTeamImages,true,image_end_teamColors controls generating team-color variants from endImage and writes LegOrArmTemplate.C.
com/corrodinggames/rts/game/units/custom/ba,field,y,[Lcom/corrodinggames/rts/gameFramework/m/e;,middleTeamImages,middleTeamImages,true,image_middle_teamColors controls generating team-color variants from middleImage and writes LegOrArmTemplate.y.
com/corrodinggames/rts/game/units/custom/bh,field,aT,F,shieldDeflectionMultiplier,shieldDeflectionMultiplier,true,CustomProjectileTemplate inherits/base-matches game.g shieldDeflectionMultiplier and runtime Projectile.shieldDeflectionMultiplier; the old name preserved the config typo shieldDefectionMultiplier rather than the semantic runtime name.
com/corrodinggames/rts/game/units/custom/bh,field,as,F,ballisticDelayMoveHeight,ballisticDelayMoveHeight,true,CustomProjectileTemplate.as matches base projectile template/game.g and runtime Projectile ballisticDelayMoveHeight; old mapping had incorrect camel-case ballisticDelaymoveHeight.
com/corrodinggames/rts/game/units/custom/l,field,em,I,reloadProgressTurretIndex,reloadProgressTurretIndex,true,CustomUnitLoader finalization chooses the non-linked attack turret with delay above the UI threshold and stores its index in l.em; CustomUnit.bW uses cL[em].reloadTimer / delay for reload progress display.
com/corrodinggames/rts/game/units/custom/l,field,en,I,warmupProgressTurretIndex,warmupProgressTurretIndex,true,CustomUnitLoader finalization chooses the turret with warmup above the UI threshold and stores its index in l.en; CustomUnit.bW uses cL[en].warmupTimer / warmup for warmup progress display.
com/corrodinggames/rts/game/units/custom/l,field,fV,Lcom/corrodinggames/rts/game/units/custom/bn;,mainNanoTurret,mainNanoTurret,true,TurretTemplate parser reads isMainNanoTurret and stores the current TurretTemplate in l.fV; CustomUnit nano-turret helpers read fV.e for the main nano turret index.
com/corrodinggames/rts/game/units/custom/l,field,bE,Z,hasLaserDefenceTurrets,hasLaserDefenceTurrets,true,TurretTemplate parser reads laserDefenceEnergyUse; when present it sets metadata l.bE true and installs TurretProjectileBehavior laser-defence logic.
com/corrodinggames/rts/game/units/custom/l,field,bF,Z,hasProjectileInterceptorTurrets,hasProjectileInterceptorTurrets,true,TurretTemplate parser reads interceptProjectiles_withTags; when present it sets metadata l.bF true and installs projectile-interceptor behavior. CustomUnit runtime checks l.bF before drawing/interpreting interceptor range state.
