kind,owner_official,official_name,descriptor,named_name,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/e,e,Z,appendToExistingOrders,high,Command.issueCommand clears selected units waypoints only when this flag is false.,Renames old queuedCommand to actual append/queue semantics.
field,com/corrodinggames/rts/gameFramework/c,a,Z,traceCommandSource,medium,CommandController.createBareCommand stores a source stack trace into Command.sourceStackTrace when this static final flag is true.,"static debug flag, false in <clinit>."
field,com/corrodinggames/rts/gameFramework/c,e,I,rateLimitedWarningCount,high,CommandController.logCommandWarningRateLimited increments this and suppresses repeated logs.,static warning rate limiter.
method,com/corrodinggames/rts/gameFramework/c,<init>,()V,<init>,confirmed,Initializes command queue lists.,constructor row.
method,com/corrodinggames/rts/gameFramework/c,a,(Ljava/lang/String;)V,logCommandWarningRateLimited,high,"Prints command validation warning with rate limiting and ""(Rate Limiting...)"" marker.",Used by Command.issueCommand validation failures.
method,com/corrodinggames/rts/gameFramework/c,a,()V,clearCommandQueues,high,Clears all three CommandController ArrayList queues.,Controller reset.
method,com/corrodinggames/rts/gameFramework/c,b,()Lcom/corrodinggames/rts/gameFramework/e;,createBareCommand,high,Creates Command without team and optionally records source stack trace.,Team assigned by createCommandForTeam.
field,com/corrodinggames/rts/gameFramework/e,a,Z,allowExecutionDuringReplay,medium,Command.issueCommand returns early while ReplayEngine.isReplaying unless this flag is true.,No writes inside Command; likely external/system command flag.
field,com/corrodinggames/rts/gameFramework/e,b,Ljava/lang/String;,sourceStackTrace,high,CommandController writes stack trace here when tracing is enabled; issueCommand prints it for action validation debug.,"Debug source trace, not serialized."
field,com/corrodinggames/rts/gameFramework/e,c,I,scheduledFrame,medium,CommandController.processServerFrameCommands executes command when Command.c equals current GameEngine.bx.,Likely network/server execution frame.
field,com/corrodinggames/rts/gameFramework/e,d,I,createdFrame,medium,CommandController.createCommandForTeam stores GameEngine.by into this field at creation.,Creation/frame marker distinct from scheduledFrame.
field,com/corrodinggames/rts/gameFramework/e,f,Z,clearNonBuildRepairWaypointsOnly,medium,Command.issueCommand calls OrderableUnit.clearNonBuildAndNonRepairWaypoints and skips normal waypoint issue when true.,Exact UI trigger still not fully mapped.
field,com/corrodinggames/rts/gameFramework/e,h,Z,replaceMatchingMoveWaypoint,medium,"When appending a move/attackMove and last waypoint matches, issueCommand removes the last waypoint if this flag is true.",Coalesces queued movement.
