kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/j/ad,Z,H,field_NetworkEngine_isProxyController,isProxyController,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,NetworkEngine.aw() returns C || H; kick/move/team request paths send host commands when H is true.,Proxy-controller privilege bit used by client-side admin control paths.
field,com/corrodinggames/rts/gameFramework/j/ad,Z,aW,field_NetworkEngine_gameHasBeenStarted,gameHasBeenStarted,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Set true in beginNetworkGameLoad; command handler emits ""Game not yet started"" or ""Game has been started"" based on this field.",
field,com/corrodinggames/rts/gameFramework/j/ad,Z,al,field_NetworkEngine_gamePaused,gamePaused,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"setGamePaused writes al and broadcasts ""Game Paused"" / ""Game unpaused"" system messages.",
field,com/corrodinggames/rts/gameFramework/j/ad,Z,v,field_NetworkEngine_chatOnlyMode,chatOnlyMode,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Server-info packet writes ""<CHAT ONLY>"" instead of map path when v is true; constructor initializes v=false.",
field,com/corrodinggames/rts/gameFramework/j/ad,Ljava/lang/Object;,bC,field_NetworkEngine_teamListLock,teamListLock,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Synchronized monitor for getTeamListSnapshot, movePlayerToSlot, and applyTeamLayout wrappers.",
field,com/corrodinggames/rts/gameFramework/j/ah,Z,m,field_GameSetup_teamsLocked,teamsLocked,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Chat command ""teamlock"" toggles ah.m and emits ""teams are locked"" / ""teams are unlocked""; set-team command checks it.",Completes lobby GameSetup state alongside lockedRoom from v0.65.
method,com/corrodinggames/rts/gameFramework/j/ad,(Ljava/lang/String;)V,j,method_NetworkEngine_sendSystemMessage,sendSystemMessage,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"String evidence: ""cannot send sendSystemMessage:"" and ""sendSystemMessage:""; routes server system text through packet 141.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Ljava/lang/String;)V,k,method_NetworkEngine_sendQuickChatCommand,sendQuickChatCommand,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Prefixes payload with ""-qc"" then delegates to sendChatMessage.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Ljava/lang/String;)V,l,method_NetworkEngine_sendTeamChatMessage,sendTeamChatMessage,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Prefixes non-command text with ""-t"" unless command is share/t, then delegates to sendChatMessage.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Ljava/lang/String;)V,m,method_NetworkEngine_sendChatMessage,sendChatMessage,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"String evidence: ""sendChatMessage: not networked:""; clients emit packet 140 and server handles locally/broadcasts.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;Lcom/corrodinggames/rts/game/n;Ljava/lang/String;Ljava/lang/String;)V,a,method_NetworkEngine_sendChatMessageFromServer,sendChatMessageFromServer,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,Four-argument wrapper delegates to five-argument server chat sender with null target connection.,
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/c;Lcom/corrodinggames/rts/game/n;Ljava/lang/String;Ljava/lang/String;Lcom/corrodinggames/rts/gameFramework/j/c;)V,a,method_NetworkEngine_sendChatMessageFromServerToTarget,sendChatMessageFromServerToTarget,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Builds packet 141, handles -t/-surrender/-i/-qc, optional target connection, and local chat-history record.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Ljava/lang/String;)Ljava/lang/String;,n,method_NetworkEngine_extractChatCommandName,extractChatCommandName,v0.67-network-lobby-chat-command,network-lobby-chat-command,high,"Static parser extracts command name from -, ., or _ prefixed chat text and lowercases it.",
