kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/am,,,rw/audio/MusicController,rustedwarfare/audio/MusicController,v0.61-audio-family-completion,audio-family-completion,high,"SettingsEngine.musicVolume/masterVolume, MusicFactory players, track selection and crossfade bytecode",
class,com/corrodinggames/rts/gameFramework/am$1,,,rw/audio/MusicPauseThread,rustedwarfare/audio/MusicPauseThread,v0.61-audio-family-completion,audio-family-completion,high,Thread launched by MusicController.pauseAsync; log strings Music:pause(),
class,com/corrodinggames/rts/gameFramework/am$2,,,rw/audio/MusicResumeThread,rustedwarfare/audio/MusicResumeThread,v0.61-audio-family-completion,audio-family-completion,high,Thread launched by MusicController.resumeAsync; resumes active/fading players,
class,com/corrodinggames/rts/gameFramework/an,,,rw/audio/AndroidMusicFactory,rustedwarfare/audio/AndroidMusicFactory,v0.61-audio-family-completion,audio-family-completion,high,extends MusicFactory; strings AndroidMusicFactory - load/already loaded; owns MediaPlayer pool,
class,com/corrodinggames/rts/gameFramework/ao,,,rw/audio/AndroidMusicTrack,rustedwarfare/audio/AndroidMusicTrack,v0.61-audio-family-completion,audio-family-completion,high,extends MusicTrack; constructor stores AndroidMusicFactory,
class,com/corrodinggames/rts/gameFramework/ap,,,rw/audio/AndroidMusicPlayer,rustedwarfare/audio/AndroidMusicPlayer,v0.61-audio-family-completion,audio-family-completion,high,extends MusicPlayer; wraps android.media.MediaPlayer,
class,com/corrodinggames/rts/gameFramework/ap$1,,,rw/audio/AndroidMusicInfoListener,rustedwarfare/audio/AndroidMusicInfoListener,v0.61-audio-family-completion,audio-family-completion,high,MediaPlayer.OnInfoListener installed during AndroidMusicPlayer.queuePlay,
class,com/corrodinggames/rts/gameFramework/ap$2,,,rw/audio/AndroidMusicPreparedListener,rustedwarfare/audio/AndroidMusicPreparedListener,v0.61-audio-family-completion,audio-family-completion,high,MediaPlayer.OnPreparedListener starts player after prepareAsync,
class,com/corrodinggames/rts/gameFramework/at,,,rw/audio/MusicCategory,rustedwarfare/audio/MusicCategory,v0.61-audio-family-completion,audio-family-completion,high,"enum constants starting/buildup/attacked and folder strings music/starting, music/buildup, music/attacked",
class,com/corrodinggames/rts/gameFramework/at$1,,,rw/audio/MusicCategoryStarting,rustedwarfare/audio/MusicCategoryStarting,v0.61-audio-family-completion,audio-family-completion,high,enum subclass returns music/starting,
class,com/corrodinggames/rts/gameFramework/at$2,,,rw/audio/MusicCategoryBuildup,rustedwarfare/audio/MusicCategoryBuildup,v0.61-audio-family-completion,audio-family-completion,high,enum subclass returns music/buildup,
class,com/corrodinggames/rts/gameFramework/at$3,,,rw/audio/MusicCategoryAttacked,rustedwarfare/audio/MusicCategoryAttacked,v0.61-audio-family-completion,audio-family-completion,high,enum subclass returns music/attacked,
class,com/corrodinggames/rts/gameFramework/au,,,rw/audio/MusicUpdateThread,rustedwarfare/audio/MusicUpdateThread,v0.61-audio-family-completion,audio-family-completion,high,Thread waits on MusicController update lock then calls guarded music update,
class,com/corrodinggames/rts/gameFramework/aw,,,rw/audio/NullMusicTrack,rustedwarfare/audio/NullMusicTrack,v0.61-audio-family-completion,audio-family-completion,high,extends MusicTrack; returned by NullMusicFactory,
class,com/corrodinggames/rts/gameFramework/ax,,,rw/audio/NullMusicPlayer,rustedwarfare/audio/NullMusicPlayer,v0.61-audio-family-completion,audio-family-completion,high,extends MusicPlayer; no-op fallback player returned by NullMusicFactory,
field,com/corrodinggames/rts/gameFramework/am,Lcom/corrodinggames/rts/gameFramework/aq;,a,field_MusicController_musicFactory,musicFactory,v0.61-audio-family-completion,audio-family-completion,high,static selected MusicFactory used by controller,
field,com/corrodinggames/rts/gameFramework/am,Ljava/lang/Object;,b,field_MusicController_updateLock,updateLock,v0.61-audio-family-completion,audio-family-completion,high,monitor used by pause/resume/update critical sections,
field,com/corrodinggames/rts/gameFramework/am,Ljava/lang/Object;,c,field_MusicController_updateThreadSignalLock,updateThreadSignalLock,v0.61-audio-family-completion,audio-family-completion,high,monitor used by MusicUpdateThread wait/notify,
field,com/corrodinggames/rts/gameFramework/am,F,d,field_MusicController_queuedDelta,queuedDelta,v0.61-audio-family-completion,audio-family-completion,high,delta passed from front-end update to music worker thread,
field,com/corrodinggames/rts/gameFramework/am,Lcom/corrodinggames/rts/gameFramework/au;,e,field_MusicController_updateThread,updateThread,v0.61-audio-family-completion,audio-family-completion,high,controller-owned MusicUpdateThread,
field,com/corrodinggames/rts/gameFramework/am,Z,f,field_MusicController_updatePending,updatePending,v0.61-audio-family-completion,audio-family-completion,high,flag set before notifying music worker thread,
field,com/corrodinggames/rts/gameFramework/am,Z,g,field_MusicController_updateThreadReady,updateThreadReady,v0.61-audio-family-completion,audio-family-completion,high,worker readiness/lockup-detection flag,
field,com/corrodinggames/rts/gameFramework/am,F,h,field_MusicController_lockupTimer,lockupTimer,v0.61-audio-family-completion,audio-family-completion,high,accumulates time while worker is not ready,
field,com/corrodinggames/rts/gameFramework/am,I,i,field_MusicController_lockupUpdateCount,lockupUpdateCount,v0.61-audio-family-completion,audio-family-completion,high,counts delayed updates before lockup warning,
field,com/corrodinggames/rts/gameFramework/am,Z,j,field_MusicController_lockupWarningShown,lockupWarningShown,v0.61-audio-family-completion,audio-family-completion,high,prevents repeated music-subsystem lockup warnings,
field,com/corrodinggames/rts/gameFramework/am,Lcom/corrodinggames/rts/gameFramework/as;,k,field_MusicController_currentPlayer,currentPlayer,v0.61-audio-family-completion,audio-family-completion,high,primary active MusicPlayer,
field,com/corrodinggames/rts/gameFramework/am,Z,l,field_MusicController_currentPlayerActive,currentPlayerActive,v0.61-audio-family-completion,audio-family-completion,high,whether the primary player currently owns a loaded track,
field,com/corrodinggames/rts/gameFramework/am,Ljava/lang/String;,m,field_MusicController_currentTrackPath,currentTrackPath,v0.61-audio-family-completion,audio-family-completion,high,currently selected music track path,
field,com/corrodinggames/rts/gameFramework/am,Z,n,field_MusicController_currentTrackNoLoop,currentTrackNoLoop,v0.61-audio-family-completion,audio-family-completion,high,"true for mod/[noloop] tracks, causing queuePlay(false)",
field,com/corrodinggames/rts/gameFramework/am,Z,o,field_MusicController_volumeDirty,volumeDirty,v0.61-audio-family-completion,audio-family-completion,high,forces volume/crossfade recomputation,
field,com/corrodinggames/rts/gameFramework/am,F,p,field_MusicController_lastEffectiveVolume,lastEffectiveVolume,v0.61-audio-family-completion,audio-family-completion,high,cached effective music volume for volumeDirty detection,
field,com/corrodinggames/rts/gameFramework/am,F,q,field_MusicController_trackTimer,trackTimer,v0.61-audio-family-completion,audio-family-completion,high,elapsed timer used for automatic track changes,
field,com/corrodinggames/rts/gameFramework/am,F,r,field_MusicController_endedTrackCheckTimer,endedTrackCheckTimer,v0.61-audio-family-completion,audio-family-completion,high,secondary timer for non-looping/end checks,
field,com/corrodinggames/rts/gameFramework/am,Z,s,field_MusicController_nextTrackRequested,nextTrackRequested,v0.61-audio-family-completion,audio-family-completion,high,public request flag for advancing to another track,
