owner_official,kind,official_name,descriptor,expected_named_name,present,evidence
com/corrodinggames/rts/gameFramework/bo,class,,,rustedwarfare/stats/TeamStats,True,Existing StatsEngine serializes per-team counters and StatsTable renders these counters
com/corrodinggames/rts/gameFramework/bp,class,,,rustedwarfare/stats/TeamStatsSerializationVersion,True,TeamStats writes current enum ordinal byte and checks V220911_ADDED_HISTORY before deserializing history
com/corrodinggames/rts/gameFramework/bl,class,,,rustedwarfare/stats/StatsEventDispatcher,True,StatsEngine static field dispatches Unit killed events to listener list
com/corrodinggames/rts/gameFramework/bk,class,,,rustedwarfare/stats/StatsEventListener,True,"StatsEventDispatcher iterates listeners and invokes a(attacker,victim,null)"
com/corrodinggames/rts/gameFramework/bm,class,,,rustedwarfare/stats/CombinedTeamStats,True,Constructor accepts ArrayList<TeamStats> and sums counters/merged histories
com/corrodinggames/rts/gameFramework/bn,class,,,rustedwarfare/stats/StatsHistory,True,TeamStats.l is serialized after V220911_ADDED_HISTORY and stores metric series snapshots
com/corrodinggames/rts/gameFramework/bh,class,,,rustedwarfare/stats/StatsHistoryPoint,True,Immutable frame/value pair used by StatsHistorySeries
com/corrodinggames/rts/gameFramework/bi,class,,,rustedwarfare/stats/StatsHistorySeries,True,StatsHistory owns array of metric series and retrieves values by frame
com/corrodinggames/rts/gameFramework/bj,class,,,rustedwarfare/stats/StatsHistoryMetric,True,"Enum values wrap TeamStatValueSource values: income, armyValue, buildingValue, totalValue"
com/corrodinggames/rts/gameFramework/g/f,class,,,rustedwarfare/stats/TeamStatValueSource,True,Enum values none/income/armyValue/buildingValue/totalValue/credits calculate team stat value from Team
com/corrodinggames/rts/gameFramework/bg,field,e,Z,historyRecordingEnabled,True,StatsEngine.b()/c() guard snapshot recording with this flag; reset sets it true and finalizeStatsHistory sets it false
com/corrodinggames/rts/gameFramework/bg,field,f,Lcom/corrodinggames/rts/gameFramework/bl;,unitKillEventDispatcher,True,Static StatsEngine field used to notify listeners when Unit kills are recorded
com/corrodinggames/rts/gameFramework/bg,method,b,()V,recordPeriodicStatsSnapshot,True,"Method checks GameEngine.by frame counter and calls private a(frame,false,false) for periodic stat history sampling"
