owner_official,kind,official_name,descriptor,expected_named_name,present,evidence
com/corrodinggames/rts/game/units/custom/ai,class,,,rustedwarfare/custom/event/AutoTriggerEventSpec,True,"CustomUnitLoader.parseAutoTriggerEventList creates custom/ai instances, sets a to the event token and b to parsed key=value parameters; later action parsing resolves ai.a to custom/af event type and ai.b keys withtag/withprojectiletag/withactiontag"
com/corrodinggames/rts/game/units/custom/ai,field,a,Ljava/lang/String;,eventTypeName,True,parseAutoTriggerEventList stores the left side event token in ai.a before resolving it against the event enum
com/corrodinggames/rts/game/units/custom/ai,field,b,Ljava/util/HashMap;,parameterMap,True,parseAutoTriggerEventList lazily creates this HashMap and stores withtag/withprojectiletag/withactiontag or other key=value parameters
com/corrodinggames/rts/gameFramework/i/a,field,d,Ljava/lang/Object;,modListLock,True,ModManager synchronizes on this object when mutating or iterating the main mod ArrayList
com/corrodinggames/rts/gameFramework/i/a,field,e,Ljava/util/ArrayList;,mods,True,Constructor initializes this ArrayList; scans/register/remove/sort operations store ModInfo entries here
com/corrodinggames/rts/gameFramework/i/a,method,a,(Ljava/lang/String;I)I,parseVersionPart,True,Private static version parser logs Unexpected version format for missing/bad numeric parts and returns an int component
com/corrodinggames/rts/gameFramework/i/a,method,a,(Ljava/lang/String;)V,validateMinVersionAgainstCurrentGame,True,Static helper validates a mod-info minVersion string against the current game version
com/corrodinggames/rts/gameFramework/i/a,method,b,(Ljava/lang/String;)Ljava/lang/String;,normalizeVersionString,True,Static helper strips a leading v and normalizes supported version suffixes before min-version comparison
com/corrodinggames/rts/gameFramework/i/a,method,a,(Ljava/lang/String;Ljava/lang/String;)V,validateMinVersion,True,Throws for Requires version / Requires newer build / Min version cannot be less than v1.10 while comparing required/current versions
com/corrodinggames/rts/gameFramework/i/a,method,a,()V,loadModListAndSelection,True,Public startup helper calls mod scan/load flow then applies persisted mod selection
com/corrodinggames/rts/gameFramework/i/a,method,a,(Z)I,countEnabledMods,True,Counts ModInfo entries that are not disabled and not still in directory-scan state; optional boolean skips errored mods
com/corrodinggames/rts/gameFramework/i/a,method,b,()I,countEnabledModsWithErrors,True,Counts enabled mods that currently have a loadError string
com/corrodinggames/rts/gameFramework/i/a,method,d,()V,snapshotModSelectionState,True,Copies each ModInfo.disabled value into its savedDisabledSnapshot field and clears the per-run selection-changed flag
com/corrodinggames/rts/gameFramework/i/a,method,e,()V,saveModSelection,True,Serializes mod selection into SettingsEngine.modSettings/modSettingsVersion using enabled/disabled tokens
com/corrodinggames/rts/gameFramework/i/a,method,f,()V,loadModSelection,True,"Loads SettingsEngine.modSettings, logs Loading mod selection, and applies saved enabled/disabled states to matching mods"
com/corrodinggames/rts/gameFramework/i/a,method,c,(Ljava/lang/String;)Lcom/corrodinggames/rts/gameFramework/i/b;,findModByHash,True,Searches the main mod list by ModInfo.modHash
com/corrodinggames/rts/gameFramework/i/a,method,d,(Ljava/lang/String;)I,countModsWithShortTitle,True,Counts mods whose short display title matches the provided string
com/corrodinggames/rts/gameFramework/i/a,method,a,(I)Lcom/corrodinggames/rts/gameFramework/i/b;,findModByInternalId,True,Searches ModInfo entries by the stable/internal id field L
com/corrodinggames/rts/gameFramework/i/a,method,g,()V,disableAllMods,True,Iterates all ModInfo entries and sets disabled=true
com/corrodinggames/rts/gameFramework/i/a,method,f,(Ljava/lang/String;)Lcom/corrodinggames/rts/gameFramework/i/b;,findModByDisplayName,True,Searches mods by getDisplayName() rather than folder or hash
com/corrodinggames/rts/gameFramework/i/a,method,a,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZZZI)Lcom/corrodinggames/rts/gameFramework/i/b;,registerOrUpdateMod,True,"Adds or updates a ModInfo during scan, setting display/folder/hash/source/rwmod/scan-order flags then refreshing mod-info"
com/corrodinggames/rts/gameFramework/i/a,method,a,(Lcom/corrodinggames/rts/gameFramework/i/b;)V,removeMod,True,Removes a ModInfo from the synchronized main mod list
com/corrodinggames/rts/gameFramework/i/a,method,a,(Ljava/lang/String;ZZ)V,scanModDirectory,True,Logs loading mod custom units at: and scans a directory/archive for mod-info/custom-unit data
com/corrodinggames/rts/gameFramework/i/a,method,i,()Ljava/util/ArrayList;,getMusicTracksFromActiveMods,True,Builds a list of music tracks from enabled/error-free mods by calling ModInfo.getMusicTracks
com/corrodinggames/rts/gameFramework/i/a,method,j,()Ljava/util/ArrayList;,getEnabledAndErrorFreeMods,True,Returns enabled mods that pass ModInfo.isEnabledAndErrorFree
com/corrodinggames/rts/gameFramework/i/a,method,m,()V,notifyModCallbacks,True,Invokes active mod callbacks when present; otherwise logs No active callbacks
com/corrodinggames/rts/gameFramework/i/b,field,c,Ljava/lang/String;,defaultDisplayName,True,getDisplayName falls back from title/fallbackTitle to this default display string
com/corrodinggames/rts/gameFramework/i/b,field,g,Z,savedDisabledSnapshot,True,ModManager.snapshotModSelectionState copies disabled into this field before UI/selection changes
