owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/f,field,C,Z,uninterceptable,uninterceptable,true,"BaseProjectileTemplate.deflectionPower < 0.5 sets Projectile.C=true; laser-defence scanning in anti-projectile buildings skips active projectiles when C is true, while non-skipped projectiles use deflectionPower H."
com/corrodinggames/rts/game/f,field,E,Z,continuousDamage,continuousDamage,true,Experimental laser projectile setup sets E=true together with laserEffect/instant flags; update() repeatedly applies directDamage/60*delta*getLifeProgressRatio while E is true and suppresses the normal one-shot impact removal path.
com/corrodinggames/rts/game/f,field,F,F,continuousDamageRampUpDuration,continuousDamageRampUpDuration,true,Projectile.getLifeProgressRatio compares ageTimer J against F and returns J/F until the ramp reaches 1; the continuous laser projectile initializes J and F before repeated damage is applied.
com/corrodinggames/rts/game/f,field,N,F,lightingEffectRefreshTimer,lightingEffectRefreshTimer,true,Projectile.drawMainLayer decrements N each frame while lightingEffect M is active; when it reaches zero it resets to 4 and regenerates the segment offset array.
com/corrodinggames/rts/game/f,field,O,[F,lightingEffectSegmentOffsets,lightingEffectSegmentOffsets,true,Projectile.drawMainLayer allocates O as a float[20] and fills it with random -10..10 offsets used to perturb each lighting-effect line segment.
com/corrodinggames/rts/game/f,field,as,Z,collideWithUnits,collideWithUnits,true,Projectile.update checks as before scanning all active units for contact against the projectile position and triggers impact when a unit falls within contactCollisionRadius + unit.radius.
com/corrodinggames/rts/game/f,field,at,Z,collideWithTerrain,collideWithTerrain,true,Projectile.update checks at before converting the projectile world position to a map cell and triggering impact when the pathing grid reports the terrain as blocked for movement type ao.f.
com/corrodinggames/rts/game/f,field,aA,F,contactCollisionRadius,contactCollisionRadius,true,"When collideWithUnits is true, update() expands the broad-phase search by aA + 50 and performs a final distance test against aA + target.collisionRadius."
com/corrodinggames/rts/game/f,field,aC,Z,hasFixedTargetPosition,hasFixedTargetPosition,true,Projectile.update removes projectiles with no live target unless aC is true; direct-ground/linked projectile creators set aC=true and write fixed target coordinates n/o/m instead of following Unit l.
com/corrodinggames/rts/game/f,field,aK,Z,ballisticReachedPeak,ballisticReachedPeak,true,"In the ballistic branch, update() moves height eq toward ballisticHeight aJ until it reaches the peak, then sets aK=true and begins moving height back toward the target height near impact."
com/corrodinggames/rts/game/f,field,aL,F,ballisticHeightSpeed,ballisticHeightSpeed,true,The ballistic branch uses aL*delta as the height interpolation speed when aL >= 0; custom projectile application sets it to -1 to fall back to projectile horizontal speed.
com/corrodinggames/rts/game/f,field,aO,F,continuousDamageSmokeTimer,continuousDamageSmokeTimer,true,"During continuousDamage target tracking, update() accumulates aO and emits a smoke/explosion helper near the target whenever it exceeds roughly 75 ticks, then resets it to a randomized small value."
com/corrodinggames/rts/game/f,field,bn,Z,impactTriggered,impactTriggered,true,setSourceAndPosition resets bn=false; update() sets bn=true on impact and then uses it to run area-damage expansion/removal countdowns instead of processing further travel collision.
com/corrodinggames/rts/game/f,field,bi,Lcom/corrodinggames/rts/gameFramework/utility/u;,areaDamageUnitScratchList,areaDamageUnitScratchList,true,"Projectile.updateAreaDamage clears static list bi, asks the spatial unit index for units around the impact point into bi, iterates it for area damage, then clears it again."
