kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/j/aw,Ljava/io/ByteArrayOutputStream;,a,field_aw_byteArrayOutput,byteArrayOutput,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,Default constructor creates this backing ByteArrayOutputStream; toPacket/toTextString/toByteArray read from it,
field,com/corrodinggames/rts/gameFramework/j/aw,Ljava/io/PrintStream;,e,field_aw_rootPrintStream,rootPrintStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,Constructor stores the root PrintStream; flush writes nested text blocks into it and resetCurrentStream restores from it,
field,com/corrodinggames/rts/gameFramework/j/aw,Ljava/io/PrintStream;,f,field_aw_currentPrintStream,currentPrintStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,write* methods print to this stream; startBlock/endBlock swap it between root and nested block PrintStreams,
field,com/corrodinggames/rts/gameFramework/j/aw,Ljava/util/LinkedList;,g,field_aw_blockStack,blockStack,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,"startBlock pushes TextGameOutputBlock objects, endBlock pops them, and flush iterates them in reverse order",
field,com/corrodinggames/rts/gameFramework/ba,Z,b,field_ba_logReplayPlaybackSchedule,logReplayPlaybackSchedule,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,updateReplayPlayback logs upcoming replay entry scheduling under this static debug flag,
field,com/corrodinggames/rts/gameFramework/ba,Z,c,field_ba_logReplayCommandDetails,logReplayCommandDetails,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,readNextReplayBlock logs 'updateGameFrame: Command/Waypoint/Build Type' under this static debug flag,
field,com/corrodinggames/rts/gameFramework/ba,Z,d,field_ba_logReplayCommandTeamState,logReplayCommandTeamState,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,updateReplayPlayback logs Precommand/Postcommand team credits/count/max under this static debug flag,
field,com/corrodinggames/rts/gameFramework/ba,Z,f,field_ba_traceChecksumsWriting,traceChecksumsWriting,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,startSavingReplay copies SettingsEngine.replayTracing into this flag and warns about large replay files; recordTracingChecksumIfEnabled checks it,
field,com/corrodinggames/rts/gameFramework/ba,Z,s,field_ba_playbackEnded,playbackEnded,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,readNextReplayBlock sets this on replay end/endReplayMetaData; updateReplayPlayback treats it as replay-ended state,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/lang/String;,t,field_ba_currentReplayFileName,currentReplayFileName,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,startSavingReplay/startReplayingFile store the active replay file name here; closeReplayStreams clears it,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/io/InputStream;,C,field_ba_rawInputStream,rawInputStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,startReplayingFile opens the replay InputStream into this field; closeReplayStreams closes and clears it,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/io/BufferedInputStream;,D,field_ba_bufferedInputStream,bufferedInputStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,Replay raw input is wrapped in this BufferedInputStream before DataInputStream/GameInputStream construction,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/io/DataInputStream;,E,field_ba_dataInputStream,dataInputStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,Replay buffered input is wrapped in this DataInputStream and passed to GameInputStream,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/io/OutputStream;,G,field_ba_rawOutputStream,rawOutputStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,startSavingReplay opens the replay OutputStream here; closeReplayStreams flushes/closes and clears it,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/io/BufferedOutputStream;,H,field_ba_bufferedOutputStream,bufferedOutputStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,Replay raw output is wrapped in this BufferedOutputStream before DataOutputStream/GameOutputStream construction,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/io/DataOutputStream;,I,field_ba_dataOutputStream,dataOutputStream,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,Replay buffered output is wrapped in this DataOutputStream used by GameOutputStream and replay header writes,
field,com/corrodinggames/rts/gameFramework/ba,Ljava/lang/Thread;,L,field_ba_writerThreadHandle,writerThreadHandle,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,startSavingReplay constructs a Java Thread around ReplayWriterThread and closeReplayStreams joins/clears this handle,
field,com/corrodinggames/rts/gameFramework/ba,I,j,field_ba_commandsSinceQuickChecksum,commandsSinceQuickChecksum,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,"recordCommand increments this counter and every >5 commands queues a quick checksum ReplayRecordEntry, then resets it",
field,com/corrodinggames/rts/gameFramework/ba,Z,k,field_ba_shownOutOfSyncWarning,shownOutOfSyncWarning,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,First checksum mismatch sets this flag after displaying 'Error: This replay might be out of sync',
field,com/corrodinggames/rts/gameFramework/ba,I,l,field_ba_checksumMismatchCount,checksumMismatchCount,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,Incremented for replay checksum mismatch and extraChecksum mismatch; used to cap noisy mismatch output at 150,
field,com/corrodinggames/rts/gameFramework/ba,Z,m,field_ba_extraChecksumInfoLogged,extraChecksumInfoLogged,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,"Initially false; while false, matching extraChecksum lines are logged, then the es block sets it true to reduce repeat output",
field,com/corrodinggames/rts/gameFramework/ba,I,o,field_ba_lastReadReplayCommandFrame,lastReadReplayCommandFrame,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,readNextReplayBlock stores the frame number of the most recently read rc command entry here,
field,com/corrodinggames/rts/gameFramework/ba,I,p,field_ba_readReplayCommandCount,readReplayCommandCount,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,readNextReplayBlock increments this for every rc command block read from replay input,
field,com/corrodinggames/rts/gameFramework/ba,I,y,field_ba_replayCommandDebugId,replayCommandDebugId,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,readNextReplayBlock increments this and prints it as the detailed command log id when command detail logging is enabled,
method,com/corrodinggames/rts/gameFramework/ba,()V,l,method_ba_markAiPlayersFromReplay,markAiPlayersFromReplay,v0.75-save-replay-versioned-data,save-replay-versioned-data,high,"After replay initial save load, scans teams and marks AIPlayer.aX=true for AI players reconstructed from the replay save",
