kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/units/ap,,,rw/unit/combat/TurretRuntimeState,rustedwarfare/unit/combat/TurretRuntimeState,v0.34-runtime-order-update-combat,runtime-combat,high,javap ap shows a compact mutable per-turret state class used through Unit.cL[] in targeting/reload code.,
field,com/corrodinggames/rts/game/units/am,[Lcom/corrodinggames/rts/game/units/ap;,cL,field_am_turretStates,turretStates,v0.34-runtime-order-update-combat,runtime-combat,high,Unit serialization and combat update repeatedly read cL[turretIndex] as TurretRuntimeState array.,
field,com/corrodinggames/rts/game/units/ap,F,a,field_ap_aimAngle,aimAngle,v0.34-runtime-order-update-combat,runtime-combat,high,TurretRuntimeState.reset(float) stores input angle into a; combat turn code reads/writes it as current turret aim.,
field,com/corrodinggames/rts/game/units/ap,F,b,field_ap_previousAimAngle,previousAimAngle,v0.34-runtime-order-update-combat,runtime-combat,medium-high,reset copies aimAngle into b; combat turn code stores old aim before rotating.,
field,com/corrodinggames/rts/game/units/ap,F,c,field_ap_aimAngularVelocity,aimAngularVelocity,v0.34-runtime-order-update-combat,runtime-combat,medium,reset zeroes c; turret rotation path updates it alongside aimAngle.,
field,com/corrodinggames/rts/game/units/ap,F,d,field_ap_aimLockTimer,aimLockTimer,v0.34-runtime-order-update-combat,runtime-combat,medium-high,a(int)/b(int)/a()/b() only operate on d as a signed lock/timer gating aim/fire state.,
field,com/corrodinggames/rts/game/units/ap,F,e,field_ap_reloadTimer,reloadTimer,v0.34-runtime-order-update-combat,runtime-combat,high,serialized from turretStates[0].e and tryFireTurretAtTarget sets it to base reload plus delay after firing.,
field,com/corrodinggames/rts/game/units/ap,F,f,field_ap_warmupTimer,warmupTimer,v0.34-runtime-order-update-combat,runtime-combat,medium-high,tryFireTurretAtTarget increases f until e(turret) warmup threshold; decay path decrements f each frame.,
field,com/corrodinggames/rts/game/units/ap,Z,g,field_ap_aimReady,aimReady,v0.34-runtime-order-update-combat,runtime-combat,medium-high,combat update sets g when turret aim error is within tolerance; u(int) returns this flag or linked turret flag.,
field,com/corrodinggames/rts/game/units/ap,Lcom/corrodinggames/rts/game/units/am;,j,field_ap_target,target,v0.34-runtime-order-update-combat,runtime-combat,high,refreshTurretTargetsFromAttackTarget writes unit target into ap.j; combat update reads ap.j before firing.,
field,com/corrodinggames/rts/game/units/ap,Z,m,field_ap_alternateFireSide,alternateFireSide,v0.34-runtime-order-update-combat,runtime-combat,medium,tryFireTurretAtTarget toggles boolean m after firing; likely alternating muzzle/barrel side.,
method,com/corrodinggames/rts/game/units/ap,()V,<init>,method_ap_init,<init>,v0.34-runtime-order-update-combat,runtime-combat,high,Constructor only calls Object.<init>; state initialized by reset(float).,
method,com/corrodinggames/rts/game/units/ap,(F)V,a,method_ap_reset,reset,v0.34-runtime-order-update-combat,runtime-combat,high,"Resets aimAngle, previousAimAngle, timers, target, and alternate side from initial direction.",
method,com/corrodinggames/rts/game/units/ap,(I)V,a,method_ap_raiseAimLockTimer,raiseAimLockTimer,v0.34-runtime-order-update-combat,runtime-combat,medium,Raises d to positive timeout if d is non-negative and smaller than argument.,
method,com/corrodinggames/rts/game/units/ap,(I)V,b,method_ap_lowerAimLockTimerNegative,lowerAimLockTimerNegative,v0.34-runtime-order-update-combat,runtime-combat,medium,Lowers d to negative timeout threshold if above -argument.,
method,com/corrodinggames/rts/game/units/ap,()Z,a,method_ap_isAimLockClear,isAimLockClear,v0.34-runtime-order-update-combat,runtime-combat,medium-high,Returns true only when d == 0.,
method,com/corrodinggames/rts/game/units/ap,()Z,b,method_ap_hasNegativeAimLock,hasNegativeAimLock,v0.34-runtime-order-update-combat,runtime-combat,medium-high,Returns true only when d < 0.,
field,com/corrodinggames/rts/game/units/y,Lcom/corrodinggames/rts/game/units/a;,P,field_y_attackMode,attackMode,v0.34-runtime-order-update-combat,runtime-order-combat,high,Serialized as enum; canAutoAttackTarget rejects holdFire/returnFire; getAutoAttackSearchRange branches on attack mode.,
field,com/corrodinggames/rts/game/units/y,Lcom/corrodinggames/rts/game/units/am;,R,field_y_attackTarget,attackTarget,v0.34-runtime-order-update-combat,runtime-order-combat,high,Serialized if not dead; combat update validates/clears it and assigns it to turretStates[].target.,
field,com/corrodinggames/rts/game/units/y,F,S,field_y_autoTargetSearchTimer,autoTargetSearchTimer,v0.34-runtime-order-update-combat,runtime-order-combat,medium-high,Combat update decrements S and resets it after passive target search.,
field,com/corrodinggames/rts/game/units/y,F,T,field_y_turretTargetRefreshTimer,turretTargetRefreshTimer,v0.34-runtime-order-update-combat,runtime-order-combat,medium-high,Combat update decrements T and uses it around turret target refresh cadence.,
field,com/corrodinggames/rts/game/units/y,F,U,field_y_attackEffectTimer,attackEffectTimer,v0.34-runtime-order-update-combat,runtime-order-combat,medium,Two attack visual-effect methods decrement U and reset it to 5 before spawning smoke/dust effects.,
field,com/corrodinggames/rts/game/units/y,F,V,field_y_activeOrderElapsedTime,activeOrderElapsedTime,v0.34-runtime-order-update-combat,runtime-order-combat,high,k(float) increases V while an active UnitOrder exists; order expiry compares UnitOrder.expiresAtTime against V.,
field,com/corrodinggames/rts/game/units/y,Z,j,field_y_pathRepathRequested,pathRepathRequested,v0.34-runtime-order-update-combat,runtime-order-combat,medium,k(float) resets j before order processing; combat update can set it when target chasing requires path movement.,Name is medium-confidence; flag is path/repath intent rather than final movement target itself.
field,com/corrodinggames/rts/game/units/y,Z,k,field_y_hasMoveTarget,hasMoveTarget,v0.34-runtime-order-update-combat,runtime-order-combat,high,Serialized after pathing_active; order handlers set k and movement code clears it when no active order.,
