kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,action,old_named_name,old_intermediary_name,old_source,old_notes
field,com/corrodinggames/rts/game/units/custom/b/n,Z,A,field_AttachmentSlot_setDrawLayerOnTop,setDrawLayerOnTop,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses setDrawLayerOnTop into AttachmentSlot.A and rejects top+bottom together.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,setDrawLayerOnTop,field_AttachmentSlot_setDrawLayerOnTop,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,B,field_AttachmentSlot_setDrawLayerOnBottom,setDrawLayerOnBottom,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses setDrawLayerOnBottom into AttachmentSlot.B and clears A when bottom is true.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,setDrawLayerOnBottom,field_AttachmentSlot_setDrawLayerOnBottom,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,C,field_AttachmentSlot_reservedAttachmentFlagC,reservedAttachmentFlagC,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,low,No direct parser key evidence found in v0.41 pass; v0.40 name addTransportedUnits was one slot too early.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,addTransportedUnits,field_AttachmentSlot_addTransportedUnits,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,D,field_AttachmentSlot_addTransportedUnits,addTransportedUnits,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses addTransportedUnits into AttachmentSlot.D.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,unloadInCurrentPosition,field_AttachmentSlot_unloadInCurrentPosition,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,E,field_AttachmentSlot_unloadInCurrentPosition,unloadInCurrentPosition,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses unloadInCurrentPosition into AttachmentSlot.E.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,smoothlyBlendPositionWhenExistingUnitAdded,field_AttachmentSlot_smoothlyBlendPositionWhenExistingUnitAdded,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,F,field_AttachmentSlot_smoothlyBlendPositionWhenExistingUnitAdded,smoothlyBlendPositionWhenExistingUnitAdded,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses smoothlyBlendPositionWhenExistingUnitAdded into AttachmentSlot.F.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,deattachIfWantingToMove,field_AttachmentSlot_deattachIfWantingToMove,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,F,G,field_AttachmentSlot_smoothlyBlendPositionBlendTime,smoothlyBlendPositionBlendTime,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,high,AttachmentBehavior writes 500.0 or 0.0 into AttachmentSlot.G based on smoothlyBlendPositionWhenExistingUnitAdded.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,prioritizeParentsMainTargetWithin,field_AttachmentSlot_prioritizeParentsMainTargetWithin,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,H,field_AttachmentSlot_deattachIfWantingToMove,deattachIfWantingToMove,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses deattachIfWantingToMove into AttachmentSlot.H.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,alwaysAllowedToAttackParentsMainTarget,field_AttachmentSlot_alwaysAllowedToAttackParentsMainTarget,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,I,field_AttachmentSlot_hidden,hidden,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses hidden into AttachmentSlot.I.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,canAttack,field_AttachmentSlot_canAttack,v0.15-custom-unit-lifecycle,
field,com/corrodinggames/rts/game/units/custom/b/n,Z,J,field_AttachmentSlot_prioritizeParentsMainTarget,prioritizeParentsMainTarget,v0.41-attachment-slot-semantic-hotfix,attachment-slot-hotfix,confirmed,AttachmentBehavior parses prioritizeParentsMainTarget into AttachmentSlot.J.,v0.41 attachment-slot semantic hotfix from AttachmentBehavior parser bytecode.,updated,keepWaypointsNeedingMovement,field_AttachmentSlot_keepWaypointsNeedingMovement,v0.15-custom-unit-lifecycle,
