kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/units/d/k,,,rw/unit/build/BuildQueue,rustedwarfare/unit/build/BuildQueue,v0.39-runtime-build-queue-production,runtime-build-queue,confirmed,javap fields/methods show queue controller owned by production building/custom unit; manages active/staged BuildQueueItem lists and update completion/refund path.,d/k is the runtime production/build queue controller.
class,com/corrodinggames/rts/game/units/d/l,,,rw/unit/build/BuildQueueHost,rustedwarfare/unit/build/BuildQueueHost,v0.39-runtime-build-queue-production,runtime-build-queue,confirmed,"javap interface implemented by CustomUnit and production building base; declares completion, queue-count, queue access and refund hooks for BuildQueue.",Interface for units that own a BuildQueue.
class,com/corrodinggames/rts/game/units/d/f,,,rw/unit/building/internal/f,rustedwarfare/unit/building/internal/Obf_d_f,v0.39-runtime-build-queue-production,runtime-build-queue-owner-support,low-generic,Owner class row added so BuildQueueHost completeBuildQueueItem override method is emitted into Tiny.,Generic owner support class; semantic unit name deferred.
class,com/corrodinggames/rts/game/units/d/m,,,rw/unit/building/internal/m,rustedwarfare/unit/building/internal/Obf_d_m,v0.39-runtime-build-queue-production,runtime-build-queue-owner-support,low-generic,Owner class row added so BuildQueueHost completeBuildQueueItem override method is emitted into Tiny.,Generic owner support class; semantic unit name deferred.
class,com/corrodinggames/rts/game/units/d/t,,,rw/unit/building/internal/t,rustedwarfare/unit/building/internal/Obf_d_t,v0.39-runtime-build-queue-production,runtime-build-queue-owner-support,low-generic,Owner class row added so BuildQueueHost completeBuildQueueItem override method is emitted into Tiny.,Generic owner support class; semantic unit name deferred.
field,com/corrodinggames/rts/game/units/d/j,I,a,field_BuildQueueItem_quantity,quantity,v0.39-runtime-build-queue-production,runtime-build-queue,high,quantity requested for queued action; serialized first and used in queue counts,
field,com/corrodinggames/rts/game/units/d/j,F,b,field_BuildQueueItem_buildSpeedMultiplier,buildSpeedMultiplier,v0.39-runtime-build-queue-production,runtime-build-queue,high,used as progress multiplier in BuildQueue.update: buildProgress += item.b * hostBuildSpeed * delta,
field,com/corrodinggames/rts/game/units/d/j,Lcom/corrodinggames/rts/game/units/custom/d/b;,c,field_BuildQueueItem_priceResources,priceResources,v0.39-runtime-build-queue-production,runtime-build-queue,high,set from UnitAction.B(); reserved/refunded at enqueue/cancel time,
field,com/corrodinggames/rts/game/units/d/j,Lcom/corrodinggames/rts/game/units/custom/d/b;,d,field_BuildQueueItem_streamingCostResources,streamingCostResources,v0.39-runtime-build-queue-production,runtime-build-queue,high,optional per-progress resource drain used while current item builds,
field,com/corrodinggames/rts/game/units/d/j,Lcom/corrodinggames/rts/game/units/custom/h;,e,field_BuildQueueItem_queueTags,queueTags,v0.39-runtime-build-queue-production,runtime-build-queue,high,set from UnitAction.P(); used by countQueuedItemsWithTag,
field,com/corrodinggames/rts/game/units/d/j,Z,f,field_BuildQueueItem_producesUnit,producesUnit,v0.39-runtime-build-queue-production,runtime-build-queue,high,set from UnitAction.g(); true when queued action creates a unit type,
field,com/corrodinggames/rts/game/units/d/j,Lcom/corrodinggames/rts/game/units/as;,g,field_BuildQueueItem_producedUnitType,producedUnitType,v0.39-runtime-build-queue-production,runtime-build-queue,high,set from UnitAction.i(); BuildQueue.complete uses it to create produced unit,
field,com/corrodinggames/rts/game/units/d/j,Landroid/graphics/PointF;,h,field_BuildQueueItem_queuedRallyPoint,queuedRallyPoint,v0.39-runtime-build-queue-production,runtime-build-queue,high,target/rally point captured when action was queued,
field,com/corrodinggames/rts/game/units/d/j,Lcom/corrodinggames/rts/game/units/am;,i,field_BuildQueueItem_queuedTargetUnit,queuedTargetUnit,v0.39-runtime-build-queue-production,runtime-build-queue,high,target unit captured when action was queued,
field,com/corrodinggames/rts/game/units/d/j,Lcom/corrodinggames/rts/game/units/a/c;,j,field_BuildQueueItem_actionId,actionId,v0.39-runtime-build-queue-production,runtime-build-queue,high,UnitAction id stored for queue counting/removal/serialization,
field,com/corrodinggames/rts/game/units/d/j,Z,k,field_BuildQueueItem_stagedCancellation,stagedCancellation,v0.39-runtime-build-queue-production,runtime-build-queue,medium,used by staged queue manipulation for cancellation/remove flow,
field,com/corrodinggames/rts/game/units/d/j,Z,l,field_BuildQueueItem_highPriority,highPriority,v0.39-runtime-build-queue-production,runtime-build-queue,high,set from UnitAction.H(); high priority queue/front behavior,
field,com/corrodinggames/rts/game/units/d/j,F,m,field_BuildQueueItem_activationProgressMarker,activationProgressMarker,v0.39-runtime-build-queue-production,runtime-build-queue,medium,set around current queue activation; medium-confidence progress/notification marker,
field,com/corrodinggames/rts/game/units/d/j,D,n,field_BuildQueueItem_streamedResourcesPaidFraction,streamedResourcesPaidFraction,v0.39-runtime-build-queue-production,runtime-build-queue,high,tracks fraction/progress of streaming resources already paid while item is current,
method,com/corrodinggames/rts/game/units/d/j,()V,<init>,method_BuildQueueItem_init,<init>,v0.39-runtime-build-queue-production,runtime-build-queue,high,constructor initializes quantity/cost/action/progress defaults for a queue item,
method,com/corrodinggames/rts/game/units/d/j,(Lcom/corrodinggames/rts/gameFramework/j/as;)V,a,method_BuildQueueItem_serialize,serialize,v0.39-runtime-build-queue-production,runtime-build-queue,high,"writes quantity, progress, cost, tags, produced type, target point/unit, action id and streaming payment state",
method,com/corrodinggames/rts/game/units/d/j,(Lcom/corrodinggames/rts/gameFramework/j/k;)V,a,method_BuildQueueItem_deserialize,deserialize,v0.39-runtime-build-queue-production,runtime-build-queue,high,reads queue item fields in same order as serialize,
field,com/corrodinggames/rts/game/units/d/k,Lcom/corrodinggames/rts/game/units/y;,a,field_BuildQueue_hostUnit,hostUnit,v0.39-runtime-build-queue-production,runtime-build-queue,high,BuildQueue constructor stores owning OrderableUnit/BuildQueueHost,
field,com/corrodinggames/rts/game/units/d/k,Landroid/graphics/PointF;,b,field_BuildQueue_rallyPoint,rallyPoint,v0.39-runtime-build-queue-production,runtime-build-queue,high,set by BuildQueueHost.setBuildQueueRallyPoint and passed to produced units,
field,com/corrodinggames/rts/game/units/d/k,Lcom/corrodinggames/rts/gameFramework/utility/m;,c,field_BuildQueue_activeQueueItems,activeQueueItems,v0.39-runtime-build-queue-production,runtime-build-queue,high,main list of BuildQueueItem objects processed by update,
field,com/corrodinggames/rts/game/units/d/k,Lcom/corrodinggames/rts/gameFramework/utility/m;,d,field_BuildQueue_stagedQueueChanges,stagedQueueChanges,v0.39-runtime-build-queue-production,runtime-build-queue,high,secondary list used for pending add/remove/cancel queue mutations,
field,com/corrodinggames/rts/game/units/d/k,F,e,field_BuildQueue_buildProgress,buildProgress,v0.39-runtime-build-queue-production,runtime-build-queue,high,current queue item progress; update increments until >=1 and completion runs,
field,com/corrodinggames/rts/game/units/d/k,Lcom/corrodinggames/rts/game/units/d/j;,f,field_BuildQueue_currentQueueItem,currentQueueItem,v0.39-runtime-build-queue-production,runtime-build-queue,high,cached current item being processed,
method,com/corrodinggames/rts/game/units/d/k,(Lcom/corrodinggames/rts/game/units/y;)V,<init>,method_BuildQueue_init,<init>,v0.39-runtime-build-queue-production,runtime-build-queue,high,constructor initializes active/staged queues and stores host unit,
method,com/corrodinggames/rts/game/units/d/k,(Lcom/corrodinggames/rts/gameFramework/j/as;)V,a,method_BuildQueue_serialize,serialize,v0.39-runtime-build-queue-production,runtime-build-queue,high,"serializes queue progress, rally point, active/staged BuildQueueItem lists",
method,com/corrodinggames/rts/game/units/d/k,(Lcom/corrodinggames/rts/gameFramework/j/k;)V,a,method_BuildQueue_deserialize,deserialize,v0.39-runtime-build-queue-production,runtime-build-queue,high,"deserializes queue progress, rally point, active/staged BuildQueueItem lists",
method,com/corrodinggames/rts/game/units/d/k,()Z,a,method_BuildQueue_isEmpty,isEmpty,v0.39-runtime-build-queue-production,runtime-build-queue,high,returns whether the active queue has no queued items,
method,com/corrodinggames/rts/game/units/d/k,(Lcom/corrodinggames/rts/game/units/a/w;Z)Lcom/corrodinggames/rts/game/units/d/j;,a,method_BuildQueue_enqueueQueueableAction,enqueueQueueableAction,v0.39-runtime-build-queue-production,runtime-build-queue,high,creates/enqueues BuildQueueItem from QueueableUnitAction without explicit target,
method,com/corrodinggames/rts/game/units/d/k,(Lcom/corrodinggames/rts/game/units/a/w;ZLandroid/graphics/PointF;Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/game/units/d/j;,a,method_BuildQueue_enqueueQueueableActionWithTarget,enqueueQueueableActionWithTarget,v0.39-runtime-build-queue-production,runtime-build-queue,high,creates/enqueues BuildQueueItem from QueueableUnitAction with target point/unit,
method,com/corrodinggames/rts/game/units/d/k,(Lcom/corrodinggames/rts/game/units/a/w;Z)Lcom/corrodinggames/rts/game/units/d/j;,b,method_BuildQueue_removeQueuedAction,removeQueuedAction,v0.39-runtime-build-queue-production,runtime-build-queue,high,creates/removes a BuildQueueItem matching a queueable action,
method,com/corrodinggames/rts/game/units/d/k,(Lcom/corrodinggames/rts/game/units/d/j;)V,a,method_BuildQueue_setCurrentQueueItem,setCurrentQueueItem,v0.39-runtime-build-queue-production,runtime-build-queue,high,stores currentQueueItem and invokes BuildQueueHost.triggerWhenBuildingAction,
method,com/corrodinggames/rts/game/units/d/k,()Lcom/corrodinggames/rts/game/units/d/j;,b,method_BuildQueue_getCurrentQueueItem,getCurrentQueueItem,v0.39-runtime-build-queue-production,runtime-build-queue,high,returns current queue item,
method,com/corrodinggames/rts/game/units/d/k,()Lcom/corrodinggames/rts/game/units/custom/d/b;,c,method_BuildQueue_getCurrentStreamingResourceCost,getCurrentStreamingResourceCost,v0.39-runtime-build-queue-production,runtime-build-queue,high,returns streamingCostResources for the current queue item or null/empty,
method,com/corrodinggames/rts/game/units/d/k,()Lcom/corrodinggames/rts/game/units/a/s;,d,method_BuildQueue_getCurrentAction,getCurrentAction,v0.39-runtime-build-queue-production,runtime-build-queue,high,resolves current BuildQueueItem.actionId to UnitAction,
