kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/j/ad,F,bI,field_NetworkEngine_currentStepRate,currentStepRate,v0.68-network-deep-packet-branch,network-step-rate,high,setCurrentStepRate writes bI; getCurrentStepRate returns it; process packet 10 resync updates step rate.,Current synchronized simulation step-rate value.
field,com/corrodinggames/rts/gameFramework/j/ad,Z,G,field_NetworkEngine_isServerController,isServerController,v0.68-network-deep-packet-branch,network-server-info,high,Server-info packet 106 reads boolean G directly before H/isProxyController; sendServerInfo writes callbacks.a(connection).,Authority/control bit distinct from proxy-controller H.
field,com/corrodinggames/rts/gameFramework/j/ad,I,aw,field_NetworkEngine_teamUnitCap,teamUnitCap,v0.68-network-deep-packet-branch,network-game-setup,high,Constructor copies SettingsEngine.teamUnitCapHostedGame to ax then aw; packet 106 serializes both.,Active team unit cap setting sent in server-info/game setup.
field,com/corrodinggames/rts/gameFramework/j/ad,I,ax,field_NetworkEngine_maxTeamUnitCap,maxTeamUnitCap,v0.68-network-deep-packet-branch,network-game-setup,high,Constructor initializes ax from SettingsEngine.teamUnitCapHostedGame and clamps to at least 1; packet 106 serializes it with aw.,Host-side maximum/default team unit cap for setup negotiation.
field,com/corrodinggames/rts/gameFramework/j/c,Z,q,field_NetworkConnection_forwardingAllowed,forwardingAllowed,v0.68-network-deep-packet-branch,network-forwarding,high,Packet 140 allows non-player messages only when q is true; forwarding packet branches reject when q is false.,Whether this connection may carry forwarded child packets.
field,com/corrodinggames/rts/gameFramework/j/c,Z,r,field_NetworkConnection_multicastEnabled,multicastEnabled,v0.68-network-deep-packet-branch,network-forwarding,high,"Become-server/forwarding branch logs ""Multicast:"" then stores boolean into r.",Forwarding/multicast flag negotiated by connection setup.
method,com/corrodinggames/rts/gameFramework/j/ad,()Z,n,method_NetworkEngine_hasGameBeenStarted,hasGameBeenStarted,v0.68-network-deep-packet-branch,network-lifecycle,high,Returns field aW/gameHasBeenStarted.,
method,com/corrodinggames/rts/gameFramework/j/ad,()Z,o,method_NetworkEngine_isGameStarting,isGameStarting,v0.68-network-deep-packet-branch,network-lifecycle,high,"Delegates to NetworkCallbacks.e(); chat team-change path rejects with ""Cannot Set Team - Game is starting"" when true.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Ljava/lang/String;)Ljava/lang/String;,a,method_NetworkEngine_setLocalPlayerName,setLocalPlayerName,v0.68-network-deep-packet-branch,network-identity,high,"Trims/replaces spaces, stores localPlayerName, writes SettingsEngine.lastNetworkPlayerName, saves settings.",
method,com/corrodinggames/rts/gameFramework/j/ad,()F,c,method_NetworkEngine_getCurrentStepRate,getCurrentStepRate,v0.68-network-deep-packet-branch,network-step-rate,high,Returns bI/currentStepRate.,
method,com/corrodinggames/rts/gameFramework/j/ad,()V,f,method_NetworkEngine_updateAiDifficulty,updateAiDifficulty,v0.68-network-deep-packet-branch,network-game-setup,high,"String evidence: ""updateAIDifficulty with gameHasBeenStarted=true""; applies setup AI difficulty.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/game/n;)V,a,method_NetworkEngine_applyAiDifficultyForTeam,applyAiDifficultyForTeam,v0.68-network-deep-packet-branch,network-game-setup,high,Writes AI difficulty override/current GameSetup.aiDifficulty to an AI team.,
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/game/n;)Z,b,method_NetworkEngine_updateAiTeamName,updateAiTeamName,v0.68-network-deep-packet-branch,network-game-setup,high,"Builds ""AI - <difficulty>"" display names and returns if changed.",
method,com/corrodinggames/rts/gameFramework/j/ad,(Lcom/corrodinggames/rts/gameFramework/j/ah;)V,b,method_NetworkEngine_applyProxyControlSetup,applyProxyControlSetup,v0.68-network-deep-packet-branch,network-game-setup,high,String evidence includes applyProxyControl and emits -map/-fog/-credits/-income/-nukes/-sharedControl commands.,
method,com/corrodinggames/rts/gameFramework/j/ad,()Ljava/lang/String;,g,method_NetworkEngine_getFogModeDisplayName,getFogModeDisplayName,v0.68-network-deep-packet-branch,network-game-setup,high,"Maps current GameSetup.fogMode to ""No fog"", ""Basic fog"", or ""Line of Sight"".",
method,com/corrodinggames/rts/gameFramework/j/ad,(I)Ljava/lang/String;,a,method_NetworkEngine_getFogModeCode,getFogModeCode,v0.68-network-deep-packet-branch,network-game-setup,high,Maps fog mode int to command code off/basic/los.,
method,com/corrodinggames/rts/gameFramework/j/ad,(I)Ljava/lang/String;,b,method_NetworkEngine_getAiDifficultyName,getAiDifficultyName,v0.68-network-deep-packet-branch,network-game-setup,high,AI difficulty display wrapper used by setup UI/commands.,
method,com/corrodinggames/rts/gameFramework/j/ad,(I)Ljava/lang/String;,c,method_NetworkEngine_getAiDifficultyDisplayName,getAiDifficultyDisplayName,v0.68-network-deep-packet-branch,network-game-setup,high,Maps difficulty -2..3 to Very Easy/Easy/Medium/Hard/Very Hard/Impossible.,
